"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1490978973272347648,1,"0:00",5,0,3,1,9
1490978973272347648,1,"1:00",4,0,7,0,5
1490978973272347648,1,"2:00",2,0,5,3,7
1490978973272347648,1,"3:00",1,0,5,1,7
1490978973272347648,1,"4:00",0,0,4,1,8
1490978973272347648,1,"5:00",3,0,6,1,6
1490978973272347648,1,"6:00",0,0,4,2,8
1490978973272347648,1,"7:00",0,0,3,1,9
1490978973272347648,1,"8:00",0,0,3,0,9
1490978973272347648,1,"9:00",5,0,8,0,4
1490978973272347648,1,"10:00",2,0,10,0,2
1490978973272347648,1,"11:00",5,0,12,2,0
1490978973272347648,1,"12:00",1,0,11,2,1
1490978973272347648,1,"13:00",4,1,12,2,0
1490978973272347648,1,"14:00",4,3,12,2,0
1490978973272347648,1,"15:00",3,2,12,4,0
1490978973272347648,1,"16:00",1,0,11,4,1
1490978973272347648,1,"17:00",1,0,12,0,0
1490978973272347648,1,"18:00",3,0,12,3,0
1490978973272347648,1,"19:00",1,0,11,2,1
1490978973272347648,1,"20:00",0,0,10,1,2
1490978973272347648,1,"21:00",4,0,11,2,1
1490978973272347648,1,"22:00",2,0,7,6,5
1490978973272347648,1,"23:00",1,0,7,1,5
1490978973272347648,2,"0:00",2,0,7,2,5
1490978973272347648,2,"1:00",5,0,11,0,1
1490978973272347648,2,"2:00",5,1,12,3,0
1490978973272347648,2,"3:00",3,3,12,1,0
1490978973272347648,2,"4:00",4,6,12,1,0
1490978973272347648,2,"5:00",0,4,12,2,0
1490978973272347648,2,"6:00",4,6,12,2,0
1490978973272347648,2,"7:00",1,7,12,0,0
1490978973272347648,2,"8:00",0,6,12,1,0
1490978973272347648,2,"9:00",1,7,12,0,0
1490978973272347648,2,"10:00",0,7,12,0,0
1490978973272347648,2,"11:00",5,9,12,3,0
1490978973272347648,2,"12:00",4,8,12,5,0
1490978973272347648,2,"13:00",2,8,12,2,0
1490978973272347648,2,"14:00",3,7,12,4,0
1490978973272347648,2,"15:00",1,5,12,3,0
1490978973272347648,2,"16:00",3,5,12,3,0
1490978973272347648,2,"17:00",3,5,12,3,0
1490978973272347648,2,"18:00",2,6,12,1,0
1490978973272347648,2,"19:00",3,8,12,1,0
1490978973272347648,2,"20:00",2,10,12,0,0
1490978973272347648,2,"21:00",1,7,12,4,0
1490978973272347648,2,"22:00",5,11,12,1,0
1490978973272347648,2,"23:00",0,6,12,5,0
1490978973272347648,3,"0:00",5,9,12,2,0
1490978973272347648,3,"1:00",0,6,12,3,0
1490978973272347648,3,"2:00",4,7,12,3,0
1490978973272347648,3,"3:00",2,9,12,0,0
1490978973272347648,3,"4:00",0,8,12,1,0
1490978973272347648,3,"5:00",1,7,12,2,0
1490978973272347648,3,"6:00",0,4,12,3,0
1490978973272347648,3,"7:00",4,7,12,1,0
1490978973272347648,3,"8:00",3,5,12,5,0
1490978973272347648,3,"9:00",5,8,12,2,0
1490978973272347648,3,"10:00",0,7,12,1,0
1490978973272347648,3,"11:00",0,6,12,1,0
1490978973272347648,3,"12:00",0,2,12,4,0
1490978973272347648,3,"13:00",2,0,11,5,1
