"Sim_N","Day","AVG_SF_per_Day"
1053942938506792192,1,5
1053942938506792192,2,4.81
1053942938506792192,3,4.39
1053942938506792192,4,3.61
1053942938506792192,5,2.68
1053942938506792192,6,1.97
1053942938506792192,7,1.23
1053942938506792192,8,2.02
1053942938506792192,9,3.43
1053942938506792192,10,4.08
1053942938506792192,11,5
1053942938506792192,12,4.54
1053942938506792192,13,4.33
1053942938506792192,14,4.66
1053942938506792192,15,4.78
1062771560575673600,1,4.58
1062771560575673600,2,4.73
1062771560575673600,3,4.73
1062771560575673600,4,3.99
1062771560575673600,5,3.1
1062771560575673600,6,3.11
1062771560575673600,7,1.89
1062771560575673600,8,1.73
1062771560575673600,9,4.28
1062771560575673600,10,4.5
1062771560575673600,11,3.05
1062771560575673600,12,1.85
1062771560575673600,13,2.15
1062771560575673600,14,1.83
1062771560575673600,15,1.5
113393055087478336,1,4.9
113393055087478336,2,4.72
113393055087478336,3,4.33
113393055087478336,4,4.08
113393055087478336,5,2.28
113393055087478336,6,2.06
113393055087478336,7,2.59
113393055087478336,8,3.21
113393055087478336,9,2.63
113393055087478336,10,2.2
113393055087478336,11,1.69
113393055087478336,12,3.01
113393055087478336,13,2.53
113393055087478336,14,1.76
113393055087478336,15,0.9
1478697610120889600,1,4.35
1478697610120889600,2,4.85
1478697610120889600,3,4.93
1478697610120889600,4,4.3
1478697610120889600,5,2.38
1478697610120889600,6,1.77
1478697610120889600,7,2.09
1478697610120889600,8,0.85
1478697610120889600,9,2.57
1478697610120889600,10,1.65
1478697610120889600,11,3.01
1478697610120889600,12,2.37
1478697610120889600,13,1.16
1478697610120889600,14,2.5
1478697610120889600,15,2.06
1490978973272347648,1,4.99
1490978973272347648,2,4.35
1490978973272347648,3,4.44
1490978973272347648,4,4.92
1490978973272347648,5,4.8
1490978973272347648,6,4.82
1490978973272347648,7,3.6
1490978973272347648,8,2.98
1490978973272347648,9,3.61
1490978973272347648,10,3.65
1490978973272347648,11,3.29
1490978973272347648,12,4.37
1490978973272347648,13,4.31
1490978973272347648,14,4.89
1490978973272347648,15,1.72
1540983566280227328,1,4.94
1540983566280227328,2,3.98
1540983566280227328,3,1.85
1540983566280227328,4,1.8
1540983566280227328,5,1.75
1540983566280227328,6,2.82
1540983566280227328,7,3.07
1540983566280227328,8,3.89
1540983566280227328,9,3.46
1540983566280227328,10,4.58
1540983566280227328,11,4.81
1540983566280227328,12,2.61
1540983566280227328,13,1.81
1540983566280227328,14,2.23
1540983566280227328,15,1.25
154917316885929472,1,4.79
154917316885929472,2,4.34
154917316885929472,3,2.61
154917316885929472,4,3.61
154917316885929472,5,3.48
154917316885929472,6,2.37
154917316885929472,7,3.57
154917316885929472,8,3.54
154917316885929472,9,3.67
154917316885929472,10,3.21
154917316885929472,11,3.66
154917316885929472,12,3.6
154917316885929472,13,3.74
