"Sim_N","Day","AVG_SF_per_Day"
114951420556619536,1,4.74
114951420556619536,2,4.58
114951420556619536,3,3.98
114951420556619536,4,4.21
114951420556619536,5,4.58
114951420556619536,6,3.81
114951420556619536,7,3.56
114951420556619536,8,4.45
114951420556619536,9,4.95
114951420556619536,10,4.7
114951420556619536,11,4.95
114951420556619536,12,4.82
114951420556619536,13,4.35
114951420556619536,14,4.88
114951420556619536,15,4.35
1178511378561595392,1,4.83
1178511378561595392,2,4.53
1178511378561595392,3,2.45
1178511378561595392,4,3.82
1178511378561595392,5,4.09
1178511378561595392,6,3.62
1178511378561595392,7,2.68
1178511378561595392,8,2.36
1178511378561595392,9,4
1178511378561595392,10,3.95
1178511378561595392,11,2.03
1178511378561595392,12,3.48
1178511378561595392,13,3.98
1178511378561595392,14,2.76
1178511378561595392,15,2.17
124511440144267856,1,4.78
124511440144267856,2,3.79
124511440144267856,3,3.21
124511440144267856,4,2.72
124511440144267856,5,2.48
124511440144267856,6,2.66
124511440144267856,7,2.95
124511440144267856,8,4.58
124511440144267856,9,4.69
124511440144267856,10,2.85
124511440144267856,11,4.47
124511440144267856,12,4.69
124511440144267856,13,2.69
124511440144267856,14,2.11
124511440144267856,15,1.82
126642521580183552,1,4
126642521580183552,2,1.89
126642521580183552,3,3.95
126642521580183552,4,1.89
126642521580183552,5,1.93
126642521580183552,6,2.91
126642521580183552,7,2.7
126642521580183552,8,3.45
126642521580183552,9,3.65
126642521580183552,10,3.8
126642521580183552,11,3.25
126642521580183552,12,3.85
126642521580183552,13,4.28
126642521580183552,14,4.86
126642521580183552,15,4.5
1266756226207738880,1,4.39
1266756226207738880,2,2.39
1266756226207738880,3,2.38
1266756226207738880,4,0.97
1266756226207738880,5,1.13
1266756226207738880,6,2.03
1266756226207738880,7,2.43
1266756226207738880,8,3.15
1266756226207738880,9,1.84
1266756226207738880,10,1.34
1266756226207738880,11,1.59
1266756226207738880,12,3.86
1266756226207738880,13,3.23
1266756226207738880,14,1.84
1266756226207738880,15,1.74
1416300775190147584,1,4.8
1416300775190147584,2,3.28
1416300775190147584,3,3.27
1416300775190147584,4,2.32
1416300775190147584,5,2.18
1416300775190147584,6,3.22
1416300775190147584,7,2.33
1416300775190147584,8,3.05
1416300775190147584,9,4.46
1416300775190147584,10,4.62
1416300775190147584,11,4.91
1416300775190147584,12,4.99
1416300775190147584,13,4.65
1416300775190147584,14,4.98
1416300775190147584,15,3.25
143368886367125088,1,4.53
143368886367125088,2,3.27
143368886367125088,3,1.72
143368886367125088,4,1.64
143368886367125088,5,3.28
143368886367125088,6,4.51
143368886367125088,7,4.84
143368886367125088,8,3.93
143368886367125088,9,3.27
143368886367125088,10,2.11
143368886367125088,11,2.34
143368886367125088,12,3.22
143368886367125088,13,3.25
143368886367125088,14,3.06
143368886367125088,15,2.07
1645873375031316992,1,4.51
1645873375031316992,2,2.77
1645873375031316992,3,2.35
1645873375031316992,4,3.15
1645873375031316992,5,4.21
1645873375031316992,6,4.79
1645873375031316992,7,3.71
1645873375031316992,8,2.66
1645873375031316992,9,3.5
1645873375031316992,10,2.31
1645873375031316992,11,1.61
1645873375031316992,12,1.81
1645873375031316992,13,2.66
1645873375031316992,14,2.48
1645873375031316992,15,1.36
1663218557421348352,1,4.78
1663218557421348352,2,3.19
1663218557421348352,3,3.55
1663218557421348352,4,3.65
1663218557421348352,5,2.09
1663218557421348352,6,1.74
1663218557421348352,7,2.09
1663218557421348352,8,4
1663218557421348352,9,3.15
1663218557421348352,10,3.92
1663218557421348352,11,4.8
1663218557421348352,12,5
1663218557421348352,13,4.64
1663218557421348352,14,4.5
1663218557421348352,15,4.23
1665408520791905024,1,4.67
1665408520791905024,2,4.35
1665408520791905024,3,4.91
1665408520791905024,4,4.56
1665408520791905024,5,4.62
1665408520791905024,6,3.92
1665408520791905024,7,2.54
1665408520791905024,8,2.65
1665408520791905024,9,3.94
1665408520791905024,10,4.94
1665408520791905024,11,4.42
1665408520791905024,12,4.6
1665408520791905024,13,4.75
1665408520791905024,14,4.31
1665408520791905024,15,4.06
167705463986662656,1,4.4
167705463986662656,2,3.71
167705463986662656,3,3.91
167705463986662656,4,2.68
167705463986662656,5,1.55
167705463986662656,6,2.41
167705463986662656,7,2.76
167705463986662656,8,3.85
167705463986662656,9,2.23
167705463986662656,10,3.33
167705463986662656,11,3.03
167705463986662656,12,1.88
167705463986662656,13,1.59
167705463986662656,14,1.64
167705463986662656,15,1.26
1697568570697667072,1,4.95
1697568570697667072,2,4.4
1697568570697667072,3,2.43
1697568570697667072,4,1.78
1697568570697667072,5,1.63
1697568570697667072,6,2.04
1697568570697667072,7,0.9
1697568570697667072,8,2.08
1697568570697667072,9,2.16
1697568570697667072,10,3.5
1697568570697667072,11,1.94
1697568570697667072,12,2.49
1697568570697667072,13,1.79
1697568570697667072,14,2.6
1697568570697667072,15,1.71
1919458154250668032,1,4.99
1919458154250668032,2,4.19
1919458154250668032,3,4.24
1919458154250668032,4,4.17
1919458154250668032,5,2.09
1919458154250668032,6,1.63
1919458154250668032,7,1.27
1919458154250668032,8,1.92
1919458154250668032,9,2.22
1919458154250668032,10,1.57
1919458154250668032,11,1.88
1919458154250668032,12,2.34
1919458154250668032,13,2.31
1919458154250668032,14,3.63
1919458154250668032,15,2.26
1968767471414403584,1,4.92
1968767471414403584,2,4.23
1968767471414403584,3,1.79
1968767471414403584,4,1.84
1968767471414403584,5,1.61
1968767471414403584,6,1.72
1968767471414403584,7,1.77
1968767471414403584,8,1.54
1968767471414403584,9,3.55
1968767471414403584,10,3.38
1968767471414403584,11,3.15
1968767471414403584,12,4.51
1968767471414403584,13,4.2
1968767471414403584,14,1.62
1968767471414403584,15,2.01
2138417592079992320,1,4.85
2138417592079992320,2,3
2138417592079992320,3,1.3
2138417592079992320,4,1.19
2138417592079992320,5,1.1
2138417592079992320,6,1.22
2138417592079992320,7,1.83
2138417592079992320,8,2.14
2138417592079992320,9,3.99
2138417592079992320,10,3.54
2138417592079992320,11,3.54
2138417592079992320,12,3.06
2138417592079992320,13,3.55
2138417592079992320,14,2.79
2138417592079992320,15,0.94
2192032614172533760,1,4.97
2192032614172533760,2,3.89
2192032614172533760,3,3.13
2192032614172533760,4,3.66
2192032614172533760,5,4.92
2192032614172533760,6,4.93
2192032614172533760,7,3.6
2192032614172533760,8,2.44
2192032614172533760,9,2.45
2192032614172533760,10,1.59
2192032614172533760,11,2.06
2192032614172533760,12,1.49
2192032614172533760,13,1.18
2192032614172533760,14,1.89
2192032614172533760,15,1.43
2275975042486532864,1,4.63
2275975042486532864,2,3.78
2275975042486532864,3,3.98
2275975042486532864,4,2.51
2275975042486532864,5,2.07
2275975042486532864,6,2.02
2275975042486532864,7,1.87
2275975042486532864,8,1.35
2275975042486532864,9,1.63
2275975042486532864,10,2.32
2275975042486532864,11,2.37
2275975042486532864,12,1.19
2275975042486532864,13,1.45
2275975042486532864,14,3.04
2275975042486532864,15,1.1
2555872777898483200,1,5
2555872777898483200,2,4.95
2555872777898483200,3,4.98
2555872777898483200,4,4.89
2555872777898483200,5,4.53
2555872777898483200,6,3.58
2555872777898483200,7,1.9
2555872777898483200,8,1.83
2555872777898483200,9,1.41
2555872777898483200,10,1.98
2555872777898483200,11,1.85
2555872777898483200,12,2.1
2555872777898483200,13,3.54
2555872777898483200,14,4.47
2555872777898483200,15,4.99
2761307010957760000,1,5
2761307010957760000,2,4.74
2761307010957760000,3,4.91
2761307010957760000,4,4.14
2761307010957760000,5,4.31
2761307010957760000,6,4.03
2761307010957760000,7,3.64
2761307010957760000,8,4.6
2761307010957760000,9,5
2761307010957760000,10,4.3
2761307010957760000,11,3.08
2761307010957760000,12,2.9
2761307010957760000,13,3.34
2761307010957760000,14,3.68
2761307010957760000,15,4.17
2788740893372615680,1,4.53
2788740893372615680,2,4.76
2788740893372615680,3,4.85
2788740893372615680,4,4.04
2788740893372615680,5,1.99
2788740893372615680,6,1.75
2788740893372615680,7,2.62
2788740893372615680,8,1.8
2788740893372615680,9,0.84
2788740893372615680,10,1.84
2788740893372615680,11,2.37
2788740893372615680,12,3.63
2788740893372615680,13,4.11
2788740893372615680,14,4.28
2788740893372615680,15,4.45
2795208962060136960,1,4.86
2795208962060136960,2,4.42
2795208962060136960,3,4.82
2795208962060136960,4,4.91
2795208962060136960,5,4.15
2795208962060136960,6,4.77
2795208962060136960,7,3.22
2795208962060136960,8,4.14
2795208962060136960,9,4.03
2795208962060136960,10,3.96
2795208962060136960,11,3.4
2795208962060136960,12,2.39
2795208962060136960,13,1.97
2795208962060136960,14,1.51
2795208962060136960,15,3.26
3046560881686041088,1,3.95
3046560881686041088,2,2.04
3046560881686041088,3,3.89
3046560881686041088,4,4.95
3046560881686041088,5,4.31
3046560881686041088,6,1.95
3046560881686041088,7,2.64
3046560881686041088,8,2.82
3046560881686041088,9,1.76
3046560881686041088,10,1.38
3046560881686041088,11,2.66
3046560881686041088,12,3.49
3046560881686041088,13,2.93
3046560881686041088,14,3.64
3046560881686041088,15,2.92
3099411474401373184,1,4.79
3099411474401373184,2,3.23
3099411474401373184,3,1.76
3099411474401373184,4,2.85
3099411474401373184,5,1.31
3099411474401373184,6,2.25
3099411474401373184,7,2.75
3099411474401373184,8,1.41
3099411474401373184,9,1.58
3099411474401373184,10,2.44
3099411474401373184,11,1.19
3099411474401373184,12,1.08
3099411474401373184,13,2.95
3099411474401373184,14,2.52
3099411474401373184,15,0.53
3136936824050226688,1,4.71
3136936824050226688,2,4.76
3136936824050226688,3,4.77
3136936824050226688,4,4.84
3136936824050226688,5,4.22
3136936824050226688,6,4.4
3136936824050226688,7,4.55
3136936824050226688,8,4.86
3136936824050226688,9,2.68
3136936824050226688,10,1.69
3136936824050226688,11,1.79
3136936824050226688,12,1.52
3136936824050226688,13,2.7
3136936824050226688,14,4.95
3136936824050226688,15,4.93
314348375361858880,1,4.9
314348375361858880,2,4.93
314348375361858880,3,4.92
314348375361858880,4,4.86
314348375361858880,5,4.94
314348375361858880,6,4.73
314348375361858880,7,4.59
314348375361858880,8,3.91
314348375361858880,9,3.44
314348375361858880,10,3.41
314348375361858880,11,3.83
314348375361858880,12,2.62
314348375361858880,13,1.51
314348375361858880,14,1.21
314348375361858880,15,1.16
3173179955766474240,1,4.59
3173179955766474240,2,3.29
3173179955766474240,3,1.95
3173179955766474240,4,2.46
3173179955766474240,5,3.54
3173179955766474240,6,3.81
3173179955766474240,7,4.71
3173179955766474240,8,4.84
3173179955766474240,9,4.2
3173179955766474240,10,4.19
3173179955766474240,11,5
3173179955766474240,12,4.8
3173179955766474240,13,3.49
3173179955766474240,14,3.52
3173179955766474240,15,4.92
3202635196129421312,1,4.84
3202635196129421312,2,4.3
3202635196129421312,3,1.68
3202635196129421312,4,2.31
3202635196129421312,5,3.89
3202635196129421312,6,2.97
3202635196129421312,7,1.97
3202635196129421312,8,2.56
3202635196129421312,9,2.02
3202635196129421312,10,2.07
3202635196129421312,11,2.38
3202635196129421312,12,1.41
3202635196129421312,13,1.89
3202635196129421312,14,1.84
3202635196129421312,15,3.2
3.30375022577e+18,1,5
3.30375022577e+18,2,4.3
3.30375022577e+18,3,3.64
3.30375022577e+18,4,3.2
3.30375022577e+18,5,3.02
3.30375022577e+18,6,2.12
3.30375022577e+18,7,2.11
3.30375022577e+18,8,1.62
3.30375022577e+18,9,1.9
3.30375022577e+18,10,1.25
3.30375022577e+18,11,2.47
3.30375022577e+18,12,2.76
3.30375022577e+18,13,4.11
3.30375022577e+18,14,4.4
3.30375022577e+18,15,2.36
3313619173170424320,1,4.44
3313619173170424320,2,2.44
3313619173170424320,3,2.03
3313619173170424320,4,0.93
3313619173170424320,5,1.48
3313619173170424320,6,1.96
3313619173170424320,7,1.51
3313619173170424320,8,0.9
3313619173170424320,9,1.17
3313619173170424320,10,1.44
3313619173170424320,11,2.34
3313619173170424320,12,2.18
3313619173170424320,13,3.72
3313619173170424320,14,2.84
3313619173170424320,15,0.67
3321817323099960832,1,4.9
3321817323099960832,2,3.84
3321817323099960832,3,4.09
3321817323099960832,4,4.19
3321817323099960832,5,4.86
3321817323099960832,6,4.64
3321817323099960832,7,3.25
3321817323099960832,8,2.57
3321817323099960832,9,3.97
3321817323099960832,10,3.29
3321817323099960832,11,1.83
3321817323099960832,12,1.07
3321817323099960832,13,1.99
3321817323099960832,14,2.21
3321817323099960832,15,1.35
3348061460025354752,1,4.97
3348061460025354752,2,4.8
3348061460025354752,3,4.15
3348061460025354752,4,3.41
3348061460025354752,5,4.12
3348061460025354752,6,4.6
3348061460025354752,7,2.67
3348061460025354752,8,3.46
3348061460025354752,9,4.52
3348061460025354752,10,5
3348061460025354752,11,4.05
3348061460025354752,12,3.46
3348061460025354752,13,4.19
3348061460025354752,14,4.81
3348061460025354752,15,4
337220857534025728,1,4.99
337220857534025728,2,4.45
337220857534025728,3,4.49
337220857534025728,4,4.49
337220857534025728,5,4.95
337220857534025728,6,4.89
337220857534025728,7,4.25
337220857534025728,8,4.65
337220857534025728,9,5
337220857534025728,10,4.34
337220857534025728,11,3.31
337220857534025728,12,2.27
337220857534025728,13,2.52
337220857534025728,14,1.96
337220857534025728,15,0.77
3475005346881803264,1,5
3475005346881803264,2,4.98
3475005346881803264,3,4.04
3475005346881803264,4,4.22
3475005346881803264,5,4.11
3475005346881803264,6,2.92
3475005346881803264,7,3.09
3475005346881803264,8,3.33
3475005346881803264,9,3.68
3475005346881803264,10,3.56
3475005346881803264,11,3.16
3475005346881803264,12,2.65
3475005346881803264,13,1.7
3475005346881803264,14,2.91
3475005346881803264,15,3.05
3533124977891171840,1,4.91
3533124977891171840,2,4.34
3533124977891171840,3,4.78
3533124977891171840,4,2.56
3533124977891171840,5,1.65
3533124977891171840,6,1.71
3533124977891171840,7,1.19
3533124977891171840,8,1.11
3533124977891171840,9,1.36
3533124977891171840,10,2.37
3533124977891171840,11,1.64
3533124977891171840,12,1.82
3533124977891171840,13,2.42
3533124977891171840,14,3.41
3533124977891171840,15,1.72
3591613422663572480,1,4.54
3591613422663572480,2,2.26
3591613422663572480,3,1.87
3591613422663572480,4,3.27
3591613422663572480,5,3.4
3591613422663572480,6,2.99
3591613422663572480,7,2.12
3591613422663572480,8,1.18
3591613422663572480,9,1.7
3591613422663572480,10,1.55
3591613422663572480,11,1.45
3591613422663572480,12,1.89
3591613422663572480,13,4.38
3591613422663572480,14,3.64
3591613422663572480,15,1.34
3781145969578821120,1,4.9
3781145969578821120,2,3.09
3781145969578821120,3,3.73
3781145969578821120,4,3.92
3781145969578821120,5,3.11
3781145969578821120,6,2.56
3781145969578821120,7,2.06
3781145969578821120,8,1.43
3781145969578821120,9,2.81
3781145969578821120,10,3.51
3781145969578821120,11,3.48
3781145969578821120,12,2.15
3781145969578821120,13,1.89
3781145969578821120,14,1.77
3781145969578821120,15,0.48
3918347777314222080,1,4.27
3918347777314222080,2,2.38
3918347777314222080,3,2.41
3918347777314222080,4,1.83
3918347777314222080,5,1.65
3918347777314222080,6,1.24
3918347777314222080,7,1.07
3918347777314222080,8,3.06
3918347777314222080,9,3.89
3918347777314222080,10,3.34
3918347777314222080,11,1.94
3918347777314222080,12,1.51
3918347777314222080,13,2.49
3918347777314222080,14,2.77
3918347777314222080,15,0.75
3990125697696621568,1,4.57
3990125697696621568,2,2.75
3990125697696621568,3,3.66
