"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1047319896050519168,1,"0:00",3,0,3,0,5
1047319896050519168,1,"1:00",2,0,3,1,5
1047319896050519168,1,"2:00",2,0,5,0,3
1047319896050519168,1,"3:00",4,1,8,0,0
1047319896050519168,1,"4:00",4,4,8,1,0
1047319896050519168,1,"5:00",3,6,8,1,0
1047319896050519168,1,"6:00",3,9,8,0,0
1047319896050519168,1,"7:00",4,13,8,0,0
1047319896050519168,1,"8:00",5,18,8,0,0
1047319896050519168,1,"9:00",4,20,8,2,0
1047319896050519168,1,"10:00",2,22,8,0,0
1047319896050519168,1,"11:00",5,25,8,2,0
1047319896050519168,1,"12:00",3,24,8,4,0
1047319896050519168,1,"13:00",1,24,8,1,0
1047319896050519168,1,"14:00",1,24,8,1,0
1047319896050519168,1,"15:00",5,27,8,2,0
1047319896050519168,1,"16:00",5,27,8,3,0
1047319896050519168,1,"17:00",5,27,8,2,0
1047319896050519168,1,"18:00",0,21,8,3,0
1047319896050519168,1,"19:00",5,20,8,1,0
1047319896050519168,1,"20:00",2,17,8,3,0
1047319896050519168,1,"21:00",2,13,8,1,0
1047319896050519168,1,"22:00",0,6,8,5,0
1047319896050519168,1,"23:00",2,6,8,0,0
1047319896050519168,2,"0:00",0,4,8,2,0
1047319896050519168,2,"1:00",0,4,8,0,0
1047319896050519168,2,"2:00",1,4,8,1,0
1047319896050519168,2,"3:00",0,2,8,2,0
1047319896050519168,2,"4:00",4,3,8,1,0
1047319896050519168,2,"5:00",1,4,8,0,0
1047319896050519168,2,"6:00",2,3,8,3,0
1047319896050519168,2,"7:00",0,1,8,2,0
1047319896050519168,2,"8:00",4,3,8,2,0
1047319896050519168,2,"9:00",4,5,8,2,0
1047319896050519168,2,"10:00",0,4,8,1,0
1047319896050519168,2,"11:00",5,5,8,4,0
1047319896050519168,2,"12:00",0,4,8,1,0
1047319896050519168,2,"13:00",1,4,8,1,0
1047319896050519168,2,"14:00",4,6,8,2,0
1047319896050519168,2,"15:00",5,10,8,1,0
1047319896050519168,2,"16:00",3,6,8,6,0
1047319896050519168,2,"17:00",2,7,8,1,0
1047319896050519168,2,"18:00",2,6,8,3,0
1047319896050519168,2,"19:00",3,9,8,0,0
1047319896050519168,2,"20:00",3,10,8,2,0
1047319896050519168,2,"21:00",4,10,8,2,0
1047319896050519168,2,"22:00",1,8,8,3,0
1047319896050519168,2,"23:00",4,10,8,2,0
1047319896050519168,3,"0:00",3,13,8,0,0
1047319896050519168,3,"1:00",3,14,8,1,0
1047319896050519168,3,"2:00",0,12,8,0,0
1047319896050519168,3,"3:00",4,15,8,1,0
1047319896050519168,3,"4:00",4,18,8,1,0
1047319896050519168,3,"5:00",4,18,8,2,0
1047319896050519168,3,"6:00",0,17,8,1,0
1047319896050519168,3,"7:00",3,16,8,3,0
1047319896050519168,3,"8:00",1,14,8,2,0
1047319896050519168,3,"9:00",1,15,8,0,0
1047319896050519168,3,"10:00",1,14,8,1,0
