"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
102068776879666688,1,"0:00",4,0,4,0,4
102068776879666688,1,"1:00",3,0,7,0,1
102068776879666688,1,"2:00",1,0,7,1,1
102068776879666688,1,"3:00",0,0,4,3,4
102068776879666688,1,"4:00",5,1,8,0,0
102068776879666688,1,"5:00",1,1,8,1,0
102068776879666688,1,"6:00",4,3,8,2,0
102068776879666688,1,"7:00",5,6,8,2,0
102068776879666688,1,"8:00",0,5,8,1,0
102068776879666688,1,"9:00",4,9,8,0,0
102068776879666688,1,"10:00",2,8,8,3,0
102068776879666688,1,"11:00",2,9,8,1,0
102068776879666688,1,"12:00",4,13,8,0,0
102068776879666688,1,"13:00",3,14,8,2,0
102068776879666688,1,"14:00",1,13,8,2,0
102068776879666688,1,"15:00",0,10,8,3,0
102068776879666688,1,"16:00",0,9,8,1,0
102068776879666688,1,"17:00",1,7,8,3,0
102068776879666688,1,"18:00",5,12,8,0,0
102068776879666688,1,"19:00",1,10,8,3,0
102068776879666688,1,"20:00",5,14,8,1,0
102068776879666688,1,"21:00",3,17,8,0,0
102068776879666688,1,"22:00",2,17,8,2,0
102068776879666688,1,"23:00",1,16,8,2,0
102068776879666688,2,"0:00",2,16,8,2,0
102068776879666688,2,"1:00",1,16,8,1,0
102068776879666688,2,"2:00",3,18,8,1,0
102068776879666688,2,"3:00",0,13,8,5,0
102068776879666688,2,"4:00",0,13,8,0,0
102068776879666688,2,"5:00",0,11,8,2,0
102068776879666688,2,"6:00",5,13,8,2,0
102068776879666688,2,"7:00",4,16,8,1,0
102068776879666688,2,"8:00",4,17,8,3,0
102068776879666688,2,"9:00",4,20,8,0,0
102068776879666688,2,"10:00",2,20,8,2,0
102068776879666688,2,"11:00",0,18,8,2,0
102068776879666688,2,"12:00",2,19,8,1,0
102068776879666688,2,"13:00",2,20,8,1,0
102068776879666688,2,"14:00",2,22,8,0,0
102068776879666688,2,"15:00",1,22,8,1,0
102068776879666688,2,"16:00",4,24,8,2,0
102068776879666688,2,"17:00",0,23,8,1,0
102068776879666688,2,"18:00",0,18,8,5,0
102068776879666688,2,"19:00",2,19,8,1,0
102068776879666688,2,"20:00",3,19,8,3,0
102068776879666688,2,"21:00",2,21,8,0,0
102068776879666688,2,"22:00",0,18,8,0,0
102068776879666688,2,"23:00",0,16,8,2,0
102068776879666688,3,"0:00",4,18,8,2,0
102068776879666688,3,"1:00",4,20,8,1,0
102068776879666688,3,"2:00",5,24,8,1,0
102068776879666688,3,"3:00",2,24,8,2,0
102068776879666688,3,"4:00",0,22,8,2,0
102068776879666688,3,"5:00",0,21,8,1,0
102068776879666688,3,"6:00",0,19,8,2,0
102068776879666688,3,"7:00",5,23,8,1,0
102068776879666688,3,"8:00",4,26,8,0,0
102068776879666688,3,"9:00",1,22,8,5,0
102068776879666688,3,"10:00",3,24,8,1,0
102068776879666688,3,"11:00",0,24,8,0,0
102068776879666688,3,"12:00",0,24,8,0,0
102068776879666688,3,"13:00",1,22,8,2,0
102068776879666688,3,"14:00",0,18,8,1,0
102068776879666688,3,"15:00",3,18,8,2,0
102068776879666688,3,"16:00",5,20,8,3,0
102068776879666688,3,"17:00",0,18,8,2,0
102068776879666688,3,"18:00",1,18,8,1,0
102068776879666688,3,"19:00",0,16,8,2,0
102068776879666688,3,"20:00",4,19,8,1,0
102068776879666688,3,"21:00",2,19,8,1,0
102068776879666688,3,"22:00",5,21,8,0,0
102068776879666688,3,"23:00",0,21,8,0,0
102068776879666688,4,"0:00",1,21,8,1,0
102068776879666688,4,"1:00",0,21,8,0,0
102068776879666688,4,"2:00",2,21,8,2,0
102068776879666688,4,"3:00",0,19,8,2,0
102068776879666688,4,"4:00",3,20,8,1,0
102068776879666688,4,"5:00",1,16,8,3,0
102068776879666688,4,"6:00",3,17,8,1,0
102068776879666688,4,"7:00",1,15,8,3,0
102068776879666688,4,"8:00",1,15,8,1,0
102068776879666688,4,"9:00",1,15,8,1,0
102068776879666688,4,"10:00",4,17,8,0,0
102068776879666688,4,"11:00",1,16,8,1,0
102068776879666688,4,"12:00",5,20,8,1,0
102068776879666688,4,"13:00",5,22,8,2,0
102068776879666688,4,"14:00",3,24,8,1,0
102068776879666688,4,"15:00",0,24,8,0,0
102068776879666688,4,"16:00",1,23,8,2,0
102068776879666688,4,"17:00",4,25,8,2,0
102068776879666688,4,"18:00",5,28,8,2,0
