"Sim_N","Day","AVG_SF_per_Day"
102068776879666688,1,3.7
102068776879666688,2,1.52
102068776879666688,3,1.16
102068776879666688,4,0.95
102068776879666688,5,0.92
102068776879666688,6,0.89
102068776879666688,7,0.79
102068776879666688,8,0.59
102068776879666688,9,0.66
102068776879666688,10,0.94
102068776879666688,11,0.72
102068776879666688,12,1.19
102068776879666688,13,1.01
102068776879666688,14,1.16
102068776879666688,15,0.52
103599430677440288,1,3.72
103599430677440288,2,1.23
103599430677440288,3,1.23
103599430677440288,4,0.96
103599430677440288,5,0.77
103599430677440288,6,1.17
103599430677440288,7,1.31
103599430677440288,8,0.95
103599430677440288,9,1.45
103599430677440288,10,1.06
103599430677440288,11,1.07
103599430677440288,12,1.13
103599430677440288,13,0.62
103599430677440288,14,1.36
103599430677440288,15,0.75
1149241946269811328,1,4.53
1149241946269811328,2,3.3
1149241946269811328,3,1.46
1149241946269811328,4,1.06
1149241946269811328,5,2.33
1149241946269811328,6,1.16
1149241946269811328,7,1.81
1149241946269811328,8,1.17
1149241946269811328,9,1.05
1149241946269811328,10,1.26
1149241946269811328,11,2.46
1149241946269811328,12,1.25
1149241946269811328,13,0.9
1149241946269811328,14,1.51
1149241946269811328,15,0.67
1152634366870266880,1,2.48
1152634366870266880,2,0.86
1152634366870266880,3,1.15
1152634366870266880,4,1.21
1152634366870266880,5,1.18
1152634366870266880,6,0.93
1152634366870266880,7,1.5
1152634366870266880,8,1.75
1152634366870266880,9,0.72
1152634366870266880,10,0.69
1152634366870266880,11,1.17
1152634366870266880,12,0.99
1152634366870266880,13,0.82
1152634366870266880,14,0.82
1152634366870266880,15,0.38
1414268887107905280,1,2.95
1414268887107905280,2,0.58
1414268887107905280,3,1.09
1414268887107905280,4,1.11
1414268887107905280,5,1.02
1414268887107905280,6,1.25
1414268887107905280,7,1.13
1414268887107905280,8,1.43
1414268887107905280,9,1.6
1414268887107905280,10,1.55
1414268887107905280,11,2.55
1414268887107905280,12,0.94
1414268887107905280,13,0.95
1414268887107905280,14,0.85
1414268887107905280,15,0.49
1414345525423431424,1,3.67
1414345525423431424,2,1.43
1414345525423431424,3,0.92
1414345525423431424,4,1.14
1414345525423431424,5,0.82
1414345525423431424,6,0.97
