"Sim_N","Day","AVG_SF_per_Day"
1025014838539257344,1,3.64
1025014838539257344,2,1.1
1025014838539257344,3,0.55
1025014838539257344,4,0.84
1025014838539257344,5,1.09
1025014838539257344,6,1.17
1025014838539257344,7,1.22
1025014838539257344,8,0.88
1025014838539257344,9,0.76
1025014838539257344,10,0.74
1025014838539257344,11,1.36
1025014838539257344,12,2.79
1025014838539257344,13,0.88
1025014838539257344,14,0.79
1025014838539257344,15,0.52
105738498652911488,1,4
105738498652911488,2,3.54
105738498652911488,3,1.41
105738498652911488,4,1.3
105738498652911488,5,0.54
105738498652911488,6,1.54
105738498652911488,7,1.07
105738498652911488,8,1.06
105738498652911488,9,0.63
105738498652911488,10,1.41
105738498652911488,11,0.91
105738498652911488,12,1.12
105738498652911488,13,0.79
105738498652911488,14,1.02
105738498652911488,15,0.54
1185744697449354496,1,4.7
1185744697449354496,2,1.98
1185744697449354496,3,1.31
1185744697449354496,4,1.02
1185744697449354496,5,0.92
1185744697449354496,6,0.51
1185744697449354496,7,1.02
1185744697449354496,8,0.65
1185744697449354496,9,1.11
1185744697449354496,10,0.79
1185744697449354496,11,0.88
1185744697449354496,12,0.9
1185744697449354496,13,1.88
1185744697449354496,14,0.94
1185744697449354496,15,0.54
1366364983591942400,1,2.74
1366364983591942400,2,0.85
1366364983591942400,3,0.89
1366364983591942400,4,0.98
1366364983591942400,5,1.23
1366364983591942400,6,0.74
1366364983591942400,7,0.84
1366364983591942400,8,0.95
1366364983591942400,9,0.73
1366364983591942400,10,1.34
1366364983591942400,11,1.14
1366364983591942400,12,0.84
1366364983591942400,13,1.48
1366364983591942400,14,0.98
1366364983591942400,15,0.59
1432553738637328896,1,4.16
1432553738637328896,2,1.36
1432553738637328896,3,1.21
1432553738637328896,4,2.63
1432553738637328896,5,0.78
1432553738637328896,6,1.45
1432553738637328896,7,0.75
1432553738637328896,8,0.89
1432553738637328896,9,1.49
1432553738637328896,10,1.73
1432553738637328896,11,0.86
1432553738637328896,12,0.89
1432553738637328896,13,1.04
1432553738637328896,14,0.65
1432553738637328896,15,0.3
1485360439521101312,1,4.41
1485360439521101312,2,2.03
1485360439521101312,3,0.94
1485360439521101312,4,0.9
1485360439521101312,5,0.78
1485360439521101312,6,0.68
1485360439521101312,7,0.87
1485360439521101312,8,1.79
1485360439521101312,9,1.26
1485360439521101312,10,0.72
1485360439521101312,11,2.43
1485360439521101312,12,0.84
1485360439521101312,13,1.16
1485360439521101312,14,0.74
1485360439521101312,15,0.33
1517066439494992384,1,4.93
1517066439494992384,2,3.49
1517066439494992384,3,1.96
1517066439494992384,4,1.44
1517066439494992384,5,1.64
1517066439494992384,6,1.31
1517066439494992384,7,1.02
1517066439494992384,8,1.74
1517066439494992384,9,1.25
1517066439494992384,10,1.53
1517066439494992384,11,1.21
1517066439494992384,12,1.31
1517066439494992384,13,0.98
1517066439494992384,14,1.24
1517066439494992384,15,0.51
1532994611826331648,1,2.43
1532994611826331648,2,0.81
1532994611826331648,3,1.8
1532994611826331648,4,0.64
1532994611826331648,5,0.8
1532994611826331648,6,0.87
1532994611826331648,7,1.74
1532994611826331648,8,1.21
1532994611826331648,9,1.67
1532994611826331648,10,1.56
1532994611826331648,11,1.32
1532994611826331648,12,1.23
1532994611826331648,13,0.93
1532994611826331648,14,1.28
1532994611826331648,15,0.79
1675213296420994048,1,3.12
1675213296420994048,2,1.04
1675213296420994048,3,0.85
1675213296420994048,4,2.15
1675213296420994048,5,0.91
1675213296420994048,6,1.02
1675213296420994048,7,1
1675213296420994048,8,1.31
1675213296420994048,9,0.85
1675213296420994048,10,0.95
1675213296420994048,11,0.8
1675213296420994048,12,1.29
