"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
100408162998627616,1,"0:00",5,0,5,0,5
100408162998627616,1,"1:00",1,0,5,1,5
100408162998627616,1,"2:00",3,0,7,1,3
100408162998627616,1,"3:00",4,0,10,1,0
100408162998627616,1,"4:00",0,0,9,1,1
100408162998627616,1,"5:00",2,0,10,1,0
100408162998627616,1,"6:00",1,0,10,1,0
100408162998627616,1,"7:00",1,1,10,0,0
100408162998627616,1,"8:00",2,1,10,2,0
100408162998627616,1,"9:00",0,0,10,1,0
100408162998627616,1,"10:00",1,0,10,1,0
100408162998627616,1,"11:00",2,1,10,1,0
100408162998627616,1,"12:00",4,5,10,0,0
100408162998627616,1,"13:00",2,6,10,1,0
100408162998627616,1,"14:00",1,7,10,0,0
100408162998627616,1,"15:00",3,8,10,2,0
100408162998627616,1,"16:00",2,7,10,3,0
100408162998627616,1,"17:00",3,8,10,2,0
100408162998627616,1,"18:00",1,7,10,2,0
100408162998627616,1,"19:00",3,7,10,3,0
100408162998627616,1,"20:00",3,6,10,4,0
100408162998627616,1,"21:00",4,6,10,4,0
100408162998627616,1,"22:00",2,7,10,1,0
100408162998627616,1,"23:00",4,8,10,2,0
100408162998627616,2,"0:00",1,9,10,0,0
100408162998627616,2,"1:00",5,11,10,2,0
100408162998627616,2,"2:00",4,13,10,2,0
100408162998627616,2,"3:00",4,16,10,1,0
100408162998627616,2,"4:00",3,17,10,2,0
100408162998627616,2,"5:00",1,18,10,0,0
100408162998627616,2,"6:00",1,17,10,2,0
100408162998627616,2,"7:00",4,20,10,1,0
100408162998627616,2,"8:00",1,18,10,3,0
100408162998627616,2,"9:00",0,18,10,0,0
100408162998627616,2,"10:00",2,19,10,1,0
100408162998627616,2,"11:00",4,17,10,6,0
100408162998627616,2,"12:00",4,16,10,5,0
100408162998627616,2,"13:00",1,13,10,4,0
100408162998627616,2,"14:00",1,12,10,2,0
100408162998627616,2,"15:00",3,13,10,1,0
100408162998627616,2,"16:00",0,11,10,1,0
100408162998627616,2,"17:00",2,11,10,0,0
100408162998627616,2,"18:00",1,12,10,0,0
100408162998627616,2,"19:00",1,11,10,1,0
100408162998627616,2,"20:00",2,7,10,4,0
100408162998627616,2,"21:00",3,6,10,4,0
100408162998627616,2,"22:00",1,3,10,4,0
100408162998627616,2,"23:00",1,0,9,5,1
100408162998627616,3,"0:00",5,0,10,4,0
100408162998627616,3,"1:00",2,0,10,2,0
100408162998627616,3,"2:00",2,0,8,4,2
100408162998627616,3,"3:00",1,0,7,2,3
100408162998627616,3,"4:00",0,0,6,1,4
100408162998627616,3,"5:00",3,0,7,2,3
100408162998627616,3,"6:00",3,0,6,2,4
100408162998627616,3,"7:00",2,0,7,0,3
100408162998627616,3,"8:00",5,1,10,1,0
100408162998627616,3,"9:00",4,5,10,0,0
100408162998627616,3,"10:00",1,5,10,1,0
100408162998627616,3,"11:00",3,5,10,3,0
100408162998627616,3,"12:00",5,7,10,3,0
100408162998627616,3,"13:00",0,6,10,1,0
100408162998627616,3,"14:00",1,4,10,3,0
100408162998627616,3,"15:00",4,7,10,1,0
100408162998627616,3,"16:00",5,10,10,2,0
100408162998627616,3,"17:00",0,6,10,4,0
100408162998627616,3,"18:00",3,6,10,3,0
100408162998627616,3,"19:00",0,2,10,4,0
100408162998627616,3,"20:00",1,0,10,3,0
100408162998627616,3,"21:00",4,0,10,4,0
100408162998627616,3,"22:00",1,0,7,4,3
100408162998627616,3,"23:00",5,2,10,0,0
100408162998627616,4,"0:00",2,3,10,1,0
100408162998627616,4,"1:00",1,3,10,1,0
100408162998627616,4,"2:00",0,0,10,3,0
100408162998627616,4,"3:00",4,0,8,6,2
100408162998627616,4,"4:00",3,0,9,2,1
100408162998627616,4,"5:00",4,0,10,3,0
100408162998627616,4,"6:00",5,2,10,3,0
100408162998627616,4,"7:00",0,0,10,2,0
100408162998627616,4,"8:00",0,0,10,0,0
100408162998627616,4,"9:00",4,3,10,1,0
100408162998627616,4,"10:00",5,7,10,1,0
100408162998627616,4,"11:00",3,10,10,0,0
100408162998627616,4,"12:00",4,13,10,1,0
100408162998627616,4,"13:00",3,14,10,2,0
100408162998627616,4,"14:00",5,16,10,3,0
100408162998627616,4,"15:00",2,16,10,2,0
100408162998627616,4,"16:00",0,15,10,1,0
100408162998627616,4,"17:00",4,18,10,1,0
100408162998627616,4,"18:00",0,17,10,1,0
100408162998627616,4,"19:00",4,19,10,2,0
100408162998627616,4,"20:00",2,20,10,1,0
100408162998627616,4,"21:00",5,22,10,3,0
100408162998627616,4,"22:00",0,18,10,4,0
100408162998627616,4,"23:00",0,14,10,4,0
100408162998627616,5,"0:00",1,14,10,1,0
100408162998627616,5,"1:00",1,13,10,1,0
100408162998627616,5,"2:00",2,10,10,3,0
100408162998627616,5,"3:00",1,10,10,1,0
100408162998627616,5,"4:00",2,10,10,0,0
100408162998627616,5,"5:00",0,8,10,0,0
100408162998627616,5,"6:00",4,10,10,2,0
100408162998627616,5,"7:00",5,11,10,4,0
100408162998627616,5,"8:00",2,12,10,0,0
100408162998627616,5,"9:00",4,12,10,3,0
100408162998627616,5,"10:00",5,16,10,1,0
100408162998627616,5,"11:00",3,18,10,1,0
100408162998627616,5,"12:00",3,21,10,0,0
100408162998627616,5,"13:00",4,22,10,2,0
100408162998627616,5,"14:00",2,23,10,1,0
100408162998627616,5,"15:00",1,23,10,1,0
100408162998627616,5,"16:00",0,23,10,0,0
100408162998627616,5,"17:00",5,28,10,0,0
100408162998627616,5,"18:00",1,28,10,1,0
100408162998627616,5,"19:00",2,23,10,4,0
100408162998627616,5,"20:00",2,23,10,2,0
100408162998627616,5,"21:00",0,20,10,3,0
100408162998627616,5,"22:00",3,19,10,1,0
100408162998627616,5,"23:00",4,20,10,0,0
100408162998627616,6,"0:00",5,18,10,2,0
100408162998627616,6,"1:00",1,16,10,3,0
100408162998627616,6,"2:00",1,14,10,1,0
100408162998627616,6,"3:00",4,17,10,1,0
100408162998627616,6,"4:00",3,18,10,2,0
100408162998627616,6,"5:00",0,16,10,1,0
100408162998627616,6,"6:00",3,16,10,1,0
100408162998627616,6,"7:00",1,16,10,1,0
100408162998627616,6,"8:00",0,16,10,0,0
100408162998627616,6,"9:00",5,16,10,4,0
100408162998627616,6,"10:00",0,15,10,1,0
100408162998627616,6,"11:00",2,13,10,3,0
100408162998627616,6,"12:00",3,13,10,2,0
100408162998627616,6,"13:00",0,11,10,2,0
100408162998627616,6,"14:00",2,11,10,2,0
100408162998627616,6,"15:00",5,15,10,0,0
100408162998627616,6,"16:00",5,14,10,2,0
100408162998627616,6,"17:00",1,11,10,4,0
100408162998627616,6,"18:00",1,6,10,6,0
100408162998627616,6,"19:00",3,8,10,0,0
100408162998627616,6,"20:00",1,6,10,3,0
100408162998627616,6,"21:00",0,2,10,4,0
100408162998627616,6,"22:00",0,0,10,2,0
100408162998627616,6,"23:00",2,1,10,1,0
100408162998627616,7,"0:00",5,5,10,1,0
100408162998627616,7,"1:00",5,8,10,1,0
100408162998627616,7,"2:00",0,5,10,3,0
100408162998627616,7,"3:00",5,8,10,1,0
100408162998627616,7,"4:00",1,8,10,1,0
100408162998627616,7,"5:00",2,8,10,2,0
100408162998627616,7,"6:00",0,8,10,0,0
100408162998627616,7,"7:00",3,11,10,0,0
100408162998627616,7,"8:00",3,13,10,1,0
100408162998627616,7,"9:00",2,15,10,0,0
100408162998627616,7,"10:00",5,20,10,0,0
