"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1195655880232322816,1,"0:00",5,0,4,1,6
1195655880232322816,1,"1:00",1,0,3,2,7
1195655880232322816,1,"2:00",5,0,6,1,4
1195655880232322816,1,"3:00",5,0,10,1,0
1195655880232322816,1,"4:00",0,0,10,0,0
1195655880232322816,1,"5:00",1,0,10,1,0
1195655880232322816,1,"6:00",2,1,10,1,0
1195655880232322816,1,"7:00",4,4,10,0,0
1195655880232322816,1,"8:00",5,9,10,0,0
1195655880232322816,1,"9:00",4,9,10,4,0
1195655880232322816,1,"10:00",4,13,10,0,0
1195655880232322816,1,"11:00",0,12,10,1,0
1195655880232322816,1,"12:00",0,11,10,1,0
1195655880232322816,1,"13:00",2,11,10,2,0
1195655880232322816,1,"14:00",2,8,10,5,0
1195655880232322816,1,"15:00",4,10,10,2,0
1195655880232322816,1,"16:00",3,10,10,3,0
1195655880232322816,1,"17:00",0,8,10,2,0
1195655880232322816,1,"18:00",1,8,10,1,0
1195655880232322816,1,"19:00",5,11,10,2,0
1195655880232322816,1,"20:00",2,11,10,2,0
1195655880232322816,1,"21:00",2,12,10,1,0
1195655880232322816,1,"22:00",3,12,10,3,0
1195655880232322816,1,"23:00",5,13,10,3,0
1195655880232322816,2,"0:00",3,14,10,2,0
1195655880232322816,2,"1:00",5,15,10,4,0
1195655880232322816,2,"2:00",0,15,10,0,0
1195655880232322816,2,"3:00",2,15,10,2,0
1195655880232322816,2,"4:00",2,15,10,2,0
1195655880232322816,2,"5:00",4,14,10,5,0
1195655880232322816,2,"6:00",1,15,10,0,0
1195655880232322816,2,"7:00",3,17,10,1,0
1195655880232322816,2,"8:00",4,19,10,1,0
1195655880232322816,2,"9:00",5,22,10,2,0
1195655880232322816,2,"10:00",2,20,10,4,0
1195655880232322816,2,"11:00",3,23,10,0,0
1195655880232322816,2,"12:00",3,21,10,5,0
1195655880232322816,2,"13:00",1,21,10,1,0
1195655880232322816,2,"14:00",5,24,10,2,0
1195655880232322816,2,"15:00",1,23,10,2,0
1195655880232322816,2,"16:00",5,25,10,3,0
1195655880232322816,2,"17:00",1,26,10,0,0
1195655880232322816,2,"18:00",5,29,10,2,0
1195655880232322816,2,"19:00",2,29,10,2,0
1195655880232322816,2,"20:00",2,31,10,0,0
1195655880232322816,2,"21:00",4,34,10,1,0
1195655880232322816,2,"22:00",1,32,10,2,0
1195655880232322816,2,"23:00",2,31,10,3,0
1195655880232322816,3,"0:00",3,32,10,2,0
1195655880232322816,3,"1:00",3,32,10,3,0
1195655880232322816,3,"2:00",4,34,10,2,0
1195655880232322816,3,"3:00",2,33,10,0,0
1195655880232322816,3,"4:00",1,29,10,5,0
