"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
108740678718262640,1,"0:00",4,0,4,0,6
108740678718262640,1,"1:00",3,0,5,2,5
108740678718262640,1,"2:00",1,0,3,3,7
108740678718262640,1,"3:00",2,0,4,1,6
108740678718262640,1,"4:00",1,0,5,0,5
108740678718262640,1,"5:00",2,0,7,0,3
108740678718262640,1,"6:00",5,1,10,1,0
108740678718262640,1,"7:00",3,3,10,1,0
108740678718262640,1,"8:00",2,5,10,0,0
108740678718262640,1,"9:00",2,6,10,1,0
108740678718262640,1,"10:00",2,7,10,1,0
108740678718262640,1,"11:00",2,5,10,4,0
108740678718262640,1,"12:00",1,4,10,2,0
108740678718262640,1,"13:00",5,8,10,1,0
108740678718262640,1,"14:00",4,7,10,4,0
108740678718262640,1,"15:00",0,4,10,3,0
108740678718262640,1,"16:00",5,8,10,1,0
108740678718262640,1,"17:00",3,10,10,1,0
108740678718262640,1,"18:00",5,15,10,0,0
108740678718262640,1,"19:00",3,14,10,3,0
108740678718262640,1,"20:00",3,15,10,2,0
108740678718262640,1,"21:00",4,17,10,2,0
108740678718262640,1,"22:00",3,18,10,2,0
108740678718262640,1,"23:00",0,15,10,3,0
108740678718262640,2,"0:00",2,16,10,1,0
108740678718262640,2,"1:00",5,18,10,2,0
108740678718262640,2,"2:00",5,20,10,2,0
108740678718262640,2,"3:00",3,21,10,2,0
108740678718262640,2,"4:00",3,22,10,1,0
108740678718262640,2,"5:00",2,23,10,1,0
108740678718262640,2,"6:00",3,25,10,1,0
108740678718262640,2,"7:00",5,26,10,2,0
108740678718262640,2,"8:00",3,28,10,1,0
108740678718262640,2,"9:00",2,28,10,1,0
108740678718262640,2,"10:00",3,26,10,3,0
108740678718262640,2,"11:00",5,29,10,2,0
108740678718262640,2,"12:00",3,31,10,1,0
108740678718262640,2,"13:00",4,33,10,0,0
108740678718262640,2,"14:00",4,32,10,1,0
108740678718262640,2,"15:00",2,33,10,1,0
108740678718262640,2,"16:00",0,29,10,1,0
108740678718262640,2,"17:00",5,30,10,4,0
108740678718262640,2,"18:00",1,29,10,2,0
108740678718262640,2,"19:00",2,29,10,2,0
108740678718262640,2,"20:00",3,28,10,2,0
108740678718262640,2,"21:00",5,28,10,1,0
108740678718262640,2,"22:00",4,27,10,3,0
108740678718262640,2,"23:00",5,27,10,4,0
108740678718262640,3,"0:00",0,24,10,3,0
108740678718262640,3,"1:00",3,23,10,3,0
108740678718262640,3,"2:00",2,21,10,4,0
108740678718262640,3,"3:00",2,19,10,3,0
108740678718262640,3,"4:00",4,21,10,2,0
108740678718262640,3,"5:00",5,22,10,2,0
108740678718262640,3,"6:00",2,22,10,1,0
108740678718262640,3,"7:00",4,25,10,1,0
108740678718262640,3,"8:00",2,25,10,1,0
108740678718262640,3,"9:00",0,22,10,2,0
108740678718262640,3,"10:00",3,22,10,2,0
108740678718262640,3,"11:00",1,21,10,2,0
108740678718262640,3,"12:00",4,22,10,1,0
108740678718262640,3,"13:00",4,23,10,3,0
108740678718262640,3,"14:00",3,24,10,1,0
108740678718262640,3,"15:00",2,24,10,2,0
108740678718262640,3,"16:00",4,27,10,0,0
108740678718262640,3,"17:00",3,26,10,1,0
108740678718262640,3,"18:00",0,25,10,1,0
108740678718262640,3,"19:00",5,26,10,2,0
108740678718262640,3,"20:00",0,23,10,1,0
108740678718262640,3,"21:00",5,26,10,2,0
108740678718262640,3,"22:00",3,28,10,1,0
108740678718262640,3,"23:00",1,25,10,4,0
108740678718262640,4,"0:00",3,26,10,2,0
108740678718262640,4,"1:00",4,25,10,4,0
108740678718262640,4,"2:00",1,23,10,3,0
108740678718262640,4,"3:00",0,20,10,3,0
108740678718262640,4,"4:00",0,17,10,0,0
108740678718262640,4,"5:00",2,18,10,0,0
108740678718262640,4,"6:00",4,20,10,0,0
108740678718262640,4,"7:00",3,20,10,3,0
108740678718262640,4,"8:00",0,19,10,1,0
108740678718262640,4,"9:00",5,22,10,2,0
108740678718262640,4,"10:00",3,24,10,0,0
108740678718262640,4,"11:00",1,22,10,3,0
108740678718262640,4,"12:00",4,24,10,2,0
108740678718262640,4,"13:00",2,21,10,1,0
108740678718262640,4,"14:00",2,20,10,3,0
108740678718262640,4,"15:00",4,21,10,3,0
108740678718262640,4,"16:00",1,19,10,3,0
108740678718262640,4,"17:00",1,19,10,1,0
108740678718262640,4,"18:00",3,19,10,3,0
108740678718262640,4,"19:00",4,22,10,0,0
108740678718262640,4,"20:00",0,20,10,2,0
108740678718262640,4,"21:00",5,21,10,4,0
108740678718262640,4,"22:00",5,24,10,1,0
108740678718262640,4,"23:00",5,27,10,1,0
108740678718262640,5,"0:00",1,27,10,0,0
108740678718262640,5,"1:00",0,25,10,1,0
108740678718262640,5,"2:00",1,25,10,1,0
108740678718262640,5,"3:00",0,22,10,1,0
108740678718262640,5,"4:00",3,23,10,1,0
108740678718262640,5,"5:00",2,23,10,1,0
108740678718262640,5,"6:00",3,24,10,2,0
108740678718262640,5,"7:00",2,23,10,2,0
108740678718262640,5,"8:00",3,22,10,2,0
108740678718262640,5,"9:00",5,25,10,1,0
108740678718262640,5,"10:00",2,21,10,4,0
108740678718262640,5,"11:00",4,21,10,4,0
108740678718262640,5,"12:00",2,17,10,4,0
108740678718262640,5,"13:00",3,19,10,1,0
108740678718262640,5,"14:00",0,15,10,4,0
108740678718262640,5,"15:00",0,13,10,2,0
108740678718262640,5,"16:00",3,13,10,3,0
108740678718262640,5,"17:00",0,13,10,0,0
108740678718262640,5,"18:00",4,15,10,1,0
108740678718262640,5,"19:00",2,16,10,1,0
108740678718262640,5,"20:00",2,17,10,1,0
108740678718262640,5,"21:00",4,18,10,2,0
108740678718262640,5,"22:00",1,17,10,2,0
108740678718262640,5,"23:00",1,17,10,1,0
108740678718262640,6,"0:00",2,17,10,2,0
108740678718262640,6,"1:00",5,19,10,1,0
108740678718262640,6,"2:00",1,19,10,0,0
108740678718262640,6,"3:00",0,17,10,2,0
108740678718262640,6,"4:00",4,17,10,4,0
108740678718262640,6,"5:00",1,17,10,1,0
108740678718262640,6,"6:00",4,19,10,2,0
108740678718262640,6,"7:00",1,18,10,2,0
108740678718262640,6,"8:00",3,18,10,3,0
108740678718262640,6,"9:00",5,22,10,0,0
108740678718262640,6,"10:00",5,24,10,0,0
108740678718262640,6,"11:00",2,25,10,1,0
108740678718262640,6,"12:00",2,25,10,2,0
108740678718262640,6,"13:00",1,26,10,0,0
108740678718262640,6,"14:00",2,25,10,1,0
108740678718262640,6,"15:00",5,28,10,2,0
108740678718262640,6,"16:00",1,28,10,1,0
108740678718262640,6,"17:00",4,28,10,4,0
108740678718262640,6,"18:00",5,28,10,2,0
108740678718262640,6,"19:00",1,26,10,3,0
108740678718262640,6,"20:00",2,24,10,4,0
108740678718262640,6,"21:00",2,24,10,2,0
108740678718262640,6,"22:00",0,21,10,2,0
108740678718262640,6,"23:00",5,23,10,1,0
108740678718262640,7,"0:00",1,24,10,0,0
108740678718262640,7,"1:00",0,21,10,1,0
108740678718262640,7,"2:00",5,21,10,5,0
108740678718262640,7,"3:00",5,23,10,3,0
108740678718262640,7,"4:00",3,26,10,0,0
108740678718262640,7,"5:00",0,23,10,3,0
108740678718262640,7,"6:00",5,22,10,2,0
108740678718262640,7,"7:00",3,25,10,0,0
108740678718262640,7,"8:00",3,26,10,2,0
108740678718262640,7,"9:00",0,24,10,2,0
108740678718262640,7,"10:00",3,23,10,4,0
108740678718262640,7,"11:00",0,19,10,4,0
108740678718262640,7,"12:00",4,18,10,5,0
108740678718262640,7,"13:00",5,20,10,3,0
108740678718262640,7,"14:00",4,18,10,6,0
108740678718262640,7,"15:00",0,16,10,2,0
108740678718262640,7,"16:00",3,19,10,0,0
108740678718262640,7,"17:00",0,15,10,4,0
108740678718262640,7,"18:00",2,16,10,1,0
108740678718262640,7,"19:00",1,16,10,1,0
108740678718262640,7,"20:00",4,19,10,1,0
108740678718262640,7,"21:00",4,19,10,4,0
108740678718262640,7,"22:00",5,21,10,2,0
108740678718262640,7,"23:00",4,22,10,2,0
108740678718262640,8,"0:00",0,18,10,4,0
108740678718262640,8,"1:00",1,17,10,2,0
108740678718262640,8,"2:00",5,18,10,3,0
108740678718262640,8,"3:00",1,16,10,3,0
108740678718262640,8,"4:00",5,19,10,2,0
108740678718262640,8,"5:00",4,20,10,3,0
108740678718262640,8,"6:00",4,23,10,1,0
108740678718262640,8,"7:00",2,23,10,2,0
108740678718262640,8,"8:00",0,21,10,2,0
108740678718262640,8,"9:00",0,18,10,3,0
108740678718262640,8,"10:00",4,21,10,0,0
108740678718262640,8,"11:00",3,20,10,4,0
108740678718262640,8,"12:00",0,17,10,3,0
108740678718262640,8,"13:00",4,16,10,5,0
108740678718262640,8,"14:00",3,15,10,4,0
108740678718262640,8,"15:00",4,18,10,1,0
108740678718262640,8,"16:00",2,18,10,2,0
108740678718262640,8,"17:00",3,17,10,4,0
108740678718262640,8,"18:00",1,16,10,2,0
108740678718262640,8,"19:00",1,16,10,1,0
108740678718262640,8,"20:00",4,19,10,1,0
108740678718262640,8,"21:00",5,22,10,1,0
108740678718262640,8,"22:00",1,23,10,0,0
108740678718262640,8,"23:00",4,26,10,0,0
108740678718262640,9,"0:00",5,28,10,1,0
108740678718262640,9,"1:00",2,28,10,1,0
108740678718262640,9,"2:00",2,27,10,2,0
108740678718262640,9,"3:00",5,30,10,2,0
108740678718262640,9,"4:00",5,32,10,1,0
108740678718262640,9,"5:00",1,28,10,2,0
108740678718262640,9,"6:00",0,26,10,2,0
108740678718262640,9,"7:00",2,25,10,3,0
108740678718262640,9,"8:00",1,23,10,3,0
108740678718262640,9,"9:00",1,20,10,3,0
108740678718262640,9,"10:00",3,15,10,7,0
108740678718262640,9,"11:00",0,14,10,1,0
108740678718262640,9,"12:00",4,14,10,3,0
108740678718262640,9,"13:00",0,11,10,3,0
108740678718262640,9,"14:00",2,11,10,2,0
108740678718262640,9,"15:00",1,9,10,3,0
108740678718262640,9,"16:00",0,8,10,1,0
108740678718262640,9,"17:00",4,8,10,4,0
108740678718262640,9,"18:00",2,7,10,3,0
108740678718262640,9,"19:00",4,11,10,0,0
108740678718262640,9,"20:00",0,10,10,1,0
108740678718262640,9,"21:00",2,12,10,0,0
108740678718262640,9,"22:00",2,14,10,0,0
108740678718262640,9,"23:00",2,15,10,1,0
108740678718262640,10,"0:00",1,14,10,2,0
108740678718262640,10,"1:00",3,16,10,1,0
108740678718262640,10,"2:00",5,19,10,2,0
108740678718262640,10,"3:00",0,18,10,1,0
108740678718262640,10,"4:00",4,19,10,1,0
108740678718262640,10,"5:00",5,20,10,3,0
108740678718262640,10,"6:00",5,23,10,2,0
108740678718262640,10,"7:00",2,20,10,5,0
108740678718262640,10,"8:00",2,17,10,5,0
108740678718262640,10,"9:00",5,21,10,1,0
108740678718262640,10,"10:00",1,19,10,3,0
108740678718262640,10,"11:00",4,17,10,5,0
108740678718262640,10,"12:00",1,15,10,3,0
108740678718262640,10,"13:00",3,18,10,0,0
108740678718262640,10,"14:00",1,16,10,3,0
108740678718262640,10,"15:00",1,14,10,3,0
108740678718262640,10,"16:00",0,14,10,0,0
108740678718262640,10,"17:00",0,10,10,4,0
108740678718262640,10,"18:00",5,15,10,0,0
108740678718262640,10,"19:00",1,14,10,2,0
108740678718262640,10,"20:00",2,13,10,3,0
108740678718262640,10,"21:00",5,18,10,0,0
108740678718262640,10,"22:00",0,14,10,2,0
108740678718262640,10,"23:00",2,15,10,1,0
108740678718262640,11,"0:00",3,16,10,2,0
108740678718262640,11,"1:00",1,11,10,6,0
108740678718262640,11,"2:00",1,10,10,2,0
108740678718262640,11,"3:00",2,10,10,2,0
108740678718262640,11,"4:00",4,11,10,3,0
108740678718262640,11,"5:00",2,13,10,0,0
108740678718262640,11,"6:00",2,12,10,3,0
108740678718262640,11,"7:00",5,17,10,0,0
108740678718262640,11,"8:00",5,20,10,2,0
108740678718262640,11,"9:00",5,24,10,0,0
108740678718262640,11,"10:00",4,27,10,1,0
108740678718262640,11,"11:00",3,29,10,1,0
108740678718262640,11,"12:00",0,29,10,0,0
108740678718262640,11,"13:00",2,28,10,2,0
108740678718262640,11,"14:00",2,28,10,2,0
108740678718262640,11,"15:00",4,30,10,1,0
108740678718262640,11,"16:00",5,32,10,3,0
108740678718262640,11,"17:00",5,32,10,4,0
108740678718262640,11,"18:00",0,29,10,3,0
108740678718262640,11,"19:00",4,31,10,1,0
108740678718262640,11,"20:00",0,27,10,2,0
108740678718262640,11,"21:00",0,23,10,0,0
108740678718262640,11,"22:00",3,23,10,1,0
108740678718262640,11,"23:00",3,22,10,3,0
108740678718262640,12,"0:00",1,22,10,1,0
108740678718262640,12,"1:00",3,20,10,5,0
108740678718262640,12,"2:00",2,20,10,2,0
108740678718262640,12,"3:00",2,20,10,2,0
108740678718262640,12,"4:00",2,17,10,2,0
108740678718262640,12,"5:00",2,17,10,1,0
108740678718262640,12,"6:00",1,15,10,3,0
108740678718262640,12,"7:00",4,16,10,1,0
108740678718262640,12,"8:00",0,12,10,4,0
108740678718262640,12,"9:00",1,10,10,3,0
108740678718262640,12,"10:00",3,9,10,4,0
108740678718262640,12,"11:00",1,8,10,2,0
108740678718262640,12,"12:00",3,9,10,2,0
108740678718262640,12,"13:00",2,11,10,0,0
108740678718262640,12,"14:00",2,12,10,1,0
108740678718262640,12,"15:00",5,17,10,0,0
108740678718262640,12,"16:00",0,17,10,0,0
108740678718262640,12,"17:00",3,18,10,2,0
108740678718262640,12,"18:00",4,21,10,1,0
108740678718262640,12,"19:00",2,21,10,2,0
108740678718262640,12,"20:00",1,20,10,2,0
108740678718262640,12,"21:00",5,22,10,3,0
108740678718262640,12,"22:00",3,21,10,4,0
108740678718262640,12,"23:00",2,22,10,1,0
108740678718262640,13,"0:00",1,18,10,5,0
108740678718262640,13,"1:00",4,19,10,3,0
108740678718262640,13,"2:00",2,18,10,3,0
108740678718262640,13,"3:00",1,18,10,1,0
108740678718262640,13,"4:00",4,21,10,1,0
108740678718262640,13,"5:00",2,20,10,3,0
108740678718262640,13,"6:00",5,20,10,2,0
108740678718262640,13,"7:00",1,20,10,1,0
108740678718262640,13,"8:00",2,20,10,2,0
108740678718262640,13,"9:00",0,16,10,4,0
108740678718262640,13,"10:00",0,15,10,1,0
108740678718262640,13,"11:00",5,15,10,4,0
108740678718262640,13,"12:00",0,11,10,4,0
108740678718262640,13,"13:00",3,14,10,0,0
108740678718262640,13,"14:00",4,17,10,1,0
108740678718262640,13,"15:00",2,17,10,2,0
108740678718262640,13,"16:00",2,16,10,2,0
108740678718262640,13,"17:00",0,15,10,1,0
108740678718262640,13,"18:00",4,18,10,1,0
108740678718262640,13,"19:00",2,19,10,0,0
108740678718262640,13,"20:00",5,20,10,3,0
108740678718262640,13,"21:00",5,25,10,0,0
108740678718262640,13,"22:00",1,25,10,1,0
108740678718262640,13,"23:00",1,25,10,0,0
108740678718262640,14,"0:00",4,24,10,3,0
108740678718262640,14,"1:00",0,23,10,1,0
108740678718262640,14,"2:00",3,20,10,5,0
108740678718262640,14,"3:00",0,17,10,3,0
108740678718262640,14,"4:00",5,19,10,3,0
108740678718262640,14,"5:00",2,20,10,1,0
108740678718262640,14,"6:00",5,23,10,2,0
108740678718262640,14,"7:00",4,25,10,2,0
108740678718262640,14,"8:00",5,27,10,2,0
108740678718262640,14,"9:00",2,27,10,0,0
108740678718262640,14,"10:00",3,27,10,2,0
108740678718262640,14,"11:00",3,25,10,3,0
108740678718262640,14,"12:00",3,23,10,4,0
108740678718262640,14,"13:00",3,22,10,3,0
108740678718262640,14,"14:00",1,23,10,0,0
108740678718262640,14,"15:00",5,24,10,4,0
108740678718262640,14,"16:00",1,22,10,3,0
108740678718262640,14,"17:00",4,25,10,1,0
108740678718262640,14,"18:00",2,23,10,0,0
108740678718262640,14,"19:00",5,26,10,1,0
108740678718262640,14,"20:00",3,28,10,1,0
108740678718262640,14,"21:00",4,28,10,1,0
108740678718262640,14,"22:00",4,28,10,4,0
108740678718262640,14,"23:00",1,28,10,1,0
108740678718262640,15,"0:00",1,26,10,3,0
108740678718262640,15,"1:00",1,27,10,0,0
108740678718262640,15,"2:00",3,27,10,1,0
108740678718262640,15,"3:00",2,25,10,2,0
108740678718262640,15,"4:00",5,28,10,0,0
108740678718262640,15,"5:00",4,29,10,1,0
108740678718262640,15,"6:00",4,29,10,2,0
108740678718262640,15,"7:00",5,30,10,3,0
108740678718262640,15,"8:00",4,31,10,1,0
108740678718262640,15,"9:00",2,30,10,2,0
108740678718262640,15,"10:00",3,30,10,2,0
108740678718262640,15,"11:00",3,27,10,4,0
108740678718262640,15,"12:00",5,32,10,0,0
108740678718262640,15,"13:00",3,31,10,4,0
108740678718262640,15,"14:00",3,33,10,1,0
108740678718262640,15,"15:00",1,32,10,1,0
108740678718262640,15,"16:00",5,34,10,3,0
108740678718262640,15,"17:00",4,34,10,1,0
108740678718262640,15,"18:00",0,28,10,5,0
108740678718262640,15,"19:00",2,25,10,4,0
108740678718262640,15,"20:00",1,19,10,7,0
108740678718262640,15,"21:00",3,20,10,2,0
108740678718262640,15,"22:00",5,23,10,2,0
