"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1135160294608856192,1,"0:00",0,0,0,0,10
1135160294608856192,1,"1:00",2,0,2,0,8
1135160294608856192,1,"2:00",1,0,1,2,9
1135160294608856192,1,"3:00",2,0,3,0,7
1135160294608856192,1,"4:00",2,0,4,1,6
1135160294608856192,1,"5:00",2,0,5,1,5
1135160294608856192,1,"6:00",5,0,8,2,2
1135160294608856192,1,"7:00",0,0,6,2,4
1135160294608856192,1,"8:00",2,0,8,0,2
1135160294608856192,1,"9:00",2,0,9,1,1
1135160294608856192,1,"10:00",0,0,7,2,3
1135160294608856192,1,"11:00",2,0,7,1,3
1135160294608856192,1,"12:00",4,1,10,0,0
1135160294608856192,1,"13:00",4,3,10,2,0
1135160294608856192,1,"14:00",4,2,10,5,0
1135160294608856192,1,"15:00",0,1,10,1,0
1135160294608856192,1,"16:00",4,0,10,4,0
1135160294608856192,1,"17:00",2,2,10,0,0
1135160294608856192,1,"18:00",4,5,10,1,0
1135160294608856192,1,"19:00",4,8,10,1,0
1135160294608856192,1,"20:00",5,13,10,0,0
1135160294608856192,1,"21:00",0,9,10,4,0
1135160294608856192,1,"22:00",3,10,10,2,0
1135160294608856192,1,"23:00",1,10,10,1,0
1135160294608856192,2,"0:00",4,11,10,3,0
1135160294608856192,2,"1:00",4,13,10,2,0
1135160294608856192,2,"2:00",5,17,10,1,0
1135160294608856192,2,"3:00",2,16,10,3,0
1135160294608856192,2,"4:00",5,21,10,0,0
1135160294608856192,2,"5:00",1,21,10,1,0
1135160294608856192,2,"6:00",5,23,10,3,0
1135160294608856192,2,"7:00",5,25,10,3,0
1135160294608856192,2,"8:00",2,24,10,3,0
1135160294608856192,2,"9:00",3,24,10,3,0
1135160294608856192,2,"10:00",1,25,10,0,0
1135160294608856192,2,"11:00",4,27,10,2,0
1135160294608856192,2,"12:00",4,28,10,1,0
1135160294608856192,2,"13:00",4,28,10,2,0
1135160294608856192,2,"14:00",2,29,10,1,0
1135160294608856192,2,"15:00",5,27,10,3,0
1135160294608856192,2,"16:00",0,24,10,3,0
1135160294608856192,2,"17:00",3,23,10,3,0
1135160294608856192,2,"18:00",5,26,10,2,0
1135160294608856192,2,"19:00",5,26,10,1,0
1135160294608856192,2,"20:00",0,24,10,2,0
1135160294608856192,2,"21:00",1,22,10,2,0
1135160294608856192,2,"22:00",4,23,10,1,0
1135160294608856192,2,"23:00",2,22,10,2,0
1135160294608856192,3,"0:00",3,21,10,3,0
