"Sim_N","Day","AVG_SF_per_Day"
1270028753921773568,1,3.93
1270028753921773568,2,2.71
1270028753921773568,3,2.88
1270028753921773568,4,2.95
1270028753921773568,5,3.07
1270028753921773568,6,2.66
1270028753921773568,7,2.73
1270028753921773568,8,3.96
1270028753921773568,9,3.71
1270028753921773568,10,4.53
1270028753921773568,11,3.15
1270028753921773568,12,3.56
1270028753921773568,13,4.23
1270028753921773568,14,3.19
1270028753921773568,15,3.55
1382968526305950720,1,4.34
1382968526305950720,2,2.32
1382968526305950720,3,3.06
1382968526305950720,4,3.38
1382968526305950720,5,3.25
1382968526305950720,6,3.79
1382968526305950720,7,3.19
1382968526305950720,8,2.39
1382968526305950720,9,2.44
1382968526305950720,10,3.64
1382968526305950720,11,3.58
1382968526305950720,12,2.8
1382968526305950720,13,3.38
1382968526305950720,14,3.15
1382968526305950720,15,3.89
1534986364276494848,1,3.66
1534986364276494848,2,3.55
1534986364276494848,3,2.88
1534986364276494848,4,2.76
1534986364276494848,5,2.44
1534986364276494848,6,3.17
1534986364276494848,7,3.19
1534986364276494848,8,3.11
1534986364276494848,9,3.93
1534986364276494848,10,3.37
1534986364276494848,11,3.52
1534986364276494848,12,3.29
1534986364276494848,13,4.29
1534986364276494848,14,3.73
1534986364276494848,15,4.19
1595781606484758784,1,4.49
1595781606484758784,2,3.01
1595781606484758784,3,3.52
1595781606484758784,4,4.29
1595781606484758784,5,3.39
1595781606484758784,6,2.31
1595781606484758784,7,3.49
1595781606484758784,8,3.21
1595781606484758784,9,3.61
1595781606484758784,10,2.66
1595781606484758784,11,3.77
1595781606484758784,12,3.53
1595781606484758784,13,3.98
1595781606484758784,14,3.36
1595781606484758784,15,3.86
1642903325734064384,1,4.33
1642903325734064384,2,2.47
1642903325734064384,3,3.03
1642903325734064384,4,3.31
1642903325734064384,5,2.96
1642903325734064384,6,3.51
1642903325734064384,7,2.76
1642903325734064384,8,3.01
1642903325734064384,9,3.09
1642903325734064384,10,2.7
1642903325734064384,11,3.27
