"Sim_N","Day","AVG_SF_per_Day"
100408162998627616,1,4.35
100408162998627616,2,3.26
100408162998627616,3,4.68
100408162998627616,4,3.53
100408162998627616,5,2.04
100408162998627616,6,3.7
100408162998627616,7,2.69
100408162998627616,8,2.91
100408162998627616,9,3.01
100408162998627616,10,2.28
100408162998627616,11,2.88
100408162998627616,12,4.32
100408162998627616,13,2.07
100408162998627616,14,2.04
100408162998627616,15,4.37
1027427576084143232,1,4.61
1027427576084143232,2,4.01
1027427576084143232,3,2.78
1027427576084143232,4,2.15
1027427576084143232,5,2.99
1027427576084143232,6,3.26
1027427576084143232,7,2.56
1027427576084143232,8,4.31
1027427576084143232,9,4.53
1027427576084143232,10,2.13
1027427576084143232,11,3.12
1027427576084143232,12,2.33
1027427576084143232,13,3.1
1027427576084143232,14,2.99
1027427576084143232,15,4.07
1084899146595009408,1,3.43
1084899146595009408,2,3.56
1084899146595009408,3,2.94
1084899146595009408,4,2.58
1084899146595009408,5,3.26
1084899146595009408,6,3
1084899146595009408,7,3.13
1084899146595009408,8,3.16
1084899146595009408,9,2.08
1084899146595009408,10,2.15
1084899146595009408,11,2.32
1084899146595009408,12,2.78
1084899146595009408,13,2.72
1084899146595009408,14,2.73
1084899146595009408,15,3.47
119535029010977312,1,3.98
119535029010977312,2,2.67
119535029010977312,3,3.99
119535029010977312,4,3.02
119535029010977312,5,2.6
119535029010977312,6,2.7
119535029010977312,7,2.41
119535029010977312,8,2.21
119535029010977312,9,2.63
119535029010977312,10,3.12
119535029010977312,11,2.71
119535029010977312,12,4.58
119535029010977312,13,4.7
119535029010977312,14,3.91
119535029010977312,15,4.02
1240620668916417024,1,4.6
1240620668916417024,2,4.28
1240620668916417024,3,3.58
1240620668916417024,4,3.73
1240620668916417024,5,2.93
1240620668916417024,6,3.2
1240620668916417024,7,3.46
1240620668916417024,8,2.97
1240620668916417024,9,2.09
1240620668916417024,10,3.19
1240620668916417024,11,2.59
1240620668916417024,12,2.9
1240620668916417024,13,3.18
1240620668916417024,14,2.86
1240620668916417024,15,4.6
1294640383736875520,1,3.98
1294640383736875520,2,2.7
1294640383736875520,3,2.99
1294640383736875520,4,2.64
1294640383736875520,5,2.38
1294640383736875520,6,2.99
1294640383736875520,7,3.02
1294640383736875520,8,3.63
1294640383736875520,9,2.81
1294640383736875520,10,3.75
1294640383736875520,11,2.92
1294640383736875520,12,1.84
1294640383736875520,13,3.49
1294640383736875520,14,2.12
1294640383736875520,15,3.34
1310127639722227456,1,4.24
1310127639722227456,2,2.63
1310127639722227456,3,3.27
1310127639722227456,4,3.38
1310127639722227456,5,3.74
1310127639722227456,6,3.84
1310127639722227456,7,2.75
1310127639722227456,8,2.37
1310127639722227456,9,2.63
1310127639722227456,10,2.44
1310127639722227456,11,2.78
1310127639722227456,12,2.53
1310127639722227456,13,3.79
1310127639722227456,14,2.55
1310127639722227456,15,3.39
1319247408026610432,1,4.04
1319247408026610432,2,3.9
1319247408026610432,3,3.08
1319247408026610432,4,2.41
1319247408026610432,5,2.23
1319247408026610432,6,2.79
1319247408026610432,7,3.79
1319247408026610432,8,3.48
1319247408026610432,9,2.67
1319247408026610432,10,2.79
1319247408026610432,11,4.32
1319247408026610432,12,3.54
1319247408026610432,13,3.21
1319247408026610432,14,1.72
1319247408026610432,15,3.58
1347926427533517056,1,4.94
1347926427533517056,2,4.61
1347926427533517056,3,3.68
1347926427533517056,4,2.85
1347926427533517056,5,2.73
1347926427533517056,6,3.78
1347926427533517056,7,3.77
1347926427533517056,8,2.24
1347926427533517056,9,2.95
1347926427533517056,10,2.15
1347926427533517056,11,2.48
1347926427533517056,12,3.19
1347926427533517056,13,2.64
1347926427533517056,14,3.75
1347926427533517056,15,4.68
1356994606866303744,1,4.6
1356994606866303744,2,4.18
1356994606866303744,3,3.32
1356994606866303744,4,2.67
1356994606866303744,5,2.6
1356994606866303744,6,3.21
1356994606866303744,7,2.64
1356994606866303744,8,3.21
1356994606866303744,9,3.4
1356994606866303744,10,2.84
1356994606866303744,11,3.49
1356994606866303744,12,1.83
1356994606866303744,13,3.57
1356994606866303744,14,2.25
1356994606866303744,15,3.72
1450174291360056832,1,5
1450174291360056832,2,4.46
1450174291360056832,3,3.73
1450174291360056832,4,3.6
1450174291360056832,5,3.81
1450174291360056832,6,2.64
1450174291360056832,7,2.08
1450174291360056832,8,1.81
1450174291360056832,9,3
1450174291360056832,10,2.13
1450174291360056832,11,3.38
1450174291360056832,12,2.09
1450174291360056832,13,3.07
1450174291360056832,14,2.86
1450174291360056832,15,3.81
145597910329907648,1,4.19
145597910329907648,2,2.54
145597910329907648,3,3.27
145597910329907648,4,2.16
145597910329907648,5,2.18
145597910329907648,6,3.91
145597910329907648,7,4.46
145597910329907648,8,4.45
145597910329907648,9,4.09
145597910329907648,10,3.39
145597910329907648,11,2.49
145597910329907648,12,3.01
145597910329907648,13,3.1
145597910329907648,14,2.89
145597910329907648,15,4.33
1696709743398383616,1,4.11
1696709743398383616,2,1.96
1696709743398383616,3,3.02
1696709743398383616,4,2.82
1696709743398383616,5,2.42
1696709743398383616,6,2.9
1696709743398383616,7,3.45
1696709743398383616,8,3.66
1696709743398383616,9,1.83
1696709743398383616,10,2.59
1696709743398383616,11,3.38
1696709743398383616,12,2.74
1696709743398383616,13,2.46
1696709743398383616,14,2.71
1696709743398383616,15,3.72
1870255501415439360,1,4.75
1870255501415439360,2,4.62
1870255501415439360,3,4.2
1870255501415439360,4,4.23
1870255501415439360,5,3.9
1870255501415439360,6,2.61
1870255501415439360,7,3.76
1870255501415439360,8,2.26
1870255501415439360,9,2.29
1870255501415439360,10,2.38
1870255501415439360,11,2.8
1870255501415439360,12,3.31
1870255501415439360,13,4.27
1870255501415439360,14,3.64
1870255501415439360,15,4.35
2013921426286428672,1,4.46
2013921426286428672,2,2.68
2013921426286428672,3,1.95
2013921426286428672,4,2.09
2013921426286428672,5,3.35
2013921426286428672,6,2.37
2013921426286428672,7,3.3
2013921426286428672,8,1.97
2013921426286428672,9,3.15
2013921426286428672,10,4.24
2013921426286428672,11,4.97
2013921426286428672,12,3.19
2013921426286428672,13,3.56
2013921426286428672,14,3.98
2013921426286428672,15,3.97
2069199824826188800,1,3.67
2069199824826188800,2,2.6
2069199824826188800,3,3.6
2069199824826188800,4,2.81
2069199824826188800,5,2.65
2069199824826188800,6,2.33
2069199824826188800,7,2.8
2069199824826188800,8,2.92
2069199824826188800,9,3.46
2069199824826188800,10,3.94
2069199824826188800,11,2.9
2069199824826188800,12,2.65
2069199824826188800,13,2.5
2069199824826188800,14,1.95
2069199824826188800,15,4.25
2184916859616758784,1,4.74
2184916859616758784,2,2.25
2184916859616758784,3,2.46
2184916859616758784,4,2.03
2184916859616758784,5,3.15
2184916859616758784,6,2.31
2184916859616758784,7,2.21
2184916859616758784,8,3.24
2184916859616758784,9,4.64
2184916859616758784,10,4.17
2184916859616758784,11,2.89
2184916859616758784,12,2.2
2184916859616758784,13,3.17
2184916859616758784,14,2.55
2184916859616758784,15,3.58
2353280412918302720,1,3.81
2353280412918302720,2,2.4
2353280412918302720,3,2.49
2353280412918302720,4,2.43
2353280412918302720,5,3.23
2353280412918302720,6,2.27
2353280412918302720,7,2.93
2353280412918302720,8,2.61
2353280412918302720,9,2.87
2353280412918302720,10,2.76
2353280412918302720,11,2.83
2353280412918302720,12,3.24
2353280412918302720,13,2.27
2353280412918302720,14,2.18
2353280412918302720,15,3.33
2523960608692820480,1,4.56
2523960608692820480,2,2.48
2523960608692820480,3,2.88
2523960608692820480,4,4.75
2523960608692820480,5,3.49
2523960608692820480,6,2.99
2523960608692820480,7,1.91
2523960608692820480,8,2.39
2523960608692820480,9,1.81
2523960608692820480,10,2.43
2523960608692820480,11,2.94
2523960608692820480,12,2.24
2523960608692820480,13,1.93
2523960608692820480,14,2.34
2523960608692820480,15,3.81
2562247077232249344,1,4.32
2562247077232249344,2,2.73
2562247077232249344,3,2.46
2562247077232249344,4,2.77
2562247077232249344,5,3.3
2562247077232249344,6,4.75
2562247077232249344,7,4.07
2562247077232249344,8,2.96
2562247077232249344,9,3.81
2562247077232249344,10,4.11
2562247077232249344,11,3.14
2562247077232249344,12,4.34
2562247077232249344,13,3.01
2562247077232249344,14,2.04
2562247077232249344,15,4.02
2578936262837462528,1,4.99
2578936262837462528,2,3.31
2578936262837462528,3,2.52
2578936262837462528,4,2.43
2578936262837462528,5,3.06
2578936262837462528,6,2.5
2578936262837462528,7,2.55
2578936262837462528,8,2.63
2578936262837462528,9,2.47
2578936262837462528,10,3.34
2578936262837462528,11,2.41
2578936262837462528,12,2.68
2578936262837462528,13,2.53
2578936262837462528,14,4.32
