"Sim_N","Day","AVG_SF_per_Day"
10357073265278304,1,3.91
10357073265278304,2,3.38
10357073265278304,3,4.77
10357073265278304,4,3.91
10357073265278304,5,3.01
10357073265278304,6,3.23
10357073265278304,7,4.39
10357073265278304,8,3.73
10357073265278304,9,4.5
10357073265278304,10,3.57
10357073265278304,11,3.8
10357073265278304,12,4.46
10357073265278304,13,3.8
10357073265278304,14,4.37
10357073265278304,15,4.51
1105650509182881024,1,3.29
1105650509182881024,2,3.75
1105650509182881024,3,4.23
1105650509182881024,4,4.19
1105650509182881024,5,4.07
1105650509182881024,6,4.81
1105650509182881024,7,3.1
1105650509182881024,8,2.65
1105650509182881024,9,4.68
1105650509182881024,10,3.94
1105650509182881024,11,3.48
1105650509182881024,12,3.62
1105650509182881024,13,2.34
1105650509182881024,14,3.68
1105650509182881024,15,4.43
1179850113913041408,1,4.89
1179850113913041408,2,3.32
1179850113913041408,3,4.26
1179850113913041408,4,4.44
1179850113913041408,5,4.66
1179850113913041408,6,4.77
1179850113913041408,7,3.17
1179850113913041408,8,3.64
1179850113913041408,9,4.23
1179850113913041408,10,3.37
1179850113913041408,11,3.19
1179850113913041408,12,3.2
1179850113913041408,13,3.96
1179850113913041408,14,3.62
1179850113913041408,15,4.83
1237594451553500672,1,3.91
1237594451553500672,2,3.52
1237594451553500672,3,3.65
1237594451553500672,4,3.69
1237594451553500672,5,4.92
1237594451553500672,6,3.9
1237594451553500672,7,4.64
1237594451553500672,8,3.89
1237594451553500672,9,4.14
1237594451553500672,10,4.75
1237594451553500672,11,3.95
1237594451553500672,12,4.37
1237594451553500672,13,4.45
1237594451553500672,14,3.63
1237594451553500672,15,4.17
1241438318455929344,1,3.86
1241438318455929344,2,3.7
1241438318455929344,3,2.2
1241438318455929344,4,4.04
1241438318455929344,5,2.57
1241438318455929344,6,2.92
1241438318455929344,7,3.24
1241438318455929344,8,3.67
1241438318455929344,9,3.09
1241438318455929344,10,3.73
1241438318455929344,11,3.9
1241438318455929344,12,3.31
1241438318455929344,13,3.83
1241438318455929344,14,3.24
1241438318455929344,15,4.18
1304214530399355392,1,3.54
1304214530399355392,2,4.41
1304214530399355392,3,3.78
1304214530399355392,4,4.67
1304214530399355392,5,4.69
1304214530399355392,6,4.95
1304214530399355392,7,3.14
1304214530399355392,8,3.71
1304214530399355392,9,4.44
1304214530399355392,10,3.81
1304214530399355392,11,3.77
1304214530399355392,12,3.66
1304214530399355392,13,3.69
1304214530399355392,14,4.05
1304214530399355392,15,4.99
140750864267837408,1,3.76
140750864267837408,2,2.51
140750864267837408,3,3.6
140750864267837408,4,4.46
140750864267837408,5,4.29
140750864267837408,6,2.84
140750864267837408,7,3.57
140750864267837408,8,3.82
140750864267837408,9,2.99
140750864267837408,10,2.92
140750864267837408,11,3.77
140750864267837408,12,3.97
140750864267837408,13,3.4
140750864267837408,14,4.88
140750864267837408,15,4.08
1428924534149372928,1,5
1428924534149372928,2,3.83
1428924534149372928,3,3.6
1428924534149372928,4,3.19
1428924534149372928,5,3.17
1428924534149372928,6,2.57
1428924534149372928,7,2.99
1428924534149372928,8,4.28
1428924534149372928,9,3.1
1428924534149372928,10,4.12
1428924534149372928,11,3.03
1428924534149372928,12,4.24
1428924534149372928,13,4.34
1428924534149372928,14,3.62
1428924534149372928,15,4.09
1617714017295298816,1,4.93
1617714017295298816,2,4.26
1617714017295298816,3,4.92
1617714017295298816,4,4.11
1617714017295298816,5,2.69
1617714017295298816,6,3.82
1617714017295298816,7,4.93
1617714017295298816,8,3.72
1617714017295298816,9,3
1617714017295298816,10,4.01
1617714017295298816,11,2.89
1617714017295298816,12,3.09
1617714017295298816,13,3.41
1617714017295298816,14,2.6
1617714017295298816,15,4.28
1634713285404083712,1,3.72
1634713285404083712,2,4.74
1634713285404083712,3,4.13
1634713285404083712,4,3.37
1634713285404083712,5,3.75
1634713285404083712,6,3.45
1634713285404083712,7,3.28
1634713285404083712,8,3.89
1634713285404083712,9,3.63
1634713285404083712,10,3.75
1634713285404083712,11,3.72
1634713285404083712,12,2.14
