"Sim_N","Day","AVG_SF_per_Day"
1107083636809726976,1,5
1107083636809726976,2,3.05
1107083636809726976,3,2.71
1107083636809726976,4,1.93
1107083636809726976,5,2.14
1107083636809726976,6,2.58
1107083636809726976,7,3.01
1107083636809726976,8,2.29
1107083636809726976,9,1.95
1107083636809726976,10,2.67
1107083636809726976,11,3.02
1107083636809726976,12,2.99
1107083636809726976,13,2.69
1107083636809726976,14,4
1107083636809726976,15,4.25
1109934638359840000,1,3.11
1109934638359840000,2,2.74
1109934638359840000,3,2.51
1109934638359840000,4,2.03
1109934638359840000,5,1.63
1109934638359840000,6,2.76
1109934638359840000,7,2.64
1109934638359840000,8,2.15
1109934638359840000,9,2.29
1109934638359840000,10,2.34
1109934638359840000,11,2.86
1109934638359840000,12,1.69
1109934638359840000,13,1.58
1109934638359840000,14,2.58
1109934638359840000,15,4.05
1331612920934156032,1,3.71
1331612920934156032,2,2.65
1331612920934156032,3,2.57
1331612920934156032,4,1.97
1331612920934156032,5,1.88
1331612920934156032,6,2.25
1331612920934156032,7,2.42
1331612920934156032,8,1.95
1331612920934156032,9,2.48
1331612920934156032,10,3.06
1331612920934156032,11,3.04
1331612920934156032,12,2.83
1331612920934156032,13,3.39
1331612920934156032,14,3.52
1331612920934156032,15,3.88
1346810976607921664,1,5
1346810976607921664,2,4.63
1346810976607921664,3,4.5
1346810976607921664,4,3.94
1346810976607921664,5,2.4
1346810976607921664,6,3.22
1346810976607921664,7,3.18
1346810976607921664,8,2.63
1346810976607921664,9,2.22
1346810976607921664,10,2.59
1346810976607921664,11,3.15
1346810976607921664,12,2.09
1346810976607921664,13,1.91
1346810976607921664,14,3.21
1346810976607921664,15,3.79
1378989051744006656,1,3.35
1378989051744006656,2,3.63
1378989051744006656,3,3.05
1378989051744006656,4,2.5
1378989051744006656,5,2.33
1378989051744006656,6,2.8
1378989051744006656,7,2.11
1378989051744006656,8,2.11
1378989051744006656,9,2.75
1378989051744006656,10,3.19
1378989051744006656,11,3.16
1378989051744006656,12,2.51
1378989051744006656,13,1.63
1378989051744006656,14,2.56
1378989051744006656,15,3.73
1491777883491965184,1,3.91
1491777883491965184,2,1.95
1491777883491965184,3,3.44
1491777883491965184,4,4.29
1491777883491965184,5,4.29
1491777883491965184,6,4.78
1491777883491965184,7,2.49
