"Sim_N","Day","AVG_SF_per_Day"
1135160294608856192,1,4.44
1135160294608856192,2,2.13
1135160294608856192,3,2.39
1135160294608856192,4,2.49
1135160294608856192,5,1.75
1135160294608856192,6,3.08
1135160294608856192,7,3.94
1135160294608856192,8,3.07
1135160294608856192,9,3.62
1135160294608856192,10,4.77
1135160294608856192,11,4.83
1135160294608856192,12,4.56
1135160294608856192,13,1.81
1135160294608856192,14,2.16
1135160294608856192,15,3.01
1195542736144622080,1,3.41
1195542736144622080,2,2.23
1195542736144622080,3,3.01
1195542736144622080,4,2.41
1195542736144622080,5,2.09
1195542736144622080,6,2.55
1195542736144622080,7,2.3
1195542736144622080,8,2.01
1195542736144622080,9,2.99
1195542736144622080,10,1.9
1195542736144622080,11,2.38
1195542736144622080,12,2.36
1195542736144622080,13,2.05
1195542736144622080,14,1.72
1195542736144622080,15,3.1
1229196334795607296,1,4.47
1229196334795607296,2,2.35
1229196334795607296,3,3.24
1229196334795607296,4,2.46
1229196334795607296,5,3.06
1229196334795607296,6,2.33
1229196334795607296,7,2.43
1229196334795607296,8,2.38
1229196334795607296,9,2.69
1229196334795607296,10,3.3
1229196334795607296,11,3.93
1229196334795607296,12,2.2
1229196334795607296,13,2.75
1229196334795607296,14,3.1
1229196334795607296,15,3.76
1240266565881626368,1,4.79
1240266565881626368,2,2.41
1240266565881626368,3,2.4
1240266565881626368,4,3.33
1240266565881626368,5,2.86
1240266565881626368,6,2.06
1240266565881626368,7,1.94
1240266565881626368,8,2.63
1240266565881626368,9,1.54
1240266565881626368,10,2.13
1240266565881626368,11,2.96
1240266565881626368,12,2.68
1240266565881626368,13,4.17
1240266565881626368,14,3.32
1240266565881626368,15,3.07
1457428274360195840,1,4.96
1457428274360195840,2,2.32
1457428274360195840,3,3.02
1457428274360195840,4,2.11
1457428274360195840,5,2.86
1457428274360195840,6,4.41
1457428274360195840,7,2.71
1457428274360195840,8,2.07
1457428274360195840,9,3.48
1457428274360195840,10,3.11
1457428274360195840,11,2.14
1457428274360195840,12,2.86
1457428274360195840,13,3.22
1457428274360195840,14,2.96
1457428274360195840,15,3.5
1471581143394429440,1,4.16
1471581143394429440,2,4.36
1471581143394429440,3,3.94
1471581143394429440,4,2.25
1471581143394429440,5,1.82
1471581143394429440,6,1.95
1471581143394429440,7,3.12
1471581143394429440,8,2.53
1471581143394429440,9,2.31
1471581143394429440,10,2.64
1471581143394429440,11,2.37
1471581143394429440,12,2.02
1471581143394429440,13,2.26
1471581143394429440,14,3.28
1471581143394429440,15,2.57
1477288774515773440,1,3.14
1477288774515773440,2,1.69
1477288774515773440,3,2.31
1477288774515773440,4,4.17
1477288774515773440,5,2.75
1477288774515773440,6,1.97
1477288774515773440,7,3.89
1477288774515773440,8,3.24
1477288774515773440,9,2.88
1477288774515773440,10,3.31
1477288774515773440,11,3.45
1477288774515773440,12,4.26
1477288774515773440,13,2.51
1477288774515773440,14,2.66
1477288774515773440,15,4.15
1705128231039156224,1,4.79
1705128231039156224,2,2.98
1705128231039156224,3,4.53
1705128231039156224,4,3.18
1705128231039156224,5,3.21
1705128231039156224,6,4.02
1705128231039156224,7,2.92
1705128231039156224,8,2.45
1705128231039156224,9,4.21
1705128231039156224,10,3.98
1705128231039156224,11,3.18
1705128231039156224,12,2.92
1705128231039156224,13,2.2
1705128231039156224,14,2.73
1705128231039156224,15,3.88
1780977563382858240,1,3.24
1780977563382858240,2,2.39
1780977563382858240,3,2.16
1780977563382858240,4,2.92
1780977563382858240,5,3.25
1780977563382858240,6,2.72
1780977563382858240,7,1.99
1780977563382858240,8,1.81
1780977563382858240,9,2.31
1780977563382858240,10,3.13
1780977563382858240,11,4.2
1780977563382858240,12,3.85
1780977563382858240,13,2.59
1780977563382858240,14,2.9
1780977563382858240,15,3.27
1831064399567866368,1,4.47
1831064399567866368,2,4.24
1831064399567866368,3,2.69
1831064399567866368,4,3.72
1831064399567866368,5,3.1
1831064399567866368,6,2.09
1831064399567866368,7,2.93
1831064399567866368,8,2
1831064399567866368,9,2.02
1831064399567866368,10,2.61
1831064399567866368,11,2.47
1831064399567866368,12,2.48
1831064399567866368,13,3.18
1831064399567866368,14,1.99
1831064399567866368,15,3.25
1885834506120097536,1,4.94
1885834506120097536,2,4.73
1885834506120097536,3,3.86
1885834506120097536,4,2.55
1885834506120097536,5,3.65
1885834506120097536,6,3.26
1885834506120097536,7,2.42
1885834506120097536,8,2.06
1885834506120097536,9,1.94
1885834506120097536,10,2.24
1885834506120097536,11,2.02
1885834506120097536,12,2.85
1885834506120097536,13,3.44
1885834506120097536,14,1.67
1885834506120097536,15,3.29
1892195276169799936,1,4.41
1892195276169799936,2,3.67
1892195276169799936,3,2.75
1892195276169799936,4,2.65
1892195276169799936,5,2.48
1892195276169799936,6,4.16
1892195276169799936,7,3.8
1892195276169799936,8,3.87
1892195276169799936,9,2.85
1892195276169799936,10,2.01
1892195276169799936,11,2.38
1892195276169799936,12,1.68
1892195276169799936,13,2.47
1892195276169799936,14,2.64
1892195276169799936,15,3.46
1904995904421006848,1,4.19
1904995904421006848,2,3.78
1904995904421006848,3,3.62
1904995904421006848,4,2.61
1904995904421006848,5,2.02
1904995904421006848,6,2.18
1904995904421006848,7,3.1
1904995904421006848,8,1.73
1904995904421006848,9,2.04
1904995904421006848,10,1.86
1904995904421006848,11,2.59
1904995904421006848,12,3.47
1904995904421006848,13,3.13
1904995904421006848,14,4.43
1904995904421006848,15,4.1
1911844177116332032,1,4.56
1911844177116332032,2,2.41
1911844177116332032,3,2
1911844177116332032,4,2.92
1911844177116332032,5,2.64
1911844177116332032,6,2.38
1911844177116332032,7,3.35
1911844177116332032,8,3.85
1911844177116332032,9,2.95
1911844177116332032,10,2.46
1911844177116332032,11,1.92
1911844177116332032,12,2.06
1911844177116332032,13,2.66
1911844177116332032,14,2.38
1911844177116332032,15,3.96
2245986416657684736,1,4.98
2245986416657684736,2,2.47
2245986416657684736,3,2.24
2245986416657684736,4,2.7
2245986416657684736,5,1.91
2245986416657684736,6,3.49
2245986416657684736,7,3.18
2245986416657684736,8,2.86
2245986416657684736,9,2.91
2245986416657684736,10,2.86
2245986416657684736,11,3.96
2245986416657684736,12,4.64
2245986416657684736,13,3.32
2245986416657684736,14,2.15
2245986416657684736,15,3.26
2543307747538371584,1,4.13
2543307747538371584,2,2.6
2543307747538371584,3,3.49
2543307747538371584,4,2.88
2543307747538371584,5,2.25
2543307747538371584,6,3.23
2543307747538371584,7,1.78
2543307747538371584,8,2.17
2543307747538371584,9,3.05
2543307747538371584,10,1.7
2543307747538371584,11,1.92
2543307747538371584,12,3.4
2543307747538371584,13,3.6
2543307747538371584,14,4.28
2543307747538371584,15,3.52
2591583664974381056,1,4.69
2591583664974381056,2,4.54
2591583664974381056,3,3.2
2591583664974381056,4,2.45
2591583664974381056,5,3.69
2591583664974381056,6,3.85
2591583664974381056,7,2.39
2591583664974381056,8,3.27
2591583664974381056,9,3.6
2591583664974381056,10,2.32
2591583664974381056,11,3.05
2591583664974381056,12,3.45
2591583664974381056,13,3.11
2591583664974381056,14,2.71
2591583664974381056,15,4.03
3049119240925756928,1,4.58
3049119240925756928,2,4.52
3049119240925756928,3,2.68
3049119240925756928,4,3.23
3049119240925756928,5,2.89
3049119240925756928,6,2.07
3049119240925756928,7,2.07
3049119240925756928,8,3.46
3049119240925756928,9,3.51
3049119240925756928,10,2.76
3049119240925756928,11,2.25
3049119240925756928,12,1.61
3049119240925756928,13,2.77
3049119240925756928,14,1.85
3049119240925756928,15,3.52
3309772177694116864,1,4.91
3309772177694116864,2,3.76
3309772177694116864,3,3.01
3309772177694116864,4,2.64
3309772177694116864,5,4
3309772177694116864,6,2.79
3309772177694116864,7,2.2
3309772177694116864,8,1.71
3309772177694116864,9,2.39
3309772177694116864,10,2.96
3309772177694116864,11,2.42
3309772177694116864,12,3.5
3309772177694116864,13,3.76
3309772177694116864,14,2.52
3309772177694116864,15,3.93
351606908588099136,1,3.64
351606908588099136,2,3.47
351606908588099136,3,4.24
351606908588099136,4,3.21
351606908588099136,5,1.82
351606908588099136,6,2.8
351606908588099136,7,3.89
351606908588099136,8,2.71
351606908588099136,9,2.22
351606908588099136,10,2.49
351606908588099136,11,2.3
351606908588099136,12,3.38
351606908588099136,13,2.57
351606908588099136,14,2.92
351606908588099136,15,3.82
3516675177976446976,1,4.36
3516675177976446976,2,2.84
3516675177976446976,3,1.9
3516675177976446976,4,2.53
3516675177976446976,5,2
3516675177976446976,6,2.04
3516675177976446976,7,2.18
3516675177976446976,8,2.04
3516675177976446976,9,2.34
3516675177976446976,10,2.79
3516675177976446976,11,2.63
3516675177976446976,12,2.14
3516675177976446976,13,1.93
3516675177976446976,14,2.04
3516675177976446976,15,3.05
3539023512183651840,1,4.82
3539023512183651840,2,3.44
3539023512183651840,3,2.43
3539023512183651840,4,3.92
3539023512183651840,5,2.34
3539023512183651840,6,2.54
3539023512183651840,7,2.02
3539023512183651840,8,3.5
3539023512183651840,9,4.37
3539023512183651840,10,2.99
3539023512183651840,11,3.16
3539023512183651840,12,2.28
3539023512183651840,13,2.28
3539023512183651840,14,2.5
3539023512183651840,15,3.31
3625911235314502656,1,4.33
3625911235314502656,2,3.04
3625911235314502656,3,3.28
3625911235314502656,4,3.97
3625911235314502656,5,1.93
3625911235314502656,6,2.23
3625911235314502656,7,2.85
3625911235314502656,8,3.04
3625911235314502656,9,2.17
3625911235314502656,10,2.12
3625911235314502656,11,1.58
3625911235314502656,12,2.03
3625911235314502656,13,2.27
3625911235314502656,14,2.46
3625911235314502656,15,3.37
3626146144806420480,1,4.39
3626146144806420480,2,3.48
3626146144806420480,3,3.08
3626146144806420480,4,1.83
3626146144806420480,5,2.47
3626146144806420480,6,2.61
3626146144806420480,7,2.4
3626146144806420480,8,2.27
3626146144806420480,9,2.34
3626146144806420480,10,1.89
3626146144806420480,11,2.63
3626146144806420480,12,3.08
3626146144806420480,13,2.49
3626146144806420480,14,3.58
3626146144806420480,15,4.8
3710516256209671680,1,4.97
3710516256209671680,2,3.62
3710516256209671680,3,2.56
3710516256209671680,4,2.51
3710516256209671680,5,2.38
3710516256209671680,6,4.2
3710516256209671680,7,4.34
3710516256209671680,8,2.9
3710516256209671680,9,2.26
3710516256209671680,10,3.85
3710516256209671680,11,4.29
3710516256209671680,12,3.2
3710516256209671680,13,1.98
3710516256209671680,14,2.4
3710516256209671680,15,3.64
378741609402280192,1,3.02
378741609402280192,2,3.49
378741609402280192,3,2.54
378741609402280192,4,3.12
378741609402280192,5,2.35
378741609402280192,6,3.72
378741609402280192,7,3.62
378741609402280192,8,2.65
378741609402280192,9,1.83
378741609402280192,10,1.6
378741609402280192,11,3.08
378741609402280192,12,2.53
378741609402280192,13,2.88
378741609402280192,14,2.15
378741609402280192,15,3.59
3849853674830793728,1,4.36
3849853674830793728,2,2.95
3849853674830793728,3,2.26
