"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
100913109632613840,1,"0:00",4,0,3,0,9
100913109632613840,1,"1:00",4,0,6,1,6
100913109632613840,1,"2:00",2,0,5,3,7
100913109632613840,1,"3:00",4,0,9,0,3
100913109632613840,1,"4:00",5,0,11,2,1
100913109632613840,1,"5:00",0,0,10,1,2
100913109632613840,1,"6:00",2,0,10,2,2
100913109632613840,1,"7:00",3,0,11,2,1
100913109632613840,1,"8:00",3,0,9,4,3
100913109632613840,1,"9:00",4,1,12,0,0
100913109632613840,1,"10:00",2,0,10,5,2
100913109632613840,1,"11:00",0,0,5,5,7
100913109632613840,1,"12:00",3,0,5,3,7
100913109632613840,1,"13:00",5,0,8,1,4
100913109632613840,1,"14:00",1,0,7,2,5
100913109632613840,1,"15:00",4,0,10,1,2
100913109632613840,1,"16:00",0,0,8,2,4
100913109632613840,1,"17:00",4,0,11,1,1
100913109632613840,1,"18:00",5,4,12,0,0
100913109632613840,1,"19:00",0,4,12,0,0
100913109632613840,1,"20:00",4,7,12,1,0
100913109632613840,1,"21:00",3,10,12,0,0
100913109632613840,1,"22:00",2,10,12,2,0
100913109632613840,1,"23:00",0,7,12,3,0
100913109632613840,2,"0:00",1,6,12,2,0
100913109632613840,2,"1:00",1,6,12,1,0
100913109632613840,2,"2:00",5,9,12,2,0
100913109632613840,2,"3:00",1,6,12,4,0
100913109632613840,2,"4:00",1,5,12,2,0
100913109632613840,2,"5:00",4,9,12,0,0
100913109632613840,2,"6:00",0,9,12,0,0
100913109632613840,2,"7:00",0,5,12,4,0
100913109632613840,2,"8:00",4,6,12,3,0
100913109632613840,2,"9:00",3,6,12,3,0
100913109632613840,2,"10:00",1,5,12,2,0
100913109632613840,2,"11:00",4,5,12,4,0
100913109632613840,2,"12:00",4,8,12,1,0
100913109632613840,2,"13:00",0,7,12,1,0
100913109632613840,2,"14:00",4,10,12,1,0
100913109632613840,2,"15:00",1,10,12,1,0
100913109632613840,2,"16:00",5,8,12,7,0
100913109632613840,2,"17:00",2,5,12,5,0
100913109632613840,2,"18:00",2,3,12,4,0
100913109632613840,2,"19:00",3,3,12,2,0
100913109632613840,2,"20:00",3,6,12,0,0
100913109632613840,2,"21:00",4,8,12,2,0
100913109632613840,2,"22:00",4,11,12,1,0
100913109632613840,2,"23:00",1,9,12,3,0
100913109632613840,3,"0:00",2,8,12,3,0
100913109632613840,3,"1:00",3,11,12,0,0
100913109632613840,3,"2:00",5,12,12,4,0
100913109632613840,3,"3:00",0,11,12,1,0
100913109632613840,3,"4:00",4,11,12,4,0
100913109632613840,3,"5:00",4,11,12,3,0
100913109632613840,3,"6:00",2,12,12,1,0
100913109632613840,3,"7:00",1,10,12,3,0
100913109632613840,3,"8:00",0,7,12,3,0
100913109632613840,3,"9:00",5,9,12,3,0
100913109632613840,3,"10:00",3,7,12,5,0
100913109632613840,3,"11:00",2,6,12,3,0
100913109632613840,3,"12:00",3,4,12,4,0
100913109632613840,3,"13:00",4,6,12,1,0
100913109632613840,3,"14:00",4,4,12,6,0
100913109632613840,3,"15:00",1,3,12,2,0
100913109632613840,3,"16:00",2,3,12,2,0
100913109632613840,3,"17:00",3,3,12,3,0
100913109632613840,3,"18:00",3,3,12,2,0
100913109632613840,3,"19:00",5,4,12,4,0
100913109632613840,3,"20:00",5,7,12,2,0
100913109632613840,3,"21:00",1,6,12,2,0
