"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1081327214391841536,1,"0:00",4,0,2,2,10
1081327214391841536,1,"1:00",4,0,6,0,6
1081327214391841536,1,"2:00",3,0,7,2,5
1081327214391841536,1,"3:00",0,0,5,2,7
1081327214391841536,1,"4:00",4,0,6,3,6
1081327214391841536,1,"5:00",2,0,7,1,5
1081327214391841536,1,"6:00",0,0,4,3,8
1081327214391841536,1,"7:00",3,0,5,2,7
1081327214391841536,1,"8:00",1,0,6,0,6
1081327214391841536,1,"9:00",0,0,6,0,6
1081327214391841536,1,"10:00",5,0,6,4,6
1081327214391841536,1,"11:00",2,0,7,1,5
1081327214391841536,1,"12:00",1,0,8,0,4
1081327214391841536,1,"13:00",4,0,9,3,3
1081327214391841536,1,"14:00",2,0,9,2,3
1081327214391841536,1,"15:00",4,0,12,1,0
1081327214391841536,1,"16:00",0,0,9,3,3
1081327214391841536,1,"17:00",1,0,8,2,4
1081327214391841536,1,"18:00",1,0,7,2,5
1081327214391841536,1,"19:00",3,0,8,2,4
1081327214391841536,1,"20:00",1,0,7,2,5
1081327214391841536,1,"21:00",4,0,8,3,4
1081327214391841536,1,"22:00",1,0,9,0,3
1081327214391841536,1,"23:00",3,0,7,5,5
1081327214391841536,2,"0:00",0,0,6,1,6
1081327214391841536,2,"1:00",0,0,4,2,8
1081327214391841536,2,"2:00",0,0,4,0,8
1081327214391841536,2,"3:00",4,0,6,2,6
1081327214391841536,2,"4:00",0,0,3,3,9
1081327214391841536,2,"5:00",0,0,3,0,9
1081327214391841536,2,"6:00",3,0,4,2,8
1081327214391841536,2,"7:00",2,0,3,2,9
1081327214391841536,2,"8:00",3,0,5,1,7
1081327214391841536,2,"9:00",0,0,4,1,8
1081327214391841536,2,"10:00",4,0,6,2,6
1081327214391841536,2,"11:00",1,0,5,2,7
1081327214391841536,2,"12:00",4,0,7,1,5
1081327214391841536,2,"13:00",4,0,10,1,2
1081327214391841536,2,"14:00",1,0,9,2,3
1081327214391841536,2,"15:00",4,0,10,3,2
1081327214391841536,2,"16:00",5,0,12,3,0
1081327214391841536,2,"17:00",4,0,12,3,0
1081327214391841536,2,"18:00",5,2,12,3,0
1081327214391841536,2,"19:00",4,3,12,3,0
1081327214391841536,2,"20:00",1,4,12,0,0
1081327214391841536,2,"21:00",0,3,12,1,0
1081327214391841536,2,"22:00",4,4,12,3,0
