"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1001408336281700608,1,"0:00",4,0,3,0,9
1001408336281700608,1,"1:00",5,0,7,1,5
1001408336281700608,1,"2:00",0,0,7,0,5
1001408336281700608,1,"3:00",4,0,9,2,3
1001408336281700608,1,"4:00",5,0,10,4,2
1001408336281700608,1,"5:00",3,0,12,1,0
1001408336281700608,1,"6:00",5,3,12,2,0
1001408336281700608,1,"7:00",4,5,12,2,0
1001408336281700608,1,"8:00",0,5,12,0,0
1001408336281700608,1,"9:00",2,3,12,4,0
1001408336281700608,1,"10:00",2,3,12,2,0
1001408336281700608,1,"11:00",3,2,12,3,0
1001408336281700608,1,"12:00",0,0,9,5,3
1001408336281700608,1,"13:00",0,0,7,2,5
1001408336281700608,1,"14:00",1,0,6,2,6
1001408336281700608,1,"15:00",0,0,5,1,7
1001408336281700608,1,"16:00",0,0,4,1,8
1001408336281700608,1,"17:00",2,0,5,1,7
1001408336281700608,1,"18:00",2,0,5,2,7
1001408336281700608,1,"19:00",0,0,2,3,10
1001408336281700608,1,"20:00",3,0,5,0,7
1001408336281700608,1,"21:00",1,0,6,0,6
1001408336281700608,1,"22:00",0,0,4,2,8
1001408336281700608,1,"23:00",3,0,6,1,6
1001408336281700608,2,"0:00",3,0,8,1,4
1001408336281700608,2,"1:00",4,0,8,4,4
1001408336281700608,2,"2:00",1,0,9,0,3
1001408336281700608,2,"3:00",0,0,7,2,5
1001408336281700608,2,"4:00",5,0,10,2,2
1001408336281700608,2,"5:00",0,0,9,1,3
1001408336281700608,2,"6:00",1,0,9,1,3
1001408336281700608,2,"7:00",1,0,8,2,4
1001408336281700608,2,"8:00",5,0,10,2,2
1001408336281700608,2,"9:00",2,0,8,4,4
1001408336281700608,2,"10:00",1,0,8,1,4
1001408336281700608,2,"11:00",5,0,11,1,1
1001408336281700608,2,"12:00",4,0,12,3,0
1001408336281700608,2,"13:00",0,0,10,2,2
1001408336281700608,2,"14:00",4,1,12,1,0
1001408336281700608,2,"15:00",5,3,12,3,0
1001408336281700608,2,"16:00",0,1,12,2,0
1001408336281700608,2,"17:00",1,0,9,5,3
1001408336281700608,2,"18:00",1,0,8,1,4
1001408336281700608,2,"19:00",1,0,6,3,6
1001408336281700608,2,"20:00",3,0,9,0,3
1001408336281700608,2,"21:00",1,0,9,1,3
1001408336281700608,2,"22:00",0,0,8,1,4
1001408336281700608,2,"23:00",2,0,8,1,4
1001408336281700608,3,"0:00",0,0,8,0,4
1001408336281700608,3,"1:00",0,0,5,3,7
1001408336281700608,3,"2:00",5,0,9,1,3
1001408336281700608,3,"3:00",0,0,6,3,6
1001408336281700608,3,"4:00",5,0,10,0,2
1001408336281700608,3,"5:00",2,0,9,3,3
1001408336281700608,3,"6:00",5,0,10,3,2
1001408336281700608,3,"7:00",4,2,12,0,0
1001408336281700608,3,"8:00",2,1,12,3,0
1001408336281700608,3,"9:00",2,0,11,4,1
1001408336281700608,3,"10:00",5,4,12,0,0
1001408336281700608,3,"11:00",4,5,12,3,0
1001408336281700608,3,"12:00",0,4,12,1,0
1001408336281700608,3,"13:00",1,3,12,2,0
1001408336281700608,3,"14:00",0,0,12,3,0
1001408336281700608,3,"15:00",3,3,12,0,0
1001408336281700608,3,"16:00",5,5,12,2,0
1001408336281700608,3,"17:00",5,9,12,1,0
1001408336281700608,3,"18:00",4,9,12,4,0
1001408336281700608,3,"19:00",5,11,12,2,0
1001408336281700608,3,"20:00",0,10,12,1,0
1001408336281700608,3,"21:00",1,8,12,3,0
1001408336281700608,3,"22:00",2,9,12,0,0
1001408336281700608,3,"23:00",2,8,12,3,0
1001408336281700608,4,"0:00",2,8,12,2,0
1001408336281700608,4,"1:00",5,10,12,2,0
1001408336281700608,4,"2:00",5,12,12,3,0
1001408336281700608,4,"3:00",0,10,12,2,0
1001408336281700608,4,"4:00",1,8,12,3,0
1001408336281700608,4,"5:00",2,9,12,1,0
1001408336281700608,4,"6:00",3,8,12,4,0
1001408336281700608,4,"7:00",5,10,12,3,0
1001408336281700608,4,"8:00",3,10,12,3,0
1001408336281700608,4,"9:00",4,11,12,3,0
1001408336281700608,4,"10:00",2,9,12,4,0
1001408336281700608,4,"11:00",0,7,12,2,0
1001408336281700608,4,"12:00",0,4,12,3,0
1001408336281700608,4,"13:00",3,2,12,5,0
1001408336281700608,4,"14:00",5,4,12,3,0
1001408336281700608,4,"15:00",3,5,12,2,0
1001408336281700608,4,"16:00",3,1,12,6,0
1001408336281700608,4,"17:00",3,1,12,3,0
1001408336281700608,4,"18:00",0,0,12,1,0
1001408336281700608,4,"19:00",5,2,12,2,0
1001408336281700608,4,"20:00",0,0,12,2,0
1001408336281700608,4,"21:00",3,3,12,0,0
1001408336281700608,4,"22:00",5,3,12,5,0
1001408336281700608,4,"23:00",5,6,12,2,0
1001408336281700608,5,"0:00",5,10,12,1,0
1001408336281700608,5,"1:00",4,10,12,3,0
1001408336281700608,5,"2:00",3,11,12,2,0
1001408336281700608,5,"3:00",2,13,12,0,0
1001408336281700608,5,"4:00",1,12,12,2,0
1001408336281700608,5,"5:00",4,10,12,5,0
1001408336281700608,5,"6:00",5,11,12,4,0
1001408336281700608,5,"7:00",3,11,12,3,0
1001408336281700608,5,"8:00",1,11,12,1,0
1001408336281700608,5,"9:00",5,14,12,2,0
1001408336281700608,5,"10:00",1,14,12,1,0
1001408336281700608,5,"11:00",3,13,12,4,0
1001408336281700608,5,"12:00",4,14,12,3,0
1001408336281700608,5,"13:00",0,9,12,5,0
1001408336281700608,5,"14:00",3,10,12,2,0
1001408336281700608,5,"15:00",4,13,12,1,0
1001408336281700608,5,"16:00",3,11,12,5,0
1001408336281700608,5,"17:00",4,9,12,5,0
1001408336281700608,5,"18:00",5,13,12,1,0
1001408336281700608,5,"19:00",0,11,12,2,0
1001408336281700608,5,"20:00",4,15,12,0,0
1001408336281700608,5,"21:00",3,16,12,2,0
1001408336281700608,5,"22:00",2,16,12,2,0
1001408336281700608,5,"23:00",3,14,12,5,0
1001408336281700608,6,"0:00",1,15,12,0,0
1001408336281700608,6,"1:00",1,15,12,1,0
1001408336281700608,6,"2:00",5,15,12,4,0
1001408336281700608,6,"3:00",0,13,12,2,0
1001408336281700608,6,"4:00",4,16,12,1,0
1001408336281700608,6,"5:00",2,14,12,4,0
1001408336281700608,6,"6:00",4,16,12,2,0
1001408336281700608,6,"7:00",2,12,12,5,0
1001408336281700608,6,"8:00",1,11,12,2,0
1001408336281700608,6,"9:00",3,13,12,1,0
1001408336281700608,6,"10:00",2,12,12,3,0
1001408336281700608,6,"11:00",4,16,12,0,0
1001408336281700608,6,"12:00",3,18,12,1,0
1001408336281700608,6,"13:00",1,15,12,4,0
1001408336281700608,6,"14:00",5,17,12,2,0
1001408336281700608,6,"15:00",4,19,12,2,0
1001408336281700608,6,"16:00",3,19,12,3,0
1001408336281700608,6,"17:00",1,14,12,6,0
1001408336281700608,6,"18:00",5,16,12,2,0
1001408336281700608,6,"19:00",0,12,12,4,0
1001408336281700608,6,"20:00",4,13,12,3,0
1001408336281700608,6,"21:00",2,13,12,2,0
1001408336281700608,6,"22:00",2,11,12,4,0
1001408336281700608,6,"23:00",0,8,12,3,0
1001408336281700608,7,"0:00",2,8,12,2,0
1001408336281700608,7,"1:00",1,8,12,1,0
1001408336281700608,7,"2:00",3,10,12,1,0
1001408336281700608,7,"3:00",1,10,12,1,0
1001408336281700608,7,"4:00",5,13,12,2,0
1001408336281700608,7,"5:00",4,16,12,1,0
1001408336281700608,7,"6:00",2,12,12,6,0
1001408336281700608,7,"7:00",4,13,12,2,0
1001408336281700608,7,"8:00",2,12,12,3,0
1001408336281700608,7,"9:00",1,11,12,2,0
1001408336281700608,7,"10:00",1,8,12,4,0
