"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1109980053698588800,1,"0:00",2,0,2,0,10
1109980053698588800,1,"1:00",2,0,2,1,10
1109980053698588800,1,"2:00",3,0,5,0,7
1109980053698588800,1,"3:00",0,0,3,2,9
1109980053698588800,1,"4:00",1,0,3,1,9
1109980053698588800,1,"5:00",1,0,4,0,8
1109980053698588800,1,"6:00",4,0,8,0,4
1109980053698588800,1,"7:00",4,0,11,1,1
1109980053698588800,1,"8:00",4,0,12,3,0
1109980053698588800,1,"9:00",1,1,12,0,0
1109980053698588800,1,"10:00",3,3,12,1,0
1109980053698588800,1,"11:00",3,4,12,2,0
1109980053698588800,1,"12:00",2,4,12,2,0
1109980053698588800,1,"13:00",5,5,12,4,0
1109980053698588800,1,"14:00",5,6,12,4,0
1109980053698588800,1,"15:00",3,6,12,3,0
1109980053698588800,1,"16:00",0,5,12,1,0
1109980053698588800,1,"17:00",2,7,12,0,0
1109980053698588800,1,"18:00",5,12,12,0,0
1109980053698588800,1,"19:00",1,11,12,2,0
1109980053698588800,1,"20:00",2,11,12,2,0
1109980053698588800,1,"21:00",3,12,12,2,0
1109980053698588800,1,"22:00",3,14,12,1,0
1109980053698588800,1,"23:00",4,16,12,2,0
1109980053698588800,2,"0:00",3,15,12,3,0
1109980053698588800,2,"1:00",1,13,12,3,0
1109980053698588800,2,"2:00",5,16,12,2,0
1109980053698588800,2,"3:00",0,13,12,3,0
1109980053698588800,2,"4:00",5,15,12,3,0
1109980053698588800,2,"5:00",5,20,12,0,0
1109980053698588800,2,"6:00",2,21,12,0,0
1109980053698588800,2,"7:00",5,25,12,1,0
1109980053698588800,2,"8:00",1,22,12,4,0
1109980053698588800,2,"9:00",1,19,12,4,0
1109980053698588800,2,"10:00",1,19,12,1,0
1109980053698588800,2,"11:00",0,13,12,6,0
1109980053698588800,2,"12:00",5,17,12,1,0
1109980053698588800,2,"13:00",0,15,12,2,0
1109980053698588800,2,"14:00",3,15,12,2,0
1109980053698588800,2,"15:00",3,14,12,4,0
1109980053698588800,2,"16:00",3,15,12,2,0
1109980053698588800,2,"17:00",5,19,12,0,0
1109980053698588800,2,"18:00",1,17,12,2,0
1109980053698588800,2,"19:00",4,19,12,2,0
1109980053698588800,2,"20:00",0,17,12,2,0
1109980053698588800,2,"21:00",4,21,12,0,0
1109980053698588800,2,"22:00",2,18,12,5,0
1109980053698588800,2,"23:00",2,17,12,3,0
1109980053698588800,3,"0:00",0,16,12,1,0
1109980053698588800,3,"1:00",1,14,12,1,0
1109980053698588800,3,"2:00",3,16,12,1,0
1109980053698588800,3,"3:00",0,13,12,3,0
1109980053698588800,3,"4:00",0,10,12,3,0
1109980053698588800,3,"5:00",1,6,12,4,0
