"Sim_N","Day","AVG_SF_per_Day"
111533424957174864,1,3.43
111533424957174864,2,3.32
111533424957174864,3,4.01
111533424957174864,4,4.08
111533424957174864,5,4.48
111533424957174864,6,4.54
111533424957174864,7,4.88
111533424957174864,8,3.96
111533424957174864,9,4.2
111533424957174864,10,4.93
111533424957174864,11,4.99
111533424957174864,12,3.6
111533424957174864,13,4.69
111533424957174864,14,4.94
111533424957174864,15,4.18
1249583210622460416,1,4.7
1249583210622460416,2,3.18
1249583210622460416,3,4
1249583210622460416,4,2.63
1249583210622460416,5,3.6
1249583210622460416,6,3.75
1249583210622460416,7,4.85
1249583210622460416,8,4.91
1249583210622460416,9,3.78
1249583210622460416,10,4.72
1249583210622460416,11,4.33
1249583210622460416,12,3.72
1249583210622460416,13,3.91
1249583210622460416,14,4.75
1249583210622460416,15,4.8
1301394466906307584,1,5
1301394466906307584,2,3.85
1301394466906307584,3,4.22
1301394466906307584,4,4.1
1301394466906307584,5,4.07
1301394466906307584,6,3.73
1301394466906307584,7,4.55
1301394466906307584,8,3.7
1301394466906307584,9,4.34
1301394466906307584,10,4.93
1301394466906307584,11,4.14
1301394466906307584,12,4.05
1301394466906307584,13,3.41
1301394466906307584,14,3.4
1301394466906307584,15,4.58
1385550269635236864,1,5
1385550269635236864,2,4.71
1385550269635236864,3,4.87
1385550269635236864,4,4.43
1385550269635236864,5,3.76
1385550269635236864,6,4.27
1385550269635236864,7,4.34
1385550269635236864,8,3.81
1385550269635236864,9,4.53
1385550269635236864,10,3.87
1385550269635236864,11,4.77
1385550269635236864,12,3.59
1385550269635236864,13,4.54
1385550269635236864,14,3.19
1385550269635236864,15,4.54
1442686662295387648,1,4.97
1442686662295387648,2,4.82
1442686662295387648,3,4.79
1442686662295387648,4,4.77
1442686662295387648,5,4.55
1442686662295387648,6,4.24
1442686662295387648,7,3.75
1442686662295387648,8,4.13
1442686662295387648,9,4.44
1442686662295387648,10,4.99
1442686662295387648,11,4.64
1442686662295387648,12,5
1442686662295387648,13,4.71
1442686662295387648,14,5
1442686662295387648,15,4.74
1445972765782926080,1,4.69
1445972765782926080,2,4.67
1445972765782926080,3,5
1445972765782926080,4,5
1445972765782926080,5,4.99
1445972765782926080,6,4.95
1445972765782926080,7,4.41
1445972765782926080,8,3.7
1445972765782926080,9,4.91
1445972765782926080,10,3.88
1445972765782926080,11,4.37
