"Sim_N","Day","AVG_SF_per_Day"
100913109632613840,1,4.75
100913109632613840,2,4.18
100913109632613840,3,4.25
100913109632613840,4,3.3
100913109632613840,5,4.51
100913109632613840,6,3
100913109632613840,7,3.6
100913109632613840,8,3.37
100913109632613840,9,3.81
100913109632613840,10,3.98
100913109632613840,11,4.78
100913109632613840,12,4.97
100913109632613840,13,4.99
100913109632613840,14,4.15
100913109632613840,15,4.87
1113626245641851136,1,4.27
1113626245641851136,2,3.74
1113626245641851136,3,4.87
1113626245641851136,4,4.04
1113626245641851136,5,4.54
1113626245641851136,6,4.92
1113626245641851136,7,3.65
1113626245641851136,8,2.3
1113626245641851136,9,2.64
1113626245641851136,10,3.51
1113626245641851136,11,4.49
1113626245641851136,12,4.9
1113626245641851136,13,3.09
1113626245641851136,14,3.25
1113626245641851136,15,4.36
1154729966736623104,1,4.86
1154729966736623104,2,4.14
1154729966736623104,3,4.48
1154729966736623104,4,3.45
1154729966736623104,5,4.5
1154729966736623104,6,4.1
1154729966736623104,7,2.97
1154729966736623104,8,3.34
1154729966736623104,9,2.73
1154729966736623104,10,4.38
1154729966736623104,11,3.6
1154729966736623104,12,3.29
1154729966736623104,13,2.09
1154729966736623104,14,2.93
1154729966736623104,15,4.41
1180601422657384448,1,4.21
1180601422657384448,2,3.92
1180601422657384448,3,4.08
1180601422657384448,4,4.5
1180601422657384448,5,4.78
1180601422657384448,6,4.74
1180601422657384448,7,4.35
1180601422657384448,8,3.94
1180601422657384448,9,3.29
1180601422657384448,10,4.13
1180601422657384448,11,3.23
1180601422657384448,12,2.42
1180601422657384448,13,3.04
1180601422657384448,14,2.99
1180601422657384448,15,4.06
1207307077202007296,1,4.43
1207307077202007296,2,3.39
1207307077202007296,3,3.37
1207307077202007296,4,4.23
1207307077202007296,5,4.27
1207307077202007296,6,2.84
1207307077202007296,7,2.41
1207307077202007296,8,3.14
1207307077202007296,9,3.43
1207307077202007296,10,3.16
1207307077202007296,11,2.63
1207307077202007296,12,3.66
1207307077202007296,13,3.59
1207307077202007296,14,4.84
1207307077202007296,15,4.96
131364179897037936,1,4.72
131364179897037936,2,3.26
131364179897037936,3,3.34
131364179897037936,4,3.69
131364179897037936,5,3.81
131364179897037936,6,4.94
131364179897037936,7,3.96
131364179897037936,8,2.38
131364179897037936,9,3.38
131364179897037936,10,3.36
131364179897037936,11,3.95
131364179897037936,12,4.06
131364179897037936,13,4.45
131364179897037936,14,3.81
131364179897037936,15,4.32
1370844852529985536,1,4.99
1370844852529985536,2,5
1370844852529985536,3,3.93
1370844852529985536,4,3.01
1370844852529985536,5,3.61
1370844852529985536,6,2.54
1370844852529985536,7,3.59
1370844852529985536,8,3.47
1370844852529985536,9,4.55
1370844852529985536,10,4.86
1370844852529985536,11,4.06
1370844852529985536,12,4.83
1370844852529985536,13,4.96
1370844852529985536,14,5
1370844852529985536,15,4.43
1630705803773644544,1,4.64
1630705803773644544,2,4.83
1630705803773644544,3,4.84
1630705803773644544,4,4.62
1630705803773644544,5,3.58
1630705803773644544,6,4.3
1630705803773644544,7,4.97
1630705803773644544,8,4.86
1630705803773644544,9,4.37
1630705803773644544,10,3.49
1630705803773644544,11,3.67
1630705803773644544,12,4.69
1630705803773644544,13,2.9
1630705803773644544,14,2.87
1630705803773644544,15,3.98
1826496357486081280,1,4.7
1826496357486081280,2,4.8
1826496357486081280,3,3.53
1826496357486081280,4,3.68
1826496357486081280,5,4.2
1826496357486081280,6,4.38
1826496357486081280,7,4.82
1826496357486081280,8,3.46
1826496357486081280,9,3.25
1826496357486081280,10,4.78
1826496357486081280,11,4.46
1826496357486081280,12,2.88
1826496357486081280,13,3.81
1826496357486081280,14,3.63
1826496357486081280,15,4.96
2043877305140568064,1,4.96
2043877305140568064,2,4.13
2043877305140568064,3,3.61
2043877305140568064,4,3.56
2043877305140568064,5,3.52
2043877305140568064,6,3.33
2043877305140568064,7,3.26
2043877305140568064,8,4.51
2043877305140568064,9,3.1
2043877305140568064,10,3.07
2043877305140568064,11,2.28
2043877305140568064,12,3.73
2043877305140568064,13,3.28
2043877305140568064,14,2.21
2043877305140568064,15,3.99
2085678288027023872,1,4.88
2085678288027023872,2,3.15
2085678288027023872,3,2.49
2085678288027023872,4,2.98
2085678288027023872,5,3.96
2085678288027023872,6,3.87
2085678288027023872,7,2.55
2085678288027023872,8,3.93
2085678288027023872,9,4.31
2085678288027023872,10,4.5
2085678288027023872,11,4.7
2085678288027023872,12,4.98
2085678288027023872,13,4.92
2085678288027023872,14,4.99
2085678288027023872,15,4.96
2127086964789462016,1,4.86
2127086964789462016,2,4.78
2127086964789462016,3,4.36
2127086964789462016,4,4.49
2127086964789462016,5,5
2127086964789462016,6,4.03
2127086964789462016,7,3.67
2127086964789462016,8,2.95
2127086964789462016,9,3.4
2127086964789462016,10,2.46
2127086964789462016,11,3.18
2127086964789462016,12,4.04
2127086964789462016,13,4.74
2127086964789462016,14,5
2127086964789462016,15,4.51
2458942021759400960,1,4.93
2458942021759400960,2,3.64
2458942021759400960,3,2.46
2458942021759400960,4,3.71
2458942021759400960,5,4.04
2458942021759400960,6,4.8
2458942021759400960,7,3.6
2458942021759400960,8,3.55
2458942021759400960,9,4.19
2458942021759400960,10,2.69
2458942021759400960,11,2.96
2458942021759400960,12,4.68
2458942021759400960,13,4.98
2458942021759400960,14,4
2458942021759400960,15,4.03
2495395002944890368,1,4.98
2495395002944890368,2,4.43
2495395002944890368,3,2.99
2495395002944890368,4,2.41
2495395002944890368,5,3.4
2495395002944890368,6,3.45
2495395002944890368,7,3.44
2495395002944890368,8,3.61
2495395002944890368,9,5
2495395002944890368,10,4.13
2495395002944890368,11,4.82
2495395002944890368,12,4.78
2495395002944890368,13,4.32
2495395002944890368,14,2.39
2495395002944890368,15,4.41
261567742205509760,1,4.85
261567742205509760,2,4.69
261567742205509760,3,4.18
261567742205509760,4,3.17
261567742205509760,5,4.89
261567742205509760,6,3.87
261567742205509760,7,2.74
261567742205509760,8,4.74
261567742205509760,9,4.94
261567742205509760,10,4.51
261567742205509760,11,4.27
261567742205509760,12,3.63
261567742205509760,13,3.86
261567742205509760,14,3.56
261567742205509760,15,4.97
2901950285643281920,1,5
2901950285643281920,2,4.67
2901950285643281920,3,3.84
2901950285643281920,4,4.99
2901950285643281920,5,4.63
2901950285643281920,6,4.53
2901950285643281920,7,3
2901950285643281920,8,3.39
2901950285643281920,9,3.61
2901950285643281920,10,3.68
2901950285643281920,11,4.45
2901950285643281920,12,4.9
2901950285643281920,13,4.85
2901950285643281920,14,4.58
2901950285643281920,15,3.97
3070310118912676352,1,4.95
3070310118912676352,2,5
3070310118912676352,3,4.81
3070310118912676352,4,4.19
3070310118912676352,5,3.26
3070310118912676352,6,2.94
3070310118912676352,7,4.39
3070310118912676352,8,2.94
3070310118912676352,9,2.56
3070310118912676352,10,2.82
3070310118912676352,11,3.66
3070310118912676352,12,2.91
3070310118912676352,13,4.5
3070310118912676352,14,4.76
3070310118912676352,15,4.87
3082898161623606272,1,4.5
3082898161623606272,2,2.87
3082898161623606272,3,4.08
3082898161623606272,4,4.58
3082898161623606272,5,4.16
3082898161623606272,6,4.68
3082898161623606272,7,4.54
3082898161623606272,8,4.65
3082898161623606272,9,4.14
3082898161623606272,10,4.9
3082898161623606272,11,3.64
3082898161623606272,12,4.4
3082898161623606272,13,3.79
3082898161623606272,14,3.23
3082898161623606272,15,3.98
3090147353635470336,1,4.37
3090147353635470336,2,3.45
3090147353635470336,3,4.72
3090147353635470336,4,4.42
3090147353635470336,5,4.17
3090147353635470336,6,4.46
3090147353635470336,7,3.83
3090147353635470336,8,3.04
3090147353635470336,9,4.83
3090147353635470336,10,4.59
3090147353635470336,11,4.71
3090147353635470336,12,3.67
3090147353635470336,13,4.17
3090147353635470336,14,3.03
3090147353635470336,15,3.37
3173473432657299968,1,4.92
3173473432657299968,2,3.38
3173473432657299968,3,2.41
3173473432657299968,4,3.27
3173473432657299968,5,3.91
3173473432657299968,6,3.78
3173473432657299968,7,2.82
3173473432657299968,8,3.31
3173473432657299968,9,3.99
3173473432657299968,10,4.58
3173473432657299968,11,3.74
3173473432657299968,12,1.94
3173473432657299968,13,2.95
3173473432657299968,14,4.27
3173473432657299968,15,4.41
3326294463990432768,1,4.86
3326294463990432768,2,4.7
3326294463990432768,3,3.44
3326294463990432768,4,3.11
3326294463990432768,5,2.58
3326294463990432768,6,2.41
3326294463990432768,7,2.6
3326294463990432768,8,3.94
3326294463990432768,9,3.23
3326294463990432768,10,4.41
3326294463990432768,11,4.62
3326294463990432768,12,2.88
3326294463990432768,13,3.63
3326294463990432768,14,3.59
3326294463990432768,15,4.43
3489181452123322368,1,4.58
3489181452123322368,2,4.77
3489181452123322368,3,4.46
3489181452123322368,4,3.8
3489181452123322368,5,3.12
3489181452123322368,6,2.71
3489181452123322368,7,4.73
3489181452123322368,8,4.44
3489181452123322368,9,3.22
3489181452123322368,10,2.85
3489181452123322368,11,4.95
3489181452123322368,12,4.88
3489181452123322368,13,3.52
3489181452123322368,14,2.99
3489181452123322368,15,4.37
350989513915632256,1,4.76
350989513915632256,2,5
350989513915632256,3,4.54
350989513915632256,4,2.83
350989513915632256,5,3.22
350989513915632256,6,4.47
350989513915632256,7,4.57
350989513915632256,8,4.85
350989513915632256,9,4.95
350989513915632256,10,4.41
350989513915632256,11,4.86
350989513915632256,12,4.01
350989513915632256,13,2.5
350989513915632256,14,2.6
350989513915632256,15,4.13
3512058680232512512,1,4.77
3512058680232512512,2,3.63
3512058680232512512,3,3.85
3512058680232512512,4,3.24
3512058680232512512,5,2.54
3512058680232512512,6,4.63
3512058680232512512,7,4.7
3512058680232512512,8,4.97
3512058680232512512,9,4.44
3512058680232512512,10,4.97
3512058680232512512,11,4.57
3512058680232512512,12,4.73
3512058680232512512,13,3.5
3512058680232512512,14,2.63
3512058680232512512,15,4.92
4040699201399059456,1,4.99
4040699201399059456,2,3.94
4040699201399059456,3,3.11
4040699201399059456,4,2.81
4040699201399059456,5,4.39
4040699201399059456,6,3.3
4040699201399059456,7,3.01
4040699201399059456,8,2.72
4040699201399059456,9,2.32
4040699201399059456,10,4.12
4040699201399059456,11,4.3
4040699201399059456,12,4.16
