"Sim_N","Day","AVG_SF_per_Day"
1021268470082569984,1,4.73
1021268470082569984,2,4.16
1021268470082569984,3,4.29
1021268470082569984,4,3.14
1021268470082569984,5,4.02
1021268470082569984,6,4.26
1021268470082569984,7,4.27
1021268470082569984,8,3.19
1021268470082569984,9,3.46
1021268470082569984,10,3.7
1021268470082569984,11,4.94
1021268470082569984,12,4.38
1021268470082569984,13,3.87
1021268470082569984,14,4.17
1021268470082569984,15,4.45
106206756442599280,1,4.82
106206756442599280,2,3.88
106206756442599280,3,3.26
106206756442599280,4,4.88
106206756442599280,5,4.71
106206756442599280,6,3.67
106206756442599280,7,4.04
106206756442599280,8,4.04
106206756442599280,9,4.21
106206756442599280,10,4
106206756442599280,11,4.94
106206756442599280,12,4.72
106206756442599280,13,4.47
106206756442599280,14,3.98
106206756442599280,15,4.83
116865096398746320,1,4.6
116865096398746320,2,2.49
116865096398746320,3,4.35
116865096398746320,4,3.8
116865096398746320,5,4.66
116865096398746320,6,3.82
116865096398746320,7,4.98
116865096398746320,8,4.26
116865096398746320,9,4.01
116865096398746320,10,3.89
116865096398746320,11,4.52
116865096398746320,12,4.98
116865096398746320,13,4.4
116865096398746320,14,3.84
116865096398746320,15,4.95
1278145478731478272,1,4.98
1278145478731478272,2,4.85
1278145478731478272,3,4.63
1278145478731478272,4,4.78
1278145478731478272,5,4.89
1278145478731478272,6,3.58
1278145478731478272,7,4.62
1278145478731478272,8,3.12
1278145478731478272,9,3.8
1278145478731478272,10,3.73
1278145478731478272,11,3.81
1278145478731478272,12,3.57
1278145478731478272,13,3.75
1278145478731478272,14,4.37
1278145478731478272,15,4.35
1290654493698043392,1,4.44
1290654493698043392,2,3.79
1290654493698043392,3,4.23
1290654493698043392,4,4.47
1290654493698043392,5,4.64
1290654493698043392,6,4.21
1290654493698043392,7,4.5
1290654493698043392,8,3.58
1290654493698043392,9,4.04
1290654493698043392,10,3.48
1290654493698043392,11,2.95
1290654493698043392,12,4.63
1290654493698043392,13,4.14
1290654493698043392,14,3.8
1290654493698043392,15,4.84
1317026500237693184,1,4.04
1317026500237693184,2,4.62
1317026500237693184,3,3.53
1317026500237693184,4,4.02
1317026500237693184,5,4.85
1317026500237693184,6,4.88
1317026500237693184,7,4.79
1317026500237693184,8,4.3
1317026500237693184,9,4.29
1317026500237693184,10,4.09
1317026500237693184,11,3.87
1317026500237693184,12,3.64
1317026500237693184,13,3.65
1317026500237693184,14,4.88
1317026500237693184,15,4.99
133108851706935488,1,4.98
133108851706935488,2,4.87
133108851706935488,3,4.5
133108851706935488,4,4.83
133108851706935488,5,3.24
133108851706935488,6,4.81
133108851706935488,7,3.6
133108851706935488,8,4.65
133108851706935488,9,4.76
133108851706935488,10,5
133108851706935488,11,3.9
133108851706935488,12,4.65
133108851706935488,13,4.99
133108851706935488,14,4.86
133108851706935488,15,3.83
1368725190886918144,1,4.85
1368725190886918144,2,3.7
1368725190886918144,3,4.55
1368725190886918144,4,3.92
1368725190886918144,5,4.23
1368725190886918144,6,4.5
1368725190886918144,7,3.87
1368725190886918144,8,4.73
1368725190886918144,9,4.33
1368725190886918144,10,4.86
1368725190886918144,11,4.26
1368725190886918144,12,3.98
1368725190886918144,13,3.99
1368725190886918144,14,4.81
1368725190886918144,15,4.25
1397213446681071104,1,4.02
1397213446681071104,2,3.77
1397213446681071104,3,4.16
1397213446681071104,4,4.77
1397213446681071104,5,3.61
1397213446681071104,6,3.76
1397213446681071104,7,4.72
1397213446681071104,8,4.38
1397213446681071104,9,3.19
1397213446681071104,10,4.45
1397213446681071104,11,4.98
1397213446681071104,12,3.96
1397213446681071104,13,4.39
1397213446681071104,14,4.05
1397213446681071104,15,4.88
1562180491632655872,1,4.97
1562180491632655872,2,3.72
