"Sim_N","Day","AVG_SF_per_Day"
1109980053698588800,1,4.17
1109980053698588800,2,2.91
1109980053698588800,3,4.36
1109980053698588800,4,3.11
1109980053698588800,5,3.3
1109980053698588800,6,3.84
1109980053698588800,7,3.15
1109980053698588800,8,3.72
1109980053698588800,9,3.76
1109980053698588800,10,3.48
1109980053698588800,11,3.4
1109980053698588800,12,4.7
1109980053698588800,13,4.67
1109980053698588800,14,4.78
1109980053698588800,15,4.98
1181292613233772800,1,4.26
1181292613233772800,2,3.23
1181292613233772800,3,4.84
1181292613233772800,4,4.57
1181292613233772800,5,3.82
1181292613233772800,6,3.56
1181292613233772800,7,3.29
1181292613233772800,8,3.44
1181292613233772800,9,3.45
1181292613233772800,10,3.65
1181292613233772800,11,3.72
1181292613233772800,12,2.68
1181292613233772800,13,3.04
1181292613233772800,14,4.18
1181292613233772800,15,4.83
1278152890803017216,1,4.99
1278152890803017216,2,4.86
1278152890803017216,3,3.38
1278152890803017216,4,3.14
1278152890803017216,5,2.85
1278152890803017216,6,3.85
1278152890803017216,7,4.94
1278152890803017216,8,4.84
1278152890803017216,9,4.94
1278152890803017216,10,3.32
1278152890803017216,11,3.48
1278152890803017216,12,4.37
1278152890803017216,13,3.28
1278152890803017216,14,3.67
1278152890803017216,15,4.62
1285014799645400832,1,4.33
1285014799645400832,2,3.06
1285014799645400832,3,2.53
1285014799645400832,4,2.48
1285014799645400832,5,4.24
1285014799645400832,6,4.98
1285014799645400832,7,4.6
1285014799645400832,8,4.48
1285014799645400832,9,3.98
1285014799645400832,10,4.14
1285014799645400832,11,4.74
1285014799645400832,12,4.35
1285014799645400832,13,4.69
1285014799645400832,14,4.48
1285014799645400832,15,3.66
1318043470844090368,1,4.84
1318043470844090368,2,4.39
1318043470844090368,3,4.31
1318043470844090368,4,2.56
1318043470844090368,5,3.36
1318043470844090368,6,4.8
1318043470844090368,7,4.19
1318043470844090368,8,2.76
1318043470844090368,9,2.88
1318043470844090368,10,3.7
1318043470844090368,11,3.54
1318043470844090368,12,3.89
1318043470844090368,13,3.71
1318043470844090368,14,3.22
1318043470844090368,15,3.86
1378833738068798464,1,4.45
1378833738068798464,2,3.77
1378833738068798464,3,4.72
1378833738068798464,4,4.6
1378833738068798464,5,4.46
1378833738068798464,6,2.44
1378833738068798464,7,2.31
1378833738068798464,8,3.8
1378833738068798464,9,3.29
1378833738068798464,10,3.62
1378833738068798464,11,4.16
1378833738068798464,12,3.23
1378833738068798464,13,4.46
1378833738068798464,14,4.77
1378833738068798464,15,4.41
1508731849834759680,1,4.83
1508731849834759680,2,2.95
1508731849834759680,3,3.05
1508731849834759680,4,2.67
1508731849834759680,5,2.35
1508731849834759680,6,2.98
1508731849834759680,7,3.02
1508731849834759680,8,3.81
1508731849834759680,9,4.44
1508731849834759680,10,4.49
1508731849834759680,11,4.58
1508731849834759680,12,4.7
1508731849834759680,13,4.31
1508731849834759680,14,3.44
1508731849834759680,15,4.65
1513251850685437952,1,4.9
1513251850685437952,2,5
1513251850685437952,3,4.84
1513251850685437952,4,3.77
1513251850685437952,5,2.62
1513251850685437952,6,2.1
1513251850685437952,7,3.36
1513251850685437952,8,3.63
1513251850685437952,9,4.91
1513251850685437952,10,4.12
1513251850685437952,11,4.09
1513251850685437952,12,4.76
1513251850685437952,13,3.35
1513251850685437952,14,4.59
1513251850685437952,15,4.99
1692727556166678016,1,4.86
1692727556166678016,2,5
1692727556166678016,3,4.22
1692727556166678016,4,3.4
1692727556166678016,5,2.95
1692727556166678016,6,3.55
1692727556166678016,7,2.9
1692727556166678016,8,2.38
1692727556166678016,9,2.7
1692727556166678016,10,3.26
1692727556166678016,11,3.14
1692727556166678016,12,2.98
1692727556166678016,13,3.11
1692727556166678016,14,3.61
1692727556166678016,15,3.28
1856849560503727360,1,4.13
1856849560503727360,2,3.25
1856849560503727360,3,3.72
1856849560503727360,4,4.02
1856849560503727360,5,4.59
1856849560503727360,6,4.85
1856849560503727360,7,4.3
1856849560503727360,8,5
1856849560503727360,9,3.21
1856849560503727360,10,3.08
1856849560503727360,11,2.87
1856849560503727360,12,4.27
1856849560503727360,13,4.94
1856849560503727360,14,4.7
1856849560503727360,15,4.13
1873040258978057984,1,4.76
1873040258978057984,2,4.28
1873040258978057984,3,4.88
1873040258978057984,4,5
1873040258978057984,5,4.55
1873040258978057984,6,3.73
1873040258978057984,7,3.34
1873040258978057984,8,4.8
1873040258978057984,9,4.13
1873040258978057984,10,2.96
1873040258978057984,11,4.36
1873040258978057984,12,3.74
1873040258978057984,13,3.84
1873040258978057984,14,3.82
1873040258978057984,15,3.64
1897675387823776000,1,4.96
1897675387823776000,2,2.62
1897675387823776000,3,3.06
1897675387823776000,4,3.51
1897675387823776000,5,4.2
1897675387823776000,6,3.37
1897675387823776000,7,4.56
1897675387823776000,8,3.66
1897675387823776000,9,2.55
1897675387823776000,10,3.87
1897675387823776000,11,3.9
1897675387823776000,12,4.79
1897675387823776000,13,4.93
1897675387823776000,14,4.55
1897675387823776000,15,4.08
2058641438122007552,1,4.32
2058641438122007552,2,3.28
2058641438122007552,3,3.6
2058641438122007552,4,4.68
2058641438122007552,5,4.76
2058641438122007552,6,3.22
2058641438122007552,7,4.45
2058641438122007552,8,4.58
2058641438122007552,9,5
2058641438122007552,10,3.99
2058641438122007552,11,3.92
2058641438122007552,12,4.96
2058641438122007552,13,4.72
2058641438122007552,14,3.2
2058641438122007552,15,3.43
2062921271246633472,1,4.94
2062921271246633472,2,4.57
2062921271246633472,3,3.17
2062921271246633472,4,3.07
2062921271246633472,5,4.58
2062921271246633472,6,3.52
2062921271246633472,7,4.82
2062921271246633472,8,4.7
2062921271246633472,9,3.55
2062921271246633472,10,4.16
2062921271246633472,11,3.98
2062921271246633472,12,3.28
2062921271246633472,13,2.95
2062921271246633472,14,4.76
2062921271246633472,15,4.4
2156494084333297152,1,4.43
2156494084333297152,2,3.93
2156494084333297152,3,3.15
2156494084333297152,4,2.98
2156494084333297152,5,3.71
2156494084333297152,6,3.35
2156494084333297152,7,3.7
2156494084333297152,8,3.22
2156494084333297152,9,2.77
2156494084333297152,10,2.55
2156494084333297152,11,2.66
2156494084333297152,12,4.09
2156494084333297152,13,4.97
2156494084333297152,14,4.13
2156494084333297152,15,3.9
2157185762344732160,1,3.7
