"Sim_N","Day","AVG_SF_per_Day"
1046191230463598080,1,4.73
1046191230463598080,2,2.69
1046191230463598080,3,4.13
1046191230463598080,4,4.62
1046191230463598080,5,4.42
1046191230463598080,6,4.98
1046191230463598080,7,4.55
1046191230463598080,8,4.45
1046191230463598080,9,4.42
1046191230463598080,10,4.18
1046191230463598080,11,4.53
1046191230463598080,12,3.72
1046191230463598080,13,4.84
1046191230463598080,14,4.76
1046191230463598080,15,4.97
1160900149773287936,1,4.18
1160900149773287936,2,4.52
1160900149773287936,3,4.89
1160900149773287936,4,4.61
1160900149773287936,5,4.94
1160900149773287936,6,4.11
1160900149773287936,7,2.88
1160900149773287936,8,3.1
1160900149773287936,9,3.47
1160900149773287936,10,4.46
1160900149773287936,11,4.24
1160900149773287936,12,4.53
1160900149773287936,13,4.36
1160900149773287936,14,3.94
1160900149773287936,15,3.71
1398286920874552832,1,4.06
1398286920874552832,2,2.38
1398286920874552832,3,3.65
1398286920874552832,4,3.9
1398286920874552832,5,3.11
1398286920874552832,6,4.04
1398286920874552832,7,4.11
1398286920874552832,8,4.5
1398286920874552832,9,2.97
1398286920874552832,10,2.68
1398286920874552832,11,4.05
1398286920874552832,12,4.29
1398286920874552832,13,4.01
1398286920874552832,14,2.62
1398286920874552832,15,3.24
1421364600401550848,1,4.83
1421364600401550848,2,4.37
1421364600401550848,3,4.96
1421364600401550848,4,4.72
1421364600401550848,5,4.26
1421364600401550848,6,3.42
1421364600401550848,7,3.29
1421364600401550848,8,1.95
1421364600401550848,9,2.29
1421364600401550848,10,2.33
1421364600401550848,11,3.46
1421364600401550848,12,3.19
1421364600401550848,13,2.65
1421364600401550848,14,3.29
1421364600401550848,15,3.65
1440999475725850624,1,4.96
1440999475725850624,2,4.13
1440999475725850624,3,3.18
1440999475725850624,4,4.17
1440999475725850624,5,4.96
1440999475725850624,6,3.26
1440999475725850624,7,3.52
1440999475725850624,8,4.11
1440999475725850624,9,3.57
1440999475725850624,10,2.64
1440999475725850624,11,3.02
1440999475725850624,12,4.19
1440999475725850624,13,4.08
1440999475725850624,14,4.99
1440999475725850624,15,4.43
1484836529554723328,1,4.88
1484836529554723328,2,4.01
1484836529554723328,3,4.24
1484836529554723328,4,3.77
1484836529554723328,5,2.93
1484836529554723328,6,4.69
1484836529554723328,7,4.57
1484836529554723328,8,4.91
1484836529554723328,9,4.3
1484836529554723328,10,3.43
1484836529554723328,11,4.58
1484836529554723328,12,4.98
1484836529554723328,13,5
1484836529554723328,14,4.61
1484836529554723328,15,3.93
1732686421219272960,1,4.71
1732686421219272960,2,3.91
1732686421219272960,3,2.65
1732686421219272960,4,4.12
1732686421219272960,5,4.02
1732686421219272960,6,4.3
1732686421219272960,7,4.68
1732686421219272960,8,3.78
1732686421219272960,9,3.69
1732686421219272960,10,3.66
1732686421219272960,11,3.19
1732686421219272960,12,3.13
1732686421219272960,13,2.78
1732686421219272960,14,3.09
1732686421219272960,15,3.4
1774726218050279936,1,4.84
1774726218050279936,2,4.59
1774726218050279936,3,4.74
1774726218050279936,4,4.16
1774726218050279936,5,3.13
1774726218050279936,6,4.79
1774726218050279936,7,4.75
1774726218050279936,8,4.12
1774726218050279936,9,3.23
1774726218050279936,10,3.15
1774726218050279936,11,3.18
1774726218050279936,12,2.57
1774726218050279936,13,2.84
1774726218050279936,14,2.7
1774726218050279936,15,3.58
2229724431903758848,1,4.96
2229724431903758848,2,4.67
2229724431903758848,3,4.58
2229724431903758848,4,4.79
2229724431903758848,5,4.32
2229724431903758848,6,4.28
2229724431903758848,7,3.96
2229724431903758848,8,3.33
2229724431903758848,9,4.19
2229724431903758848,10,4.43
2229724431903758848,11,3.87
2229724431903758848,12,4.1
2229724431903758848,13,4.65
2229724431903758848,14,5
2229724431903758848,15,4.58
2239147603185649152,1,5
2239147603185649152,2,4.86
2239147603185649152,3,4.37
2239147603185649152,4,4.9
2239147603185649152,5,4.64
2239147603185649152,6,4.46
2239147603185649152,7,4.24
2239147603185649152,8,3.49
2239147603185649152,9,4.31
2239147603185649152,10,2.63
2239147603185649152,11,2.48
2239147603185649152,12,2.46
2239147603185649152,13,3.36
2239147603185649152,14,4.63
2239147603185649152,15,4.94
2348328996759275008,1,3.55
2348328996759275008,2,3.75
2348328996759275008,3,3.6
2348328996759275008,4,4
2348328996759275008,5,2.22
2348328996759275008,6,2.98
2348328996759275008,7,2.96
2348328996759275008,8,3.71
2348328996759275008,9,3.47
2348328996759275008,10,3.33
2348328996759275008,11,4.02
2348328996759275008,12,4.65
2348328996759275008,13,3.9
2348328996759275008,14,4.03
2348328996759275008,15,4.75
2452094166453350400,1,5
2452094166453350400,2,4.66
2452094166453350400,3,3.89
2452094166453350400,4,3.14
2452094166453350400,5,3.11
2452094166453350400,6,3.76
2452094166453350400,7,4.55
2452094166453350400,8,4.28
