"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1049789470681898368,1,"0:00",4,0,3,0,12
1049789470681898368,1,"1:00",0,0,2,1,13
1049789470681898368,1,"2:00",5,0,6,1,9
1049789470681898368,1,"3:00",0,0,6,0,9
1049789470681898368,1,"4:00",5,0,10,1,5
1049789470681898368,1,"5:00",3,0,8,4,7
1049789470681898368,1,"6:00",0,0,7,1,8
1049789470681898368,1,"7:00",3,0,9,1,6
1049789470681898368,1,"8:00",5,0,11,3,4
1049789470681898368,1,"9:00",0,0,8,3,7
1049789470681898368,1,"10:00",1,0,6,3,9
1049789470681898368,1,"11:00",5,0,9,2,6
1049789470681898368,1,"12:00",3,0,7,5,8
1049789470681898368,1,"13:00",2,0,7,2,8
1049789470681898368,1,"14:00",3,0,8,2,7
1049789470681898368,1,"15:00",2,0,10,0,5
1049789470681898368,1,"16:00",3,0,12,1,3
1049789470681898368,1,"17:00",5,0,15,2,0
1049789470681898368,1,"18:00",5,2,15,3,0
1049789470681898368,1,"19:00",4,2,15,4,0
1049789470681898368,1,"20:00",2,4,15,0,0
1049789470681898368,1,"21:00",3,3,15,4,0
1049789470681898368,1,"22:00",5,5,15,3,0
1049789470681898368,1,"23:00",1,5,15,1,0
1049789470681898368,2,"0:00",5,5,15,5,0
1049789470681898368,2,"1:00",5,10,15,0,0
1049789470681898368,2,"2:00",0,8,15,2,0
1049789470681898368,2,"3:00",5,9,15,2,0
1049789470681898368,2,"4:00",3,11,15,1,0
1049789470681898368,2,"5:00",0,9,15,2,0
1049789470681898368,2,"6:00",2,9,15,2,0
1049789470681898368,2,"7:00",0,6,15,3,0
1049789470681898368,2,"8:00",1,4,15,3,0
1049789470681898368,2,"9:00",3,5,15,2,0
1049789470681898368,2,"10:00",2,5,15,2,0
1049789470681898368,2,"11:00",3,0,14,9,1
1049789470681898368,2,"12:00",5,1,15,3,0
1049789470681898368,2,"13:00",5,3,15,3,0
1049789470681898368,2,"14:00",1,0,15,4,0
1049789470681898368,2,"15:00",4,1,15,3,0
1049789470681898368,2,"16:00",0,0,14,2,1
1049789470681898368,2,"17:00",1,0,12,3,3
1049789470681898368,2,"18:00",5,0,15,2,0
1049789470681898368,2,"19:00",3,1,15,2,0
1049789470681898368,2,"20:00",1,0,12,5,3
1049789470681898368,2,"21:00",3,0,13,2,2
1049789470681898368,2,"22:00",4,0,13,4,2
1049789470681898368,2,"23:00",5,0,15,3,0
1049789470681898368,3,"0:00",4,1,15,3,0
1049789470681898368,3,"1:00",3,0,12,7,3
1049789470681898368,3,"2:00",0,0,12,0,3
1049789470681898368,3,"3:00",2,0,13,1,2
1049789470681898368,3,"4:00",1,0,12,2,3
1049789470681898368,3,"5:00",1,0,12,1,3
1049789470681898368,3,"6:00",1,0,11,2,4
1049789470681898368,3,"7:00",3,0,11,3,4
1049789470681898368,3,"8:00",5,0,15,1,0
1049789470681898368,3,"9:00",2,0,13,4,2
