"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
111971399673053296,1,"0:00",0,0,0,0,15
111971399673053296,1,"1:00",4,0,2,1,13
111971399673053296,1,"2:00",4,0,6,0,9
111971399673053296,1,"3:00",1,0,5,2,10
111971399673053296,1,"4:00",3,0,7,1,8
111971399673053296,1,"5:00",3,0,10,0,5
111971399673053296,1,"6:00",1,0,11,0,4
111971399673053296,1,"7:00",2,0,12,1,3
111971399673053296,1,"8:00",4,0,12,2,3
111971399673053296,1,"9:00",1,0,12,1,3
111971399673053296,1,"10:00",4,1,15,0,0
111971399673053296,1,"11:00",5,2,15,3,0
111971399673053296,1,"12:00",5,0,14,7,1
111971399673053296,1,"13:00",4,0,15,3,0
111971399673053296,1,"14:00",5,2,15,3,0
111971399673053296,1,"15:00",1,2,15,1,0
111971399673053296,1,"16:00",3,4,15,1,0
111971399673053296,1,"17:00",4,7,15,1,0
111971399673053296,1,"18:00",1,6,15,2,0
111971399673053296,1,"19:00",1,5,15,2,0
111971399673053296,1,"20:00",1,6,15,0,0
111971399673053296,1,"21:00",2,7,15,1,0
111971399673053296,1,"22:00",2,9,15,0,0
111971399673053296,1,"23:00",0,5,15,4,0
111971399673053296,2,"0:00",2,6,15,1,0
111971399673053296,2,"1:00",3,6,15,3,0
111971399673053296,2,"2:00",5,4,15,7,0
111971399673053296,2,"3:00",0,1,15,3,0
111971399673053296,2,"4:00",3,1,15,3,0
111971399673053296,2,"5:00",2,0,15,3,0
111971399673053296,2,"6:00",4,0,14,4,1
111971399673053296,2,"7:00",2,0,13,3,2
111971399673053296,2,"8:00",0,0,9,4,6
111971399673053296,2,"9:00",4,0,13,0,2
111971399673053296,2,"10:00",5,3,15,0,0
111971399673053296,2,"11:00",3,1,15,5,0
111971399673053296,2,"12:00",3,0,13,6,2
111971399673053296,2,"13:00",2,0,13,2,2
111971399673053296,2,"14:00",1,0,11,3,4
111971399673053296,2,"15:00",0,0,10,1,5
111971399673053296,2,"16:00",1,0,11,0,4
111971399673053296,2,"17:00",3,0,14,0,1
111971399673053296,2,"18:00",5,0,13,6,2
111971399673053296,2,"19:00",5,1,15,2,0
111971399673053296,2,"20:00",5,4,15,2,0
111971399673053296,2,"21:00",1,4,15,1,0
111971399673053296,2,"22:00",5,7,15,2,0
111971399673053296,2,"23:00",5,7,15,5,0
111971399673053296,3,"0:00",0,6,15,1,0
111971399673053296,3,"1:00",0,3,15,3,0
