"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1054569708953620736,1,"0:00",4,0,4,0,11
1054569708953620736,1,"1:00",4,0,4,3,11
1054569708953620736,1,"2:00",3,0,5,2,10
1054569708953620736,1,"3:00",1,0,5,1,10
1054569708953620736,1,"4:00",3,0,7,1,8
1054569708953620736,1,"5:00",2,0,7,2,8
1054569708953620736,1,"6:00",3,0,9,1,6
1054569708953620736,1,"7:00",5,0,12,2,3
1054569708953620736,1,"8:00",3,0,11,4,4
1054569708953620736,1,"9:00",3,0,10,4,5
1054569708953620736,1,"10:00",5,0,11,4,4
1054569708953620736,1,"11:00",1,0,11,1,4
1054569708953620736,1,"12:00",3,0,12,2,3
1054569708953620736,1,"13:00",1,0,11,2,4
1054569708953620736,1,"14:00",4,0,12,3,3
1054569708953620736,1,"15:00",0,0,11,1,4
1054569708953620736,1,"16:00",3,0,13,1,2
1054569708953620736,1,"17:00",1,0,12,2,3
1054569708953620736,1,"18:00",5,0,15,2,0
1054569708953620736,1,"19:00",3,1,15,2,0
1054569708953620736,1,"20:00",2,2,15,1,0
1054569708953620736,1,"21:00",2,0,15,4,0
1054569708953620736,1,"22:00",4,0,15,3,0
1054569708953620736,1,"23:00",3,0,15,3,0
1054569708953620736,2,"0:00",4,2,15,2,0
1054569708953620736,2,"1:00",4,6,15,0,0
1054569708953620736,2,"2:00",5,6,15,5,0
1054569708953620736,2,"3:00",5,10,15,1,0
1054569708953620736,2,"4:00",1,9,15,2,0
1054569708953620736,2,"5:00",3,11,15,1,0
1054569708953620736,2,"6:00",0,9,15,2,0
1054569708953620736,2,"7:00",3,12,15,0,0
1054569708953620736,2,"8:00",0,10,15,2,0
1054569708953620736,2,"9:00",5,14,15,1,0
1054569708953620736,2,"10:00",1,13,15,2,0
1054569708953620736,2,"11:00",4,14,15,2,0
1054569708953620736,2,"12:00",0,13,15,1,0
1054569708953620736,2,"13:00",5,10,15,3,0
1054569708953620736,2,"14:00",5,12,15,1,0
1054569708953620736,2,"15:00",5,11,15,4,0
1054569708953620736,2,"16:00",5,10,15,3,0
1054569708953620736,2,"17:00",5,13,15,2,0
1054569708953620736,2,"18:00",3,12,15,3,0
1054569708953620736,2,"19:00",3,12,15,3,0
1054569708953620736,2,"20:00",0,7,15,5,0
1054569708953620736,2,"21:00",1,5,15,3,0
1054569708953620736,2,"22:00",5,6,15,1,0
1054569708953620736,2,"23:00",5,8,15,2,0
1054569708953620736,3,"0:00",3,8,15,2,0
1054569708953620736,3,"1:00",1,6,15,3,0
1054569708953620736,3,"2:00",1,4,15,1,0
1054569708953620736,3,"3:00",4,7,15,1,0
1054569708953620736,3,"4:00",2,6,15,3,0
1054569708953620736,3,"5:00",4,8,15,2,0
1054569708953620736,3,"6:00",3,9,15,1,0
1054569708953620736,3,"7:00",2,10,15,1,0
1054569708953620736,3,"8:00",4,10,15,4,0
1054569708953620736,3,"9:00",4,12,15,2,0
1054569708953620736,3,"10:00",0,6,15,3,0
1054569708953620736,3,"11:00",1,6,15,1,0
1054569708953620736,3,"12:00",3,7,15,2,0
1054569708953620736,3,"13:00",3,10,15,0,0
1054569708953620736,3,"14:00",0,8,15,1,0
1054569708953620736,3,"15:00",5,6,15,6,0
1054569708953620736,3,"16:00",5,9,15,1,0
1054569708953620736,3,"17:00",2,7,15,3,0
