"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1055007950479973760,1,"0:00",5,0,5,0,10
1055007950479973760,1,"1:00",3,0,7,1,8
1055007950479973760,1,"2:00",3,0,8,2,7
1055007950479973760,1,"3:00",5,0,12,1,3
1055007950479973760,1,"4:00",1,0,13,0,2
1055007950479973760,1,"5:00",4,1,15,0,0
1055007950479973760,1,"6:00",2,0,15,2,0
1055007950479973760,1,"7:00",1,0,14,2,1
1055007950479973760,1,"8:00",1,0,13,2,2
1055007950479973760,1,"9:00",2,0,13,2,2
1055007950479973760,1,"10:00",3,0,14,2,1
1055007950479973760,1,"11:00",5,0,15,4,0
1055007950479973760,1,"12:00",2,1,15,1,0
1055007950479973760,1,"13:00",1,0,13,4,2
1055007950479973760,1,"14:00",5,0,13,4,2
1055007950479973760,1,"15:00",1,0,10,4,5
1055007950479973760,1,"16:00",1,0,9,2,6
1055007950479973760,1,"17:00",3,0,10,2,5
1055007950479973760,1,"18:00",0,0,10,0,5
1055007950479973760,1,"19:00",0,0,8,2,7
1055007950479973760,1,"20:00",5,0,11,2,4
1055007950479973760,1,"21:00",0,0,9,2,6
1055007950479973760,1,"22:00",2,0,10,1,5
1055007950479973760,1,"23:00",0,0,9,1,6
1055007950479973760,2,"0:00",4,0,11,2,4
1055007950479973760,2,"1:00",5,0,14,2,1
1055007950479973760,2,"2:00",0,0,11,3,4
1055007950479973760,2,"3:00",0,0,8,3,7
1055007950479973760,2,"4:00",1,0,9,0,6
1055007950479973760,2,"5:00",1,0,9,1,6
1055007950479973760,2,"6:00",0,0,8,1,7
1055007950479973760,2,"7:00",3,0,10,1,5
1055007950479973760,2,"8:00",0,0,10,0,5
1055007950479973760,2,"9:00",4,0,10,4,5
1055007950479973760,2,"10:00",4,0,13,1,2
1055007950479973760,2,"11:00",4,1,15,1,0
1055007950479973760,2,"12:00",1,0,14,3,1
1055007950479973760,2,"13:00",3,0,14,3,1
1055007950479973760,2,"14:00",1,0,11,3,4
1055007950479973760,2,"15:00",3,0,12,2,3
1055007950479973760,2,"16:00",3,0,14,1,1
1055007950479973760,2,"17:00",1,0,7,8,8
1055007950479973760,2,"18:00",4,0,11,0,4
1055007950479973760,2,"19:00",5,0,8,7,7
1055007950479973760,2,"20:00",1,0,8,1,7
1055007950479973760,2,"21:00",5,0,6,6,9
1055007950479973760,2,"22:00",4,0,5,5,10
1055007950479973760,2,"23:00",0,0,4,1,11
1055007950479973760,3,"0:00",1,0,3,2,12
1055007950479973760,3,"1:00",5,0,6,1,9
1055007950479973760,3,"2:00",5,0,7,4,8
1055007950479973760,3,"3:00",4,0,9,2,6
1055007950479973760,3,"4:00",2,0,8,3,7
1055007950479973760,3,"5:00",3,0,11,0,4
1055007950479973760,3,"6:00",0,0,8,3,7
1055007950479973760,3,"7:00",0,0,6,2,9
1055007950479973760,3,"8:00",3,0,8,0,7
1055007950479973760,3,"9:00",1,0,7,2,8
1055007950479973760,3,"10:00",4,0,10,1,5
1055007950479973760,3,"11:00",4,0,13,1,2
1055007950479973760,3,"12:00",5,1,15,1,0
1055007950479973760,3,"13:00",4,3,15,2,0
1055007950479973760,3,"14:00",1,0,15,4,0
1055007950479973760,3,"15:00",5,1,15,3,0
1055007950479973760,3,"16:00",5,4,15,2,0
1055007950479973760,3,"17:00",0,1,15,3,0
1055007950479973760,3,"18:00",4,2,15,3,0
1055007950479973760,3,"19:00",3,2,15,3,0
1055007950479973760,3,"20:00",2,2,15,2,0
1055007950479973760,3,"21:00",5,3,15,3,0
1055007950479973760,3,"22:00",0,0,14,4,1
1055007950479973760,3,"23:00",1,0,15,0,0
1055007950479973760,4,"0:00",0,0,13,2,2
1055007950479973760,4,"1:00",2,0,12,3,3
1055007950479973760,4,"2:00",4,0,11,4,4
1055007950479973760,4,"3:00",4,0,12,3,3
1055007950479973760,4,"4:00",1,0,12,1,3
1055007950479973760,4,"5:00",4,0,10,5,5
1055007950479973760,4,"6:00",4,0,13,1,2
1055007950479973760,4,"7:00",4,0,13,4,2
1055007950479973760,4,"8:00",5,0,13,4,2
1055007950479973760,4,"9:00",3,0,13,3,2
1055007950479973760,4,"10:00",4,0,15,2,0
1055007950479973760,4,"11:00",4,2,15,2,0
1055007950479973760,4,"12:00",3,3,15,2,0
1055007950479973760,4,"13:00",2,2,15,3,0
1055007950479973760,4,"14:00",1,0,15,3,0
1055007950479973760,4,"15:00",0,0,9,6,6
1055007950479973760,4,"16:00",2,0,10,1,5
1055007950479973760,4,"17:00",1,0,9,2,6
1055007950479973760,4,"18:00",5,0,12,1,3
1055007950479973760,4,"19:00",4,0,14,2,1
1055007950479973760,4,"20:00",3,0,10,7,5
1055007950479973760,4,"21:00",4,0,9,5,6
1055007950479973760,4,"22:00",1,0,8,2,7
1055007950479973760,4,"23:00",5,0,13,0,2
1055007950479973760,5,"0:00",0,0,10,3,5
1055007950479973760,5,"1:00",1,0,11,0,4
1055007950479973760,5,"2:00",3,0,14,0,1
1055007950479973760,5,"3:00",5,0,15,4,0
1055007950479973760,5,"4:00",1,0,11,5,4
1055007950479973760,5,"5:00",2,0,8,4,7
1055007950479973760,5,"6:00",3,0,9,2,6
1055007950479973760,5,"7:00",0,0,9,0,6
1055007950479973760,5,"8:00",3,0,9,3,6
1055007950479973760,5,"9:00",3,0,9,3,6
1055007950479973760,5,"10:00",2,0,6,5,9
1055007950479973760,5,"11:00",3,0,8,1,7
1055007950479973760,5,"12:00",2,0,9,1,6
1055007950479973760,5,"13:00",5,0,11,3,4
1055007950479973760,5,"14:00",1,0,10,2,5
1055007950479973760,5,"15:00",5,0,15,0,0
1055007950479973760,5,"16:00",1,0,14,2,1
1055007950479973760,5,"17:00",1,0,11,4,4
1055007950479973760,5,"18:00",0,0,9,2,6
1055007950479973760,5,"19:00",2,0,7,4,8
1055007950479973760,5,"20:00",1,0,8,0,7
1055007950479973760,5,"21:00",0,0,6,2,9
1055007950479973760,5,"22:00",1,0,7,0,8
1055007950479973760,5,"23:00",4,0,11,0,4
1055007950479973760,6,"0:00",2,0,13,0,2
1055007950479973760,6,"1:00",5,0,14,4,1
1055007950479973760,6,"2:00",2,0,12,4,3
1055007950479973760,6,"3:00",2,0,12,2,3
1055007950479973760,6,"4:00",5,0,14,3,1
1055007950479973760,6,"5:00",5,3,15,1,0
1055007950479973760,6,"6:00",1,1,15,3,0
1055007950479973760,6,"7:00",3,2,15,2,0
1055007950479973760,6,"8:00",0,0,15,2,0
1055007950479973760,6,"9:00",1,0,11,5,4
1055007950479973760,6,"10:00",3,0,13,1,2
1055007950479973760,6,"11:00",0,0,11,2,4
1055007950479973760,6,"12:00",4,0,11,3,4
1055007950479973760,6,"13:00",4,0,14,1,1
1055007950479973760,6,"14:00",1,0,12,3,3
1055007950479973760,6,"15:00",2,0,14,0,1
1055007950479973760,6,"16:00",3,0,9,7,6
1055007950479973760,6,"17:00",5,0,11,3,4
1055007950479973760,6,"18:00",3,0,10,4,5
1055007950479973760,6,"19:00",0,0,10,0,5
1055007950479973760,6,"20:00",3,0,9,4,6
1055007950479973760,6,"21:00",3,0,10,2,5
1055007950479973760,6,"22:00",1,0,10,1,5
1055007950479973760,6,"23:00",5,0,13,2,2
1055007950479973760,7,"0:00",2,0,14,1,1
1055007950479973760,7,"1:00",4,3,15,0,0
1055007950479973760,7,"2:00",5,5,15,3,0
1055007950479973760,7,"3:00",4,5,15,3,0
1055007950479973760,7,"4:00",3,2,15,6,0
1055007950479973760,7,"5:00",4,2,15,4,0
1055007950479973760,7,"6:00",2,4,15,0,0
1055007950479973760,7,"7:00",3,2,15,5,0
1055007950479973760,7,"8:00",4,3,15,3,0
1055007950479973760,7,"9:00",3,5,15,1,0
1055007950479973760,7,"10:00",4,4,15,5,0
1055007950479973760,7,"11:00",4,5,15,3,0
1055007950479973760,7,"12:00",5,6,15,4,0
1055007950479973760,7,"13:00",3,4,15,5,0
1055007950479973760,7,"14:00",1,1,15,4,0
1055007950479973760,7,"15:00",1,0,13,4,2
1055007950479973760,7,"16:00",4,0,12,5,3
1055007950479973760,7,"17:00",5,0,13,4,2
1055007950479973760,7,"18:00",2,0,13,2,2
1055007950479973760,7,"19:00",2,0,12,3,3
1055007950479973760,7,"20:00",1,0,11,2,4
1055007950479973760,7,"21:00",1,0,12,0,3
1055007950479973760,7,"22:00",4,0,14,2,1
1055007950479973760,7,"23:00",4,0,13,5,2
1055007950479973760,8,"0:00",1,0,13,1,2
1055007950479973760,8,"1:00",3,0,14,2,1
1055007950479973760,8,"2:00",1,0,12,3,3
1055007950479973760,8,"3:00",4,0,11,4,4
1055007950479973760,8,"4:00",3,0,13,1,2
1055007950479973760,8,"5:00",5,0,14,4,1
1055007950479973760,8,"6:00",4,1,15,2,0
1055007950479973760,8,"7:00",3,3,15,1,0
1055007950479973760,8,"8:00",2,2,15,3,0
1055007950479973760,8,"9:00",0,0,15,2,0
1055007950479973760,8,"10:00",5,0,14,5,1
1055007950479973760,8,"11:00",4,2,15,1,0
1055007950479973760,8,"12:00",4,3,15,3,0
1055007950479973760,8,"13:00",1,0,14,5,1
1055007950479973760,8,"14:00",1,0,14,1,1
1055007950479973760,8,"15:00",1,0,11,4,4
1055007950479973760,8,"16:00",2,0,10,3,5
1055007950479973760,8,"17:00",4,0,12,2,3
1055007950479973760,8,"18:00",0,0,11,1,4
1055007950479973760,8,"19:00",2,0,12,1,3
1055007950479973760,8,"20:00",3,0,10,4,5
1055007950479973760,8,"21:00",0,0,9,1,6
1055007950479973760,8,"22:00",3,0,10,2,5
1055007950479973760,8,"23:00",0,0,8,2,7
1055007950479973760,9,"0:00",4,0,9,3,6
1055007950479973760,9,"1:00",2,0,7,4,8
1055007950479973760,9,"2:00",4,0,8,3,7
1055007950479973760,9,"3:00",0,0,7,1,8
1055007950479973760,9,"4:00",1,0,8,0,7
1055007950479973760,9,"5:00",1,0,6,3,9
1055007950479973760,9,"6:00",1,0,7,0,8
1055007950479973760,9,"7:00",1,0,6,2,9
1055007950479973760,9,"8:00",1,0,7,0,8
1055007950479973760,9,"9:00",0,0,5,2,10
1055007950479973760,9,"10:00",1,0,4,2,11
1055007950479973760,9,"11:00",5,0,8,1,7
1055007950479973760,9,"12:00",4,0,10,2,5
1055007950479973760,9,"13:00",3,0,13,0,2
1055007950479973760,9,"14:00",2,0,12,3,3
1055007950479973760,9,"15:00",2,0,13,1,2
1055007950479973760,9,"16:00",2,0,15,0,0
1055007950479973760,9,"17:00",2,0,15,2,0
1055007950479973760,9,"18:00",0,0,15,0,0
1055007950479973760,9,"19:00",4,2,15,2,0
1055007950479973760,9,"20:00",1,2,15,1,0
1055007950479973760,9,"21:00",2,2,15,2,0
1055007950479973760,9,"22:00",0,1,15,1,0
1055007950479973760,9,"23:00",0,0,12,4,3
1055007950479973760,10,"0:00",5,1,15,1,0
1055007950479973760,10,"1:00",2,1,15,2,0
1055007950479973760,10,"2:00",3,4,15,0,0
1055007950479973760,10,"3:00",5,8,15,1,0
1055007950479973760,10,"4:00",1,5,15,4,0
1055007950479973760,10,"5:00",4,4,15,5,0
1055007950479973760,10,"6:00",5,8,15,1,0
1055007950479973760,10,"7:00",3,9,15,2,0
1055007950479973760,10,"8:00",2,10,15,1,0
1055007950479973760,10,"9:00",3,10,15,2,0
1055007950479973760,10,"10:00",5,13,15,2,0
1055007950479973760,10,"11:00",0,11,15,2,0
1055007950479973760,10,"12:00",0,8,15,3,0
1055007950479973760,10,"13:00",4,8,15,4,0
1055007950479973760,10,"14:00",2,3,15,7,0
1055007950479973760,10,"15:00",3,3,15,3,0
1055007950479973760,10,"16:00",4,4,15,3,0
1055007950479973760,10,"17:00",4,7,15,1,0
1055007950479973760,10,"18:00",5,9,15,3,0
1055007950479973760,10,"19:00",2,10,15,1,0
1055007950479973760,10,"20:00",5,14,15,1,0
1055007950479973760,10,"21:00",1,13,15,2,0
1055007950479973760,10,"22:00",4,16,15,1,0
1055007950479973760,10,"23:00",3,17,15,2,0
1055007950479973760,11,"0:00",3,15,15,5,0
1055007950479973760,11,"1:00",1,11,15,5,0
1055007950479973760,11,"2:00",4,11,15,4,0
1055007950479973760,11,"3:00",0,4,15,7,0
1055007950479973760,11,"4:00",2,4,15,2,0
1055007950479973760,11,"5:00",5,5,15,4,0
1055007950479973760,11,"6:00",2,4,15,3,0
1055007950479973760,11,"7:00",1,2,15,3,0
1055007950479973760,11,"8:00",2,0,15,4,0
1055007950479973760,11,"9:00",5,3,15,2,0
1055007950479973760,11,"10:00",4,5,15,2,0
1055007950479973760,11,"11:00",1,5,15,1,0
1055007950479973760,11,"12:00",3,5,15,3,0
1055007950479973760,11,"13:00",4,4,15,5,0
1055007950479973760,11,"14:00",1,4,15,1,0
1055007950479973760,11,"15:00",5,6,15,3,0
1055007950479973760,11,"16:00",1,6,15,1,0
1055007950479973760,11,"17:00",5,10,15,0,0
1055007950479973760,11,"18:00",2,10,15,2,0
1055007950479973760,11,"19:00",5,15,15,0,0
1055007950479973760,11,"20:00",1,14,15,2,0
1055007950479973760,11,"21:00",1,12,15,3,0
1055007950479973760,11,"22:00",0,7,15,5,0
1055007950479973760,11,"23:00",3,4,15,6,0
1055007950479973760,12,"0:00",2,3,15,3,0
1055007950479973760,12,"1:00",0,0,15,3,0
1055007950479973760,12,"2:00",2,0,14,3,1
1055007950479973760,12,"3:00",3,2,15,0,0
1055007950479973760,12,"4:00",0,0,15,2,0
1055007950479973760,12,"5:00",3,0,14,4,1
1055007950479973760,12,"6:00",5,2,15,2,0
1055007950479973760,12,"7:00",4,4,15,2,0
1055007950479973760,12,"8:00",5,4,15,5,0
1055007950479973760,12,"9:00",4,6,15,1,0
1055007950479973760,12,"10:00",1,5,15,2,0
1055007950479973760,12,"11:00",4,5,15,4,0
1055007950479973760,12,"12:00",5,7,15,2,0
1055007950479973760,12,"13:00",4,5,15,6,0
1055007950479973760,12,"14:00",1,3,15,3,0
1055007950479973760,12,"15:00",3,2,15,4,0
1055007950479973760,12,"16:00",1,0,11,7,4
1055007950479973760,12,"17:00",3,0,12,2,3
1055007950479973760,12,"18:00",5,0,14,3,1
1055007950479973760,12,"19:00",1,0,10,5,5
1055007950479973760,12,"20:00",3,0,9,4,6
1055007950479973760,12,"21:00",0,0,9,0,6
1055007950479973760,12,"22:00",5,0,12,2,3
1055007950479973760,12,"23:00",0,0,11,1,4
1055007950479973760,13,"0:00",5,1,15,0,0
1055007950479973760,13,"1:00",2,0,13,5,2
1055007950479973760,13,"2:00",0,0,11,2,4
1055007950479973760,13,"3:00",0,0,10,1,5
1055007950479973760,13,"4:00",3,0,12,1,3
1055007950479973760,13,"5:00",3,0,12,3,3
1055007950479973760,13,"6:00",4,0,12,4,3
1055007950479973760,13,"7:00",0,0,10,2,5
1055007950479973760,13,"8:00",3,0,8,5,7
1055007950479973760,13,"9:00",2,0,9,1,6
1055007950479973760,13,"10:00",2,0,9,2,6
1055007950479973760,13,"11:00",4,0,10,3,5
1055007950479973760,13,"12:00",5,0,14,1,1
1055007950479973760,13,"13:00",3,0,14,3,1
1055007950479973760,13,"14:00",4,1,15,1,0
1055007950479973760,13,"15:00",1,0,13,4,2
1055007950479973760,13,"16:00",3,0,14,2,1
1055007950479973760,13,"17:00",3,0,15,2,0
1055007950479973760,13,"18:00",2,0,15,2,0
1055007950479973760,13,"19:00",5,2,15,2,0
1055007950479973760,13,"20:00",1,0,13,5,2
1055007950479973760,13,"21:00",2,0,11,4,4
1055007950479973760,13,"22:00",3,0,12,2,3
1055007950479973760,13,"23:00",1,0,10,3,5
1055007950479973760,14,"0:00",4,0,13,1,2
1055007950479973760,14,"1:00",0,0,11,2,4
1055007950479973760,14,"2:00",4,0,12,3,3
1055007950479973760,14,"3:00",4,0,11,5,4
1055007950479973760,14,"4:00",5,0,14,2,1
1055007950479973760,14,"5:00",4,1,15,2,0
1055007950479973760,14,"6:00",3,2,15,2,0
1055007950479973760,14,"7:00",3,1,15,4,0
1055007950479973760,14,"8:00",5,2,15,4,0
1055007950479973760,14,"9:00",0,1,15,1,0
1055007950479973760,14,"10:00",1,0,15,2,0
1055007950479973760,14,"11:00",0,0,9,6,6
1055007950479973760,14,"12:00",4,0,10,1,5
1055007950479973760,14,"13:00",5,0,11,3,4
1055007950479973760,14,"14:00",2,0,11,2,4
1055007950479973760,14,"15:00",5,0,12,4,3
1055007950479973760,14,"16:00",2,0,12,2,3
1055007950479973760,14,"17:00",2,0,12,2,3
1055007950479973760,14,"18:00",5,0,13,4,2
1055007950479973760,14,"19:00",1,0,11,3,4
1055007950479973760,14,"20:00",1,0,9,3,6
1055007950479973760,14,"21:00",3,0,11,1,4
1055007950479973760,14,"22:00",3,0,10,4,5
1055007950479973760,14,"23:00",5,0,12,3,3
1055007950479973760,15,"0:00",3,0,13,2,2
1055007950479973760,15,"1:00",2,0,11,4,4
1055007950479973760,15,"2:00",3,0,13,1,2
1055007950479973760,15,"3:00",2,0,12,3,3
1055007950479973760,15,"4:00",1,0,13,0,2
1055007950479973760,15,"5:00",5,1,15,2,0
1055007950479973760,15,"6:00",3,1,15,3,0
1055007950479973760,15,"7:00",4,4,15,1,0
1055007950479973760,15,"8:00",4,6,15,2,0
1055007950479973760,15,"9:00",5,6,15,5,0
1055007950479973760,15,"10:00",5,8,15,3,0
1055007950479973760,15,"11:00",0,5,15,3,0
1055007950479973760,15,"12:00",1,5,15,1,0
1055007950479973760,15,"13:00",4,6,15,3,0
1055007950479973760,15,"14:00",3,5,15,4,0
1055007950479973760,15,"15:00",5,3,15,7,0
1055007950479973760,15,"16:00",4,4,15,3,0
1055007950479973760,15,"17:00",1,0,14,6,1
1055007950479973760,15,"18:00",3,0,14,3,1
1055007950479973760,15,"19:00",3,0,15,2,0
1055007950479973760,15,"20:00",4,2,15,2,0
1055007950479973760,15,"21:00",3,4,15,1,0
1055007950479973760,15,"22:00",5,5,15,4,0
1055007950479973760,15,"23:00",1,3,15,3,0
109591918835746368,1,"0:00",1,0,1,0,14
109591918835746368,1,"1:00",3,0,3,1,12
109591918835746368,1,"2:00",1,0,3,1,12
109591918835746368,1,"3:00",4,0,7,0,8
109591918835746368,1,"4:00",0,0,5,2,10
109591918835746368,1,"5:00",5,0,9,1,6
109591918835746368,1,"6:00",5,0,11,3,4
109591918835746368,1,"7:00",1,0,9,3,6
109591918835746368,1,"8:00",3,0,11,1,4
109591918835746368,1,"9:00",5,0,13,3,2
109591918835746368,1,"10:00",1,0,12,2,3
109591918835746368,1,"11:00",3,0,11,4,4
109591918835746368,1,"12:00",4,0,13,1,2
109591918835746368,1,"13:00",2,0,10,5,5
109591918835746368,1,"14:00",5,0,11,4,4
109591918835746368,1,"15:00",3,0,14,0,1
109591918835746368,1,"16:00",2,0,14,2,1
109591918835746368,1,"17:00",5,0,14,4,1
109591918835746368,1,"18:00",3,0,13,4,2
109591918835746368,1,"19:00",5,0,13,5,2
109591918835746368,1,"20:00",0,0,6,7,9
109591918835746368,1,"21:00",1,0,7,0,8
109591918835746368,1,"22:00",1,0,6,2,9
109591918835746368,1,"23:00",3,0,7,2,8
109591918835746368,2,"0:00",2,0,8,1,7
109591918835746368,2,"1:00",4,0,9,2,6
109591918835746368,2,"2:00",4,0,8,5,7
109591918835746368,2,"3:00",1,0,8,1,7
109591918835746368,2,"4:00",4,0,9,3,6
109591918835746368,2,"5:00",2,0,9,2,6
109591918835746368,2,"6:00",4,0,11,2,4
109591918835746368,2,"7:00",5,1,15,0,0
109591918835746368,2,"8:00",0,0,14,2,1
109591918835746368,2,"9:00",2,0,11,5,4
109591918835746368,2,"10:00",4,0,10,5,5
109591918835746368,2,"11:00",1,0,9,2,6
109591918835746368,2,"12:00",2,0,10,1,5
109591918835746368,2,"13:00",1,0,11,0,4
109591918835746368,2,"14:00",5,0,15,1,0
109591918835746368,2,"15:00",3,2,15,1,0
109591918835746368,2,"16:00",0,0,13,4,2
109591918835746368,2,"17:00",3,0,12,4,3
109591918835746368,2,"18:00",1,0,11,2,4
109591918835746368,2,"19:00",3,0,11,3,4
109591918835746368,2,"20:00",1,0,11,1,4
109591918835746368,2,"21:00",4,0,9,6,6
109591918835746368,2,"22:00",2,0,10,1,5
109591918835746368,2,"23:00",1,0,9,2,6
109591918835746368,3,"0:00",2,0,10,1,5
109591918835746368,3,"1:00",3,0,11,2,4
109591918835746368,3,"2:00",4,0,11,4,4
109591918835746368,3,"3:00",1,0,12,0,3
109591918835746368,3,"4:00",0,0,10,2,5
109591918835746368,3,"5:00",5,0,13,2,2
109591918835746368,3,"6:00",3,0,14,2,1
109591918835746368,3,"7:00",5,2,15,2,0
109591918835746368,3,"8:00",0,0,15,2,0
109591918835746368,3,"9:00",5,1,15,3,0
109591918835746368,3,"10:00",4,0,15,5,0
109591918835746368,3,"11:00",0,0,13,2,2
109591918835746368,3,"12:00",4,0,13,2,2
109591918835746368,3,"13:00",3,0,14,2,1
109591918835746368,3,"14:00",1,0,13,2,2
109591918835746368,3,"15:00",1,0,10,4,5
109591918835746368,3,"16:00",4,0,10,4,5
109591918835746368,3,"17:00",0,0,6,4,9
109591918835746368,3,"18:00",0,0,5,1,10
109591918835746368,3,"19:00",5,0,9,0,6
109591918835746368,3,"20:00",0,0,8,1,7
109591918835746368,3,"21:00",5,0,11,2,4
109591918835746368,3,"22:00",1,0,11,1,4
109591918835746368,3,"23:00",2,0,11,2,4
109591918835746368,4,"0:00",1,0,12,0,3
109591918835746368,4,"1:00",3,0,12,3,3
109591918835746368,4,"2:00",3,0,12,2,3
109591918835746368,4,"3:00",1,0,11,2,4
109591918835746368,4,"4:00",1,0,11,1,4
109591918835746368,4,"5:00",2,0,11,2,4
109591918835746368,4,"6:00",0,0,9,2,6
109591918835746368,4,"7:00",5,0,11,3,4
109591918835746368,4,"8:00",0,0,11,0,4
109591918835746368,4,"9:00",1,0,10,2,5
109591918835746368,4,"10:00",0,0,7,3,8
109591918835746368,4,"11:00",3,0,10,0,5
109591918835746368,4,"12:00",1,0,9,2,6
109591918835746368,4,"13:00",1,0,8,2,7
109591918835746368,4,"14:00",4,0,9,3,6
109591918835746368,4,"15:00",5,0,14,0,1
109591918835746368,4,"16:00",4,2,15,1,0
109591918835746368,4,"17:00",0,0,13,4,2
109591918835746368,4,"18:00",0,0,9,4,6
109591918835746368,4,"19:00",1,0,4,6,11
109591918835746368,4,"20:00",3,0,7,0,8
109591918835746368,4,"21:00",3,0,8,2,7
109591918835746368,4,"22:00",3,0,10,1,5
109591918835746368,4,"23:00",5,0,12,3,3
109591918835746368,5,"0:00",0,0,10,2,5
109591918835746368,5,"1:00",5,0,13,2,2
109591918835746368,5,"2:00",1,0,13,1,2
109591918835746368,5,"3:00",4,1,15,0,0
109591918835746368,5,"4:00",3,1,15,3,0
109591918835746368,5,"5:00",1,0,14,3,1
109591918835746368,5,"6:00",4,0,15,3,0
109591918835746368,5,"7:00",1,0,12,4,3
109591918835746368,5,"8:00",4,0,13,3,2
109591918835746368,5,"9:00",5,2,15,1,0
109591918835746368,5,"10:00",1,1,15,2,0
109591918835746368,5,"11:00",5,5,15,0,0
109591918835746368,5,"12:00",0,2,15,3,0
109591918835746368,5,"13:00",3,3,15,2,0
109591918835746368,5,"14:00",4,1,15,6,0
109591918835746368,5,"15:00",5,2,15,4,0
109591918835746368,5,"16:00",0,0,15,2,0
109591918835746368,5,"17:00",2,0,11,6,4
109591918835746368,5,"18:00",1,0,10,2,5
109591918835746368,5,"19:00",0,0,9,1,6
109591918835746368,5,"20:00",0,0,6,3,9
109591918835746368,5,"21:00",5,0,10,0,5
109591918835746368,5,"22:00",5,0,14,1,1
109591918835746368,5,"23:00",0,0,11,3,4
109591918835746368,6,"0:00",5,0,14,2,1
109591918835746368,6,"1:00",2,0,15,1,0
109591918835746368,6,"2:00",5,3,15,1,0
109591918835746368,6,"3:00",1,4,15,0,0
109591918835746368,6,"4:00",0,0,12,7,3
109591918835746368,6,"5:00",1,0,11,2,4
109591918835746368,6,"6:00",4,0,14,1,1
109591918835746368,6,"7:00",2,1,15,0,0
109591918835746368,6,"8:00",5,1,15,4,0
109591918835746368,6,"9:00",0,0,14,2,1
109591918835746368,6,"10:00",3,0,13,4,2
109591918835746368,6,"11:00",2,0,12,3,3
109591918835746368,6,"12:00",1,0,12,1,3
109591918835746368,6,"13:00",2,0,13,1,2
109591918835746368,6,"14:00",0,0,10,3,5
109591918835746368,6,"15:00",1,0,10,1,5
109591918835746368,6,"16:00",4,0,10,4,5
109591918835746368,6,"17:00",4,0,13,1,2
109591918835746368,6,"18:00",2,0,14,1,1
109591918835746368,6,"19:00",1,0,12,3,3
109591918835746368,6,"20:00",4,0,13,3,2
109591918835746368,6,"21:00",4,0,13,4,2
109591918835746368,6,"22:00",0,0,11,2,4
109591918835746368,6,"23:00",0,0,7,4,8
109591918835746368,7,"0:00",2,0,7,2,8
109591918835746368,7,"1:00",2,0,9,0,6
109591918835746368,7,"2:00",5,0,12,1,3
109591918835746368,7,"3:00",1,0,12,1,3
109591918835746368,7,"4:00",5,0,14,2,1
109591918835746368,7,"5:00",3,0,15,2,0
109591918835746368,7,"6:00",3,2,15,0,0
109591918835746368,7,"7:00",0,2,15,0,0
109591918835746368,7,"8:00",5,4,15,2,0
109591918835746368,7,"9:00",2,1,15,5,0
109591918835746368,7,"10:00",0,0,12,4,3
109591918835746368,7,"11:00",3,0,12,3,3
109591918835746368,7,"12:00",5,2,15,0,0
109591918835746368,7,"13:00",1,0,15,3,0
109591918835746368,7,"14:00",1,0,11,5,4
109591918835746368,7,"15:00",2,0,11,2,4
109591918835746368,7,"16:00",1,0,11,1,4
109591918835746368,7,"17:00",0,0,10,1,5
109591918835746368,7,"18:00",5,0,12,2,3
109591918835746368,7,"19:00",5,0,14,3,1
109591918835746368,7,"20:00",4,1,15,1,0
109591918835746368,7,"21:00",5,0,15,6,0
109591918835746368,7,"22:00",0,0,12,3,3
109591918835746368,7,"23:00",4,0,14,2,1
109591918835746368,8,"0:00",1,0,11,4,4
109591918835746368,8,"1:00",4,0,12,2,3
109591918835746368,8,"2:00",4,0,12,4,3
109591918835746368,8,"3:00",2,0,11,3,4
109591918835746368,8,"4:00",2,0,12,1,3
109591918835746368,8,"5:00",4,0,15,1,0
109591918835746368,8,"6:00",4,2,15,2,0
109591918835746368,8,"7:00",2,2,15,2,0
109591918835746368,8,"8:00",5,6,15,1,0
109591918835746368,8,"9:00",5,9,15,2,0
109591918835746368,8,"10:00",3,10,15,2,0
