"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
1060793120361778432,1,"0:00",0,0,0,0,15
1060793120361778432,1,"1:00",4,0,3,1,12
1060793120361778432,1,"2:00",5,0,6,2,9
1060793120361778432,1,"3:00",4,0,9,1,6
1060793120361778432,1,"4:00",4,0,11,2,4
1060793120361778432,1,"5:00",4,0,14,1,1
1060793120361778432,1,"6:00",1,0,12,3,3
1060793120361778432,1,"7:00",4,0,15,1,0
1060793120361778432,1,"8:00",5,4,15,1,0
1060793120361778432,1,"9:00",3,4,15,3,0
1060793120361778432,1,"10:00",1,2,15,3,0
1060793120361778432,1,"11:00",3,2,15,3,0
1060793120361778432,1,"12:00",3,3,15,2,0
1060793120361778432,1,"13:00",1,2,15,2,0
1060793120361778432,1,"14:00",0,1,15,1,0
1060793120361778432,1,"15:00",4,1,15,4,0
1060793120361778432,1,"16:00",1,1,15,1,0
1060793120361778432,1,"17:00",1,2,15,0,0
1060793120361778432,1,"18:00",5,6,15,0,0
1060793120361778432,1,"19:00",2,6,15,2,0
1060793120361778432,1,"20:00",2,5,15,3,0
1060793120361778432,1,"21:00",5,7,15,3,0
1060793120361778432,1,"22:00",4,8,15,3,0
1060793120361778432,1,"23:00",2,6,15,4,0
1060793120361778432,2,"0:00",4,6,15,4,0
1060793120361778432,2,"1:00",0,3,15,3,0
1060793120361778432,2,"2:00",1,0,15,4,0
1060793120361778432,2,"3:00",1,0,11,5,4
1060793120361778432,2,"4:00",5,0,10,5,5
1060793120361778432,2,"5:00",4,0,9,4,6
1060793120361778432,2,"6:00",2,0,6,5,9
1060793120361778432,2,"7:00",3,0,7,1,8
1060793120361778432,2,"8:00",4,0,10,1,5
1060793120361778432,2,"9:00",5,0,13,1,2
1060793120361778432,2,"10:00",1,0,12,2,3
1060793120361778432,2,"11:00",3,0,11,4,4
1060793120361778432,2,"12:00",0,0,9,2,6
1060793120361778432,2,"13:00",2,0,9,2,6
1060793120361778432,2,"14:00",4,0,10,2,5
1060793120361778432,2,"15:00",1,0,9,2,6
1060793120361778432,2,"16:00",3,0,8,4,7
1060793120361778432,2,"17:00",1,0,8,1,7
1060793120361778432,2,"18:00",2,0,9,1,6
1060793120361778432,2,"19:00",0,0,6,3,9
1060793120361778432,2,"20:00",0,0,5,1,10
1060793120361778432,2,"21:00",5,0,9,0,6
1060793120361778432,2,"22:00",0,0,9,0,6
1060793120361778432,2,"23:00",4,0,12,1,3
1060793120361778432,3,"0:00",3,0,13,1,2
1060793120361778432,3,"1:00",2,0,15,0,0
1060793120361778432,3,"2:00",1,0,11,5,4
1060793120361778432,3,"3:00",2,0,11,2,4
1060793120361778432,3,"4:00",0,0,10,1,5
1060793120361778432,3,"5:00",0,0,10,0,5
1060793120361778432,3,"6:00",3,0,10,3,5
1060793120361778432,3,"7:00",1,0,9,2,6
1060793120361778432,3,"8:00",4,0,11,2,4
1060793120361778432,3,"9:00",4,0,12,3,3
1060793120361778432,3,"10:00",2,0,9,5,6
1060793120361778432,3,"11:00",1,0,7,3,8
1060793120361778432,3,"12:00",4,0,9,2,6
1060793120361778432,3,"13:00",3,0,8,3,7
1060793120361778432,3,"14:00",2,0,7,3,8
1060793120361778432,3,"15:00",0,0,5,2,10
1060793120361778432,3,"16:00",3,0,8,0,7
1060793120361778432,3,"17:00",2,0,8,2,7
1060793120361778432,3,"18:00",4,0,12,0,3
1060793120361778432,3,"19:00",1,0,11,2,4
1060793120361778432,3,"20:00",1,0,11,1,4
1060793120361778432,3,"21:00",5,1,15,0,0
1060793120361778432,3,"22:00",0,0,15,1,0
1060793120361778432,3,"23:00",3,0,15,3,0
1060793120361778432,4,"0:00",1,0,15,1,0
1060793120361778432,4,"1:00",1,0,15,1,0
1060793120361778432,4,"2:00",3,1,15,2,0
1060793120361778432,4,"3:00",0,0,15,1,0
1060793120361778432,4,"4:00",2,1,15,1,0
1060793120361778432,4,"5:00",4,4,15,1,0
1060793120361778432,4,"6:00",3,6,15,1,0
1060793120361778432,4,"7:00",4,9,15,1,0
1060793120361778432,4,"8:00",4,10,15,3,0
1060793120361778432,4,"9:00",1,7,15,4,0
1060793120361778432,4,"10:00",1,5,15,3,0
1060793120361778432,4,"11:00",3,6,15,2,0
1060793120361778432,4,"12:00",4,7,15,3,0
1060793120361778432,4,"13:00",4,9,15,2,0
1060793120361778432,4,"14:00",1,8,15,2,0
1060793120361778432,4,"15:00",1,9,15,0,0
1060793120361778432,4,"16:00",2,9,15,2,0
1060793120361778432,4,"17:00",2,11,15,0,0
1060793120361778432,4,"18:00",0,10,15,1,0
1060793120361778432,4,"19:00",2,9,15,3,0
1060793120361778432,4,"20:00",2,5,15,6,0
1060793120361778432,4,"21:00",0,4,15,1,0
1060793120361778432,4,"22:00",1,4,15,1,0
1060793120361778432,4,"23:00",5,4,15,5,0
1060793120361778432,5,"0:00",5,1,15,8,0
1060793120361778432,5,"1:00",5,3,15,3,0
1060793120361778432,5,"2:00",3,1,15,5,0
1060793120361778432,5,"3:00",1,0,13,4,2
1060793120361778432,5,"4:00",5,1,15,2,0
1060793120361778432,5,"5:00",1,0,13,4,2
1060793120361778432,5,"6:00",2,0,12,3,3
1060793120361778432,5,"7:00",2,0,10,4,5
1060793120361778432,5,"8:00",4,0,11,3,4
1060793120361778432,5,"9:00",4,0,12,3,3
1060793120361778432,5,"10:00",4,0,12,3,3
1060793120361778432,5,"11:00",2,0,11,3,4
1060793120361778432,5,"12:00",2,0,13,0,2
1060793120361778432,5,"13:00",1,0,13,1,2
1060793120361778432,5,"14:00",1,0,10,4,5
1060793120361778432,5,"15:00",4,0,12,1,3
1060793120361778432,5,"16:00",0,0,11,1,4
1060793120361778432,5,"17:00",1,0,7,5,8
1060793120361778432,5,"18:00",2,0,8,1,7
1060793120361778432,5,"19:00",1,0,8,1,7
1060793120361778432,5,"20:00",1,0,5,4,10
1060793120361778432,5,"21:00",3,0,7,1,8
1060793120361778432,5,"22:00",5,0,12,0,3
1060793120361778432,5,"23:00",3,0,9,6,6
1060793120361778432,6,"0:00",5,0,8,5,7
1060793120361778432,6,"1:00",0,0,8,0,7
1060793120361778432,6,"2:00",4,0,12,0,3
1060793120361778432,6,"3:00",5,1,15,1,0
1060793120361778432,6,"4:00",2,3,15,0,0
1060793120361778432,6,"5:00",3,4,15,2,0
1060793120361778432,6,"6:00",2,5,15,1,0
1060793120361778432,6,"7:00",1,2,15,4,0
1060793120361778432,6,"8:00",2,3,15,1,0
1060793120361778432,6,"9:00",1,0,15,4,0
1060793120361778432,6,"10:00",2,0,12,5,3
1060793120361778432,6,"11:00",0,0,7,5,8
1060793120361778432,6,"12:00",5,0,12,0,3
1060793120361778432,6,"13:00",4,0,14,1,1
1060793120361778432,6,"14:00",1,0,14,1,1
1060793120361778432,6,"15:00",5,0,14,4,1
1060793120361778432,6,"16:00",0,0,11,3,4
1060793120361778432,6,"17:00",4,0,15,0,0
1060793120361778432,6,"18:00",4,0,14,5,1
1060793120361778432,6,"19:00",0,0,12,2,3
1060793120361778432,6,"20:00",1,0,13,0,2
1060793120361778432,6,"21:00",1,0,12,2,3
1060793120361778432,6,"22:00",4,0,13,3,2
1060793120361778432,6,"23:00",4,0,13,4,2
1060793120361778432,7,"0:00",2,0,13,2,2
1060793120361778432,7,"1:00",5,0,14,3,1
1060793120361778432,7,"2:00",3,0,14,2,1
1060793120361778432,7,"3:00",1,0,13,2,2
1060793120361778432,7,"4:00",4,0,12,4,3
1060793120361778432,7,"5:00",0,0,10,2,5
1060793120361778432,7,"6:00",1,0,10,1,5
1060793120361778432,7,"7:00",0,0,9,1,6
1060793120361778432,7,"8:00",5,0,12,1,3
1060793120361778432,7,"9:00",5,0,15,2,0
1060793120361778432,7,"10:00",5,4,15,1,0
1060793120361778432,7,"11:00",1,3,15,2,0
1060793120361778432,7,"12:00",4,5,15,2,0
1060793120361778432,7,"13:00",0,3,15,2,0
1060793120361778432,7,"14:00",0,0,15,3,0
1060793120361778432,7,"15:00",1,0,13,3,2
1060793120361778432,7,"16:00",4,0,13,4,2
1060793120361778432,7,"17:00",4,1,15,1,0
1060793120361778432,7,"18:00",0,0,13,3,2
1060793120361778432,7,"19:00",1,0,9,5,6
1060793120361778432,7,"20:00",5,0,10,4,5
1060793120361778432,7,"21:00",2,0,11,1,4
1060793120361778432,7,"22:00",5,0,15,0,0
1060793120361778432,7,"23:00",0,0,11,4,4
1060793120361778432,8,"0:00",0,0,8,3,7
1060793120361778432,8,"1:00",1,0,8,1,7
1060793120361778432,8,"2:00",4,0,9,3,6
1060793120361778432,8,"3:00",3,0,9,3,6
1060793120361778432,8,"4:00",2,0,9,1,6
1060793120361778432,8,"5:00",1,0,8,2,7
1060793120361778432,8,"6:00",0,0,7,1,8
1060793120361778432,8,"7:00",2,0,7,2,8
1060793120361778432,8,"8:00",0,0,6,1,9
1060793120361778432,8,"9:00",0,0,6,0,9
1060793120361778432,8,"10:00",4,0,8,2,7
1060793120361778432,8,"11:00",5,0,13,0,2
1060793120361778432,8,"12:00",5,0,12,6,3
1060793120361778432,8,"13:00",5,0,14,3,1
1060793120361778432,8,"14:00",3,0,15,2,0
1060793120361778432,8,"15:00",0,0,9,6,6
1060793120361778432,8,"16:00",3,0,12,0,3
1060793120361778432,8,"17:00",3,0,15,0,0
1060793120361778432,8,"18:00",1,0,13,3,2
1060793120361778432,8,"19:00",1,0,11,3,4
1060793120361778432,8,"20:00",5,0,15,1,0
1060793120361778432,8,"21:00",4,1,15,3,0
1060793120361778432,8,"22:00",1,0,14,3,1
1060793120361778432,8,"23:00",5,2,15,2,0
1060793120361778432,9,"0:00",3,3,15,2,0
1060793120361778432,9,"1:00",0,2,15,1,0
1060793120361778432,9,"2:00",4,5,15,1,0
1060793120361778432,9,"3:00",2,5,15,2,0
1060793120361778432,9,"4:00",5,7,15,2,0
1060793120361778432,9,"5:00",3,10,15,0,0
1060793120361778432,9,"6:00",1,9,15,2,0
1060793120361778432,9,"7:00",2,10,15,1,0
1060793120361778432,9,"8:00",5,13,15,2,0
1060793120361778432,9,"9:00",5,12,15,6,0
1060793120361778432,9,"10:00",0,11,15,1,0
1060793120361778432,9,"11:00",5,12,15,4,0
1060793120361778432,9,"12:00",5,14,15,3,0
1060793120361778432,9,"13:00",2,16,15,0,0
1060793120361778432,9,"14:00",3,17,15,2,0
1060793120361778432,9,"15:00",2,16,15,3,0
1060793120361778432,9,"16:00",4,16,15,3,0
1060793120361778432,9,"17:00",3,17,15,2,0
1060793120361778432,9,"18:00",4,15,15,6,0
1060793120361778432,9,"19:00",2,12,15,5,0
1060793120361778432,9,"20:00",0,8,15,4,0
1060793120361778432,9,"21:00",0,5,15,3,0
1060793120361778432,9,"22:00",3,3,15,5,0
1060793120361778432,9,"23:00",4,4,15,3,0
1060793120361778432,10,"0:00",1,5,15,0,0
1060793120361778432,10,"1:00",3,3,15,5,0
1060793120361778432,10,"2:00",0,0,13,5,2
1060793120361778432,10,"3:00",5,0,14,4,1
1060793120361778432,10,"4:00",0,0,11,3,4
1060793120361778432,10,"5:00",2,0,11,2,4
1060793120361778432,10,"6:00",3,0,13,1,2
1060793120361778432,10,"7:00",2,0,11,4,4
1060793120361778432,10,"8:00",5,0,15,1,0
1060793120361778432,10,"9:00",0,0,14,1,1
1060793120361778432,10,"10:00",3,0,13,4,2
1060793120361778432,10,"11:00",5,0,14,3,1
1060793120361778432,10,"12:00",3,0,15,2,0
1060793120361778432,10,"13:00",2,0,13,4,2
1060793120361778432,10,"14:00",1,0,14,0,1
1060793120361778432,10,"15:00",3,1,15,1,0
1060793120361778432,10,"16:00",1,0,13,4,2
1060793120361778432,10,"17:00",4,0,15,2,0
1060793120361778432,10,"18:00",5,0,14,6,1
1060793120361778432,10,"19:00",3,0,13,4,2
1060793120361778432,10,"20:00",0,0,11,2,4
1060793120361778432,10,"21:00",0,0,9,2,6
1060793120361778432,10,"22:00",4,0,11,1,4
1060793120361778432,10,"23:00",5,0,15,1,0
1060793120361778432,11,"0:00",1,0,12,4,3
1060793120361778432,11,"1:00",1,0,8,5,7
1060793120361778432,11,"2:00",4,0,10,2,5
1060793120361778432,11,"3:00",3,0,11,2,4
1060793120361778432,11,"4:00",4,0,11,4,4
1060793120361778432,11,"5:00",3,0,12,2,3
1060793120361778432,11,"6:00",1,0,7,6,8
1060793120361778432,11,"7:00",4,0,8,3,7
1060793120361778432,11,"8:00",5,0,10,2,5
1060793120361778432,11,"9:00",1,0,10,1,5
1060793120361778432,11,"10:00",3,0,11,2,4
1060793120361778432,11,"11:00",3,0,11,3,4
1060793120361778432,11,"12:00",0,0,9,2,6
1060793120361778432,11,"13:00",0,0,8,1,7
1060793120361778432,11,"14:00",0,0,7,1,8
1060793120361778432,11,"15:00",1,0,6,2,9
1060793120361778432,11,"16:00",1,0,6,1,9
1060793120361778432,11,"17:00",2,0,7,1,8
1060793120361778432,11,"18:00",0,0,7,0,8
1060793120361778432,11,"19:00",1,0,8,0,7
1060793120361778432,11,"20:00",0,0,6,2,9
1060793120361778432,11,"21:00",2,0,6,2,9
1060793120361778432,11,"22:00",4,0,8,2,7
1060793120361778432,11,"23:00",2,0,9,1,6
1060793120361778432,12,"0:00",0,0,6,3,9
1060793120361778432,12,"1:00",5,0,6,4,9
1060793120361778432,12,"2:00",5,0,11,0,4
1060793120361778432,12,"3:00",3,0,11,3,4
1060793120361778432,12,"4:00",3,0,13,1,2
1060793120361778432,12,"5:00",4,0,14,2,1
1060793120361778432,12,"6:00",3,0,15,2,0
1060793120361778432,12,"7:00",3,0,15,3,0
1060793120361778432,12,"8:00",3,0,15,3,0
1060793120361778432,12,"9:00",4,2,15,2,0
