"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
10350022727286608,1,"0:00",2,0,2,0,13
10350022727286608,1,"1:00",5,0,7,0,8
10350022727286608,1,"2:00",2,0,9,0,6
10350022727286608,1,"3:00",1,0,7,3,8
10350022727286608,1,"4:00",5,0,12,0,3
10350022727286608,1,"5:00",4,0,14,2,1
10350022727286608,1,"6:00",5,1,15,2,0
10350022727286608,1,"7:00",5,3,15,3,0
10350022727286608,1,"8:00",5,6,15,2,0
10350022727286608,1,"9:00",3,6,15,3,0
10350022727286608,1,"10:00",3,8,15,1,0
10350022727286608,1,"11:00",5,10,15,3,0
10350022727286608,1,"12:00",1,8,15,3,0
10350022727286608,1,"13:00",2,8,15,2,0
10350022727286608,1,"14:00",2,7,15,3,0
10350022727286608,1,"15:00",3,6,15,4,0
10350022727286608,1,"16:00",2,2,15,6,0
10350022727286608,1,"17:00",5,3,15,4,0
10350022727286608,1,"18:00",0,0,10,8,5
10350022727286608,1,"19:00",4,0,12,2,3
10350022727286608,1,"20:00",3,0,13,2,2
10350022727286608,1,"21:00",1,0,11,3,4
10350022727286608,1,"22:00",3,0,9,5,6
10350022727286608,1,"23:00",3,0,9,3,6
10350022727286608,2,"0:00",3,0,11,1,4
10350022727286608,2,"1:00",0,0,9,2,6
10350022727286608,2,"2:00",1,0,8,2,7
10350022727286608,2,"3:00",2,0,8,2,7
10350022727286608,2,"4:00",5,0,10,3,5
10350022727286608,2,"5:00",4,0,12,2,3
10350022727286608,2,"6:00",5,0,13,4,2
10350022727286608,2,"7:00",3,0,12,4,3
10350022727286608,2,"8:00",0,0,10,2,5
10350022727286608,2,"9:00",0,0,6,4,9
10350022727286608,2,"10:00",5,0,10,1,5
10350022727286608,2,"11:00",4,0,12,2,3
10350022727286608,2,"12:00",4,0,12,4,3
10350022727286608,2,"13:00",0,0,9,3,6
10350022727286608,2,"14:00",4,0,12,1,3
10350022727286608,2,"15:00",5,0,14,3,1
10350022727286608,2,"16:00",4,0,13,4,2
10350022727286608,2,"17:00",4,0,14,3,1
10350022727286608,2,"18:00",3,0,15,2,0
10350022727286608,2,"19:00",0,0,12,3,3
10350022727286608,2,"20:00",3,0,15,0,0
10350022727286608,2,"21:00",3,0,15,2,0
10350022727286608,2,"22:00",3,3,15,0,0
10350022727286608,2,"23:00",3,4,15,2,0
10350022727286608,3,"0:00",4,6,15,1,0
10350022727286608,3,"1:00",1,5,15,2,0
10350022727286608,3,"2:00",3,5,15,3,0
10350022727286608,3,"3:00",4,7,15,2,0
10350022727286608,3,"4:00",5,8,15,4,0
10350022727286608,3,"5:00",2,7,15,3,0
10350022727286608,3,"6:00",2,8,15,1,0
10350022727286608,3,"7:00",2,8,15,2,0
10350022727286608,3,"8:00",4,11,15,1,0
10350022727286608,3,"9:00",1,9,15,3,0
10350022727286608,3,"10:00",1,9,15,1,0
10350022727286608,3,"11:00",0,6,15,3,0
10350022727286608,3,"12:00",5,10,15,1,0
10350022727286608,3,"13:00",2,6,15,6,0
10350022727286608,3,"14:00",1,2,15,5,0
