"Sim_N","Day","AVG_SF_per_Day"
1049789470681898368,1,4.93
1049789470681898368,2,4.69
1049789470681898368,3,4.96
1049789470681898368,4,4.98
1049789470681898368,5,4.75
1049789470681898368,6,4.38
1049789470681898368,7,4.23
1049789470681898368,8,3.75
1049789470681898368,9,4.64
1049789470681898368,10,4.96
1049789470681898368,11,4.8
1049789470681898368,12,4.98
1049789470681898368,13,4.98
1049789470681898368,14,4.99
1049789470681898368,15,5
1168997540044891904,1,5
1168997540044891904,2,5
1168997540044891904,3,4.87
1168997540044891904,4,4.46
1168997540044891904,5,4.86
1168997540044891904,6,4.99
1168997540044891904,7,4.96
1168997540044891904,8,4.98
1168997540044891904,9,5
1168997540044891904,10,5
1168997540044891904,11,5
1168997540044891904,12,4.67
1168997540044891904,13,4.61
1168997540044891904,14,4.72
1168997540044891904,15,4.88
1248317695533251072,1,4.4
1248317695533251072,2,4.06
1248317695533251072,3,4.99
1248317695533251072,4,5
1248317695533251072,5,4.98
1248317695533251072,6,5
1248317695533251072,7,4.99
1248317695533251072,8,4.63
1248317695533251072,9,4.93
1248317695533251072,10,4.92
1248317695533251072,11,4.99
1248317695533251072,12,4.91
1248317695533251072,13,5
1248317695533251072,14,4.91
1248317695533251072,15,5
1281798736497070080,1,4.88
1281798736497070080,2,4.91
1281798736497070080,3,3.87
1281798736497070080,4,5
1281798736497070080,5,4.96
1281798736497070080,6,4.26
1281798736497070080,7,4.93
1281798736497070080,8,4.84
1281798736497070080,9,5
1281798736497070080,10,5
1281798736497070080,11,4.9
1281798736497070080,12,5
1281798736497070080,13,5
1281798736497070080,14,4.99
1281798736497070080,15,4.57
1317465969357649664,1,4.64
1317465969357649664,2,4.93
1317465969357649664,3,4.13
1317465969357649664,4,4.99
1317465969357649664,5,4.04
1317465969357649664,6,3.58
1317465969357649664,7,4.95
1317465969357649664,8,4.98
1317465969357649664,9,5
1317465969357649664,10,4.95
1317465969357649664,11,4.72
1317465969357649664,12,4.88
1317465969357649664,13,4.83
1317465969357649664,14,4.91
1317465969357649664,15,4.71
1381674807058454016,1,4.96
1381674807058454016,2,5
1381674807058454016,3,5
1381674807058454016,4,4.99
1381674807058454016,5,4.99
1381674807058454016,6,4.83
1381674807058454016,7,4.34
1381674807058454016,8,4.76
1381674807058454016,9,4.68
1381674807058454016,10,4.61
1381674807058454016,11,4.99
1381674807058454016,12,5
1381674807058454016,13,5
1381674807058454016,14,5
1381674807058454016,15,5
1401780175525970944,1,4.95
1401780175525970944,2,4.98
1401780175525970944,3,4.98
1401780175525970944,4,5
1401780175525970944,5,4.68
1401780175525970944,6,4.97
1401780175525970944,7,5
1401780175525970944,8,5
1401780175525970944,9,4.74
1401780175525970944,10,4.95
1401780175525970944,11,4.98
1401780175525970944,12,4.96
1401780175525970944,13,4.72
1401780175525970944,14,4.98
1401780175525970944,15,5
1407620932338259200,1,5
1407620932338259200,2,4.93
1407620932338259200,3,5
1407620932338259200,4,5
1407620932338259200,5,4.9
1407620932338259200,6,5
1407620932338259200,7,4.97
1407620932338259200,8,4.82
1407620932338259200,9,5
1407620932338259200,10,4.86
1407620932338259200,11,4.94
1407620932338259200,12,4.18
1407620932338259200,13,5
1407620932338259200,14,5
1407620932338259200,15,5
1479771927633591296,1,5
1479771927633591296,2,4.93
1479771927633591296,3,5
1479771927633591296,4,4.99
1479771927633591296,5,4.95
1479771927633591296,6,4.28
1479771927633591296,7,4.68
1479771927633591296,8,4.65
1479771927633591296,9,4.44
1479771927633591296,10,4.92
1479771927633591296,11,5
1479771927633591296,12,4.36
1479771927633591296,13,4.79
1479771927633591296,14,4.86
1479771927633591296,15,4.73
1534335034483272960,1,5
1534335034483272960,2,4.99
1534335034483272960,3,4.39
1534335034483272960,4,4.99
1534335034483272960,5,4.99
1534335034483272960,6,4.94
1534335034483272960,7,4.75
1534335034483272960,8,4.99
1534335034483272960,9,4.92
1534335034483272960,10,4.7
1534335034483272960,11,5
1534335034483272960,12,5
1534335034483272960,13,4.92
1534335034483272960,14,5
1534335034483272960,15,4.99
1617291216237591552,1,5
1617291216237591552,2,5
1617291216237591552,3,5
1617291216237591552,4,5
1617291216237591552,5,4.93
1617291216237591552,6,4.97
1617291216237591552,7,5
1617291216237591552,8,4.89
1617291216237591552,9,4.91
1617291216237591552,10,5
1617291216237591552,11,4.98
1617291216237591552,12,5
1617291216237591552,13,4.97
1617291216237591552,14,4.99
1617291216237591552,15,5
1691445798286076416,1,5
1691445798286076416,2,5
1691445798286076416,3,4.47
1691445798286076416,4,4.91
1691445798286076416,5,4.19
1691445798286076416,6,4.97
1691445798286076416,7,4.97
1691445798286076416,8,4.83
1691445798286076416,9,4.97
1691445798286076416,10,4.57
1691445798286076416,11,3.88
1691445798286076416,12,4.43
1691445798286076416,13,4.7
1691445798286076416,14,5
1691445798286076416,15,5
1700009512680519168,1,4.55
1700009512680519168,2,4.52
1700009512680519168,3,5
1700009512680519168,4,4.96
1700009512680519168,5,5
1700009512680519168,6,5
1700009512680519168,7,5
1700009512680519168,8,4.28
1700009512680519168,9,4.32
1700009512680519168,10,4.76
1700009512680519168,11,5
1700009512680519168,12,4.38
1700009512680519168,13,4.73
1700009512680519168,14,4.83
1700009512680519168,15,4.91
1804295235313874432,1,5
1804295235313874432,2,5
1804295235313874432,3,5
1804295235313874432,4,4.95
