"Sim_N","Day","AVG_SF_per_Day"
111971399673053296,1,4.73
111971399673053296,2,4.83
111971399673053296,3,4.74
111971399673053296,4,5
111971399673053296,5,4.82
111971399673053296,6,4.47
111971399673053296,7,5
111971399673053296,8,4.76
111971399673053296,9,4.95
111971399673053296,10,5
111971399673053296,11,4.97
111971399673053296,12,4.07
111971399673053296,13,5
111971399673053296,14,4.72
111971399673053296,15,4.97
1213929169731334144,1,4.94
1213929169731334144,2,4.96
1213929169731334144,3,5
1213929169731334144,4,5
1213929169731334144,5,5
1213929169731334144,6,4.96
1213929169731334144,7,4.99
1213929169731334144,8,5
1213929169731334144,9,5
1213929169731334144,10,4.63
1213929169731334144,11,4.88
1213929169731334144,12,4.85
1213929169731334144,13,4.89
1213929169731334144,14,5
1213929169731334144,15,5
1248572181924297216,1,4.99
1248572181924297216,2,4.66
1248572181924297216,3,4.95
1248572181924297216,4,4.99
1248572181924297216,5,4.8
1248572181924297216,6,4.14
1248572181924297216,7,4.97
1248572181924297216,8,5
1248572181924297216,9,4.76
1248572181924297216,10,4.38
1248572181924297216,11,4.54
1248572181924297216,12,5
1248572181924297216,13,5
1248572181924297216,14,4.81
1248572181924297216,15,4.98
1249775583054244096,1,4.97
1249775583054244096,2,4.99
1249775583054244096,3,5
1249775583054244096,4,4.97
1249775583054244096,5,4.93
1249775583054244096,6,4.97
1249775583054244096,7,4.8
1249775583054244096,8,4.99
1249775583054244096,9,4.86
1249775583054244096,10,4.96
1249775583054244096,11,4.17
1249775583054244096,12,4.01
1249775583054244096,13,4.29
1249775583054244096,14,3.95
1249775583054244096,15,4.26
1295082811552980992,1,4.98
1295082811552980992,2,4.92
1295082811552980992,3,4.84
1295082811552980992,4,4.92
1295082811552980992,5,5
1295082811552980992,6,4.99
1295082811552980992,7,4.93
1295082811552980992,8,4.75
1295082811552980992,9,5
1295082811552980992,10,4.98
1295082811552980992,11,4.99
1295082811552980992,12,4.99
1295082811552980992,13,4.99
1295082811552980992,14,5
1295082811552980992,15,5
1479373402610382336,1,4.97
1479373402610382336,2,4.76
1479373402610382336,3,5
1479373402610382336,4,4.93
1479373402610382336,5,4.96
1479373402610382336,6,4.72
1479373402610382336,7,3.83
1479373402610382336,8,5
1479373402610382336,9,4.72
1479373402610382336,10,4.87
1479373402610382336,11,5
1479373402610382336,12,5
1479373402610382336,13,4.61
1479373402610382336,14,4.67
1479373402610382336,15,5
1484749626943318528,1,4.99
1484749626943318528,2,4.92
1484749626943318528,3,4.99
1484749626943318528,4,4.92
1484749626943318528,5,5
1484749626943318528,6,4.99
1484749626943318528,7,4.98
1484749626943318528,8,4.86
1484749626943318528,9,5
1484749626943318528,10,4.99
1484749626943318528,11,4.94
1484749626943318528,12,4.69
1484749626943318528,13,5
1484749626943318528,14,5
1484749626943318528,15,4.99
1575064638561394176,1,4.94
1575064638561394176,2,4.92
1575064638561394176,3,4.86
1575064638561394176,4,4.98
1575064638561394176,5,5
1575064638561394176,6,5
1575064638561394176,7,5
1575064638561394176,8,4.62
1575064638561394176,9,4.64
1575064638561394176,10,4.66
1575064638561394176,11,4.67
1575064638561394176,12,4.77
1575064638561394176,13,5
1575064638561394176,14,4.94
1575064638561394176,15,5
1606761660689468416,1,5
1606761660689468416,2,5
1606761660689468416,3,5
1606761660689468416,4,5
1606761660689468416,5,5
1606761660689468416,6,4.98
1606761660689468416,7,4.96
1606761660689468416,8,4.99
1606761660689468416,9,4.98
1606761660689468416,10,4.99
1606761660689468416,11,4
1606761660689468416,12,4.94
1606761660689468416,13,4.19
1606761660689468416,14,4.9
1606761660689468416,15,4.86
1762831586466707968,1,5
1762831586466707968,2,4.88
1762831586466707968,3,4.13
1762831586466707968,4,4.59
1762831586466707968,5,5
1762831586466707968,6,4.56
1762831586466707968,7,4.81
1762831586466707968,8,5
1762831586466707968,9,4.75
1762831586466707968,10,4.87
1762831586466707968,11,5
1762831586466707968,12,4.71
1762831586466707968,13,4.99
1762831586466707968,14,4.99
1762831586466707968,15,4.77
1783235011972992512,1,5
1783235011972992512,2,5
1783235011972992512,3,5
1783235011972992512,4,4.93
1783235011972992512,5,4.98
1783235011972992512,6,5
1783235011972992512,7,4.2
1783235011972992512,8,4.89
1783235011972992512,9,4.93
1783235011972992512,10,5
1783235011972992512,11,4.73
1783235011972992512,12,4.93
1783235011972992512,13,3.97
1783235011972992512,14,4.8
1783235011972992512,15,5
1843659051417608960,1,5
1843659051417608960,2,5
1843659051417608960,3,5
1843659051417608960,4,5
1843659051417608960,5,4.95
1843659051417608960,6,4.64
1843659051417608960,7,4.99
1843659051417608960,8,5
1843659051417608960,9,5
1843659051417608960,10,5
1843659051417608960,11,4.85
1843659051417608960,12,4.98
1843659051417608960,13,5
1843659051417608960,14,4.84
1843659051417608960,15,4.76
2034387182059867136,1,4.98
2034387182059867136,2,4.99
2034387182059867136,3,4.88
2034387182059867136,4,4.97
2034387182059867136,5,4.96
2034387182059867136,6,5
2034387182059867136,7,4.88
2034387182059867136,8,5
2034387182059867136,9,4.8
2034387182059867136,10,4.34
2034387182059867136,11,4.99
2034387182059867136,12,4.99
2034387182059867136,13,4.93
2034387182059867136,14,4.98
2034387182059867136,15,4.95
2039740888907785216,1,4.99
2039740888907785216,2,5
2039740888907785216,3,5
2039740888907785216,4,4.99
2039740888907785216,5,4.88
2039740888907785216,6,4.33
2039740888907785216,7,4.84
2039740888907785216,8,4.98
2039740888907785216,9,4.97
2039740888907785216,10,4.83
2039740888907785216,11,4.1
2039740888907785216,12,4.99
2039740888907785216,13,4.04
2039740888907785216,14,4.11
2039740888907785216,15,4.86
2043417746241441536,1,5
2043417746241441536,2,5
2043417746241441536,3,4.91
2043417746241441536,4,4.7
2043417746241441536,5,4.97
2043417746241441536,6,4.62
2043417746241441536,7,4.92
2043417746241441536,8,4.88
2043417746241441536,9,4.75
2043417746241441536,10,4.53
2043417746241441536,11,5
2043417746241441536,12,4.62
2043417746241441536,13,3.92
2043417746241441536,14,4.83
2043417746241441536,15,4.95
2166904690368437248,1,5
2166904690368437248,2,4.8
2166904690368437248,3,4.99
2166904690368437248,4,5
2166904690368437248,5,4.81
2166904690368437248,6,3.25
2166904690368437248,7,3.63
2166904690368437248,8,4.96
2166904690368437248,9,5
2166904690368437248,10,4.89
2166904690368437248,11,4.98
2166904690368437248,12,5
2166904690368437248,13,4.98
2166904690368437248,14,4.97
2166904690368437248,15,4.98
2220673751210478336,1,5
