"Sim_N","Day","AVG_SF_per_Day"
1001137268239274368,1,5
1001137268239274368,2,5
1001137268239274368,3,5
1001137268239274368,4,5
1001137268239274368,5,4.91
1001137268239274368,6,4.85
1001137268239274368,7,4.27
1001137268239274368,8,2.77
1001137268239274368,9,4.73
1001137268239274368,10,4.99
1001137268239274368,11,5
1001137268239274368,12,4.81
1001137268239274368,13,4.78
1001137268239274368,14,4.64
1001137268239274368,15,5
1070863343128598016,1,4.87
1070863343128598016,2,4.84
1070863343128598016,3,5
1070863343128598016,4,4.78
1070863343128598016,5,4.33
1070863343128598016,6,4.97
1070863343128598016,7,4.94
1070863343128598016,8,5
1070863343128598016,9,4.96
1070863343128598016,10,4.39
1070863343128598016,11,4.74
1070863343128598016,12,4.85
1070863343128598016,13,4.52
1070863343128598016,14,4.88
1070863343128598016,15,4.98
113520130625695872,1,4.74
113520130625695872,2,4.79
113520130625695872,3,4.87
113520130625695872,4,4.99
113520130625695872,5,4.77
113520130625695872,6,5
113520130625695872,7,5
113520130625695872,8,4.73
113520130625695872,9,4.95
113520130625695872,10,4.97
113520130625695872,11,4.98
113520130625695872,12,5
113520130625695872,13,4.02
113520130625695872,14,2.28
113520130625695872,15,4.24
1142279339997876736,1,5
1142279339997876736,2,4.87
1142279339997876736,3,4.96
1142279339997876736,4,5
1142279339997876736,5,4.99
1142279339997876736,6,4.9
1142279339997876736,7,4.86
1142279339997876736,8,4.99
1142279339997876736,9,5
1142279339997876736,10,5
1142279339997876736,11,4.84
1142279339997876736,12,4.88
1142279339997876736,13,4.99
1142279339997876736,14,4.73
1142279339997876736,15,4.99
1247122648567704832,1,5
1247122648567704832,2,4.92
1247122648567704832,3,4.98
1247122648567704832,4,5
1247122648567704832,5,4.98
1247122648567704832,6,5
1247122648567704832,7,4.98
1247122648567704832,8,4.89
1247122648567704832,9,4.94
1247122648567704832,10,5
1247122648567704832,11,5
1247122648567704832,12,4.91
1247122648567704832,13,4.54
1247122648567704832,14,3.61
1247122648567704832,15,4.69
1335762446047520768,1,5
1335762446047520768,2,5
1335762446047520768,3,5
1335762446047520768,4,4.98
1335762446047520768,5,4.91
1335762446047520768,6,4.98
1335762446047520768,7,5
1335762446047520768,8,5
1335762446047520768,9,4.73
1335762446047520768,10,4.89
1335762446047520768,11,5
1335762446047520768,12,5
1335762446047520768,13,4.99
1335762446047520768,14,4.74
1335762446047520768,15,4.62
1437411657384089600,1,5
1437411657384089600,2,4.89
1437411657384089600,3,5
1437411657384089600,4,4.97
1437411657384089600,5,3.94
1437411657384089600,6,4.93
1437411657384089600,7,4.9
1437411657384089600,8,4.94
1437411657384089600,9,4.76
1437411657384089600,10,5
1437411657384089600,11,4.53
1437411657384089600,12,4.61
1437411657384089600,13,4.4
1437411657384089600,14,5
1437411657384089600,15,4.81
1605535086575219712,1,5
1605535086575219712,2,4.98
1605535086575219712,3,5
1605535086575219712,4,4.74
1605535086575219712,5,5
1605535086575219712,6,5
1605535086575219712,7,4.71
1605535086575219712,8,4.99
1605535086575219712,9,5
1605535086575219712,10,5
1605535086575219712,11,4.99
1605535086575219712,12,5
1605535086575219712,13,4.9
1605535086575219712,14,4.67
1605535086575219712,15,4.79
1704028420979648000,1,5
1704028420979648000,2,4.61
1704028420979648000,3,4.92
1704028420979648000,4,5
1704028420979648000,5,5
1704028420979648000,6,4.44
1704028420979648000,7,4.87
1704028420979648000,8,4.99
1704028420979648000,9,4.97
1704028420979648000,10,5
1704028420979648000,11,5
1704028420979648000,12,4.14
1704028420979648000,13,3.82
1704028420979648000,14,4.7
1704028420979648000,15,4.95
1883444879225873664,1,4.94
1883444879225873664,2,4.64
1883444879225873664,3,4.63
1883444879225873664,4,4.78
1883444879225873664,5,5
1883444879225873664,6,4.38
1883444879225873664,7,4.24
1883444879225873664,8,4.71
1883444879225873664,9,5
1883444879225873664,10,5
1883444879225873664,11,4.99
1883444879225873664,12,4.49
1883444879225873664,13,4.72
1883444879225873664,14,5
1883444879225873664,15,4.96
1.967419805406e+18,1,4.98
1.967419805406e+18,2,4.87
1.967419805406e+18,3,4.97
1.967419805406e+18,4,3.68
1.967419805406e+18,5,3.93
1.967419805406e+18,6,4.56
1.967419805406e+18,7,4.46
1.967419805406e+18,8,3.92
1.967419805406e+18,9,4.72
1.967419805406e+18,10,5
1.967419805406e+18,11,4.98
1.967419805406e+18,12,5
1.967419805406e+18,13,4.86
1.967419805406e+18,14,4.59
1.967419805406e+18,15,4.91
2129325503451889920,1,5
2129325503451889920,2,5
2129325503451889920,3,4.97
2129325503451889920,4,5
2129325503451889920,5,5
2129325503451889920,6,4.96
2129325503451889920,7,4.53
2129325503451889920,8,5
2129325503451889920,9,5
2129325503451889920,10,5
2129325503451889920,11,4.83
2129325503451889920,12,4.33
2129325503451889920,13,4.91
2129325503451889920,14,4.83
2129325503451889920,15,4.85
2169524537556115968,1,5
2169524537556115968,2,4.96
2169524537556115968,3,4.32
2169524537556115968,4,4.97
2169524537556115968,5,4.87
2169524537556115968,6,5
2169524537556115968,7,4.81
2169524537556115968,8,5
2169524537556115968,9,5
2169524537556115968,10,4.98
2169524537556115968,11,4.98
2169524537556115968,12,3.92
2169524537556115968,13,3.97
2169524537556115968,14,4.27
2169524537556115968,15,4.71
2293482705185980416,1,5
2293482705185980416,2,5
2293482705185980416,3,4.86
2293482705185980416,4,4.42
2293482705185980416,5,4.89
2293482705185980416,6,4.41
2293482705185980416,7,2.98
2293482705185980416,8,2.48
2293482705185980416,9,4.84
2293482705185980416,10,5
2293482705185980416,11,5
2293482705185980416,12,4.92
2293482705185980416,13,5
2293482705185980416,14,4.54
2293482705185980416,15,5
2356665939261022208,1,5
2356665939261022208,2,4.62
2356665939261022208,3,4.64
2356665939261022208,4,5
2356665939261022208,5,4.85
2356665939261022208,6,4.96
2356665939261022208,7,4.98
2356665939261022208,8,4.99
2356665939261022208,9,4.97
2356665939261022208,10,4.36
2356665939261022208,11,4.79
2356665939261022208,12,4.97
2356665939261022208,13,4.92
2356665939261022208,14,3.95
2356665939261022208,15,3.73
2445303669462761472,1,4.82
2445303669462761472,2,4.86
2445303669462761472,3,4.36
2445303669462761472,4,4.99
2445303669462761472,5,5
2445303669462761472,6,4.67
2445303669462761472,7,4.88
2445303669462761472,8,4.79
2445303669462761472,9,4.71
2445303669462761472,10,5
2445303669462761472,11,4.86
2445303669462761472,12,4.59
2445303669462761472,13,4.99
2445303669462761472,14,4.92
2445303669462761472,15,4.97
2548399172505721856,1,4.94
2548399172505721856,2,3.65
2548399172505721856,3,3.88
2548399172505721856,4,5
2548399172505721856,5,4.97
2548399172505721856,6,4.66
2548399172505721856,7,4.19
2548399172505721856,8,5
2548399172505721856,9,5
2548399172505721856,10,4.88
2548399172505721856,11,4.74
2548399172505721856,12,4.5
2548399172505721856,13,3.95
2548399172505721856,14,5
2548399172505721856,15,4.86
2557100376032202240,1,4.93
2557100376032202240,2,4.99
2557100376032202240,3,5
2557100376032202240,4,5
2557100376032202240,5,5
2557100376032202240,6,5
2557100376032202240,7,5
2557100376032202240,8,4.55
2557100376032202240,9,4.93
2557100376032202240,10,4.75
2557100376032202240,11,4.84
2557100376032202240,12,4.42
2557100376032202240,13,3.8
2557100376032202240,14,4.39
2557100376032202240,15,4.99
2625683625376729600,1,4.69
2625683625376729600,2,4.99
2625683625376729600,3,4.97
2625683625376729600,4,5
2625683625376729600,5,5
2625683625376729600,6,4.9
2625683625376729600,7,5
2625683625376729600,8,4.98
2625683625376729600,9,5
2625683625376729600,10,5
2625683625376729600,11,4.65
2625683625376729600,12,4.93
2625683625376729600,13,4.97
2625683625376729600,14,4.99
2625683625376729600,15,4.99
2769271625893086208,1,5
2769271625893086208,2,4.96
2769271625893086208,3,4.73
2769271625893086208,4,4.81
2769271625893086208,5,5
2769271625893086208,6,4.96
2769271625893086208,7,4.59
2769271625893086208,8,4.64
2769271625893086208,9,4.73
2769271625893086208,10,4.99
2769271625893086208,11,4.97
2769271625893086208,12,4.5
2769271625893086208,13,4.75
2769271625893086208,14,4.98
2769271625893086208,15,4.89
2805045369122420736,1,4.96
2805045369122420736,2,4.33
2805045369122420736,3,3.41
2805045369122420736,4,4.7
2805045369122420736,5,4.95
2805045369122420736,6,4.95
2805045369122420736,7,4.5
2805045369122420736,8,4.52
2805045369122420736,9,4.39
2805045369122420736,10,3.97
2805045369122420736,11,4.96
2805045369122420736,12,4.99
2805045369122420736,13,4.92
2805045369122420736,14,4.97
2805045369122420736,15,4.98
2851169143287804928,1,5
2851169143287804928,2,4.97
2851169143287804928,3,5
2851169143287804928,4,4.97
2851169143287804928,5,4.69
2851169143287804928,6,4.99
2851169143287804928,7,4.56
2851169143287804928,8,4.84
2851169143287804928,9,4.79
2851169143287804928,10,4.64
2851169143287804928,11,4.98
2851169143287804928,12,4.96
2851169143287804928,13,4.95
2851169143287804928,14,4.76
2851169143287804928,15,4.93
3035994348001470464,1,4.98
3035994348001470464,2,4.75
3035994348001470464,3,5
3035994348001470464,4,4.9
3035994348001470464,5,4.99
3035994348001470464,6,4.97
3035994348001470464,7,5
3035994348001470464,8,4.92
3035994348001470464,9,4.99
3035994348001470464,10,4.57
3035994348001470464,11,3.58
3035994348001470464,12,4.76
3035994348001470464,13,4.79
3035994348001470464,14,5
3035994348001470464,15,4.92
3177659943706295808,1,4.99
3177659943706295808,2,4.75
3177659943706295808,3,4.94
3177659943706295808,4,4.84
3177659943706295808,5,4.84
3177659943706295808,6,4.71
3177659943706295808,7,3.84
3177659943706295808,8,4.19
3177659943706295808,9,5
3177659943706295808,10,5
3177659943706295808,11,4.83
3177659943706295808,12,4.97
3177659943706295808,13,4.93
3177659943706295808,14,4.78
3177659943706295808,15,4.99
320627601418573824,1,4.98
320627601418573824,2,4.93
320627601418573824,3,5
320627601418573824,4,5
320627601418573824,5,4.97
320627601418573824,6,5
320627601418573824,7,4.56
320627601418573824,8,4.41
320627601418573824,9,4.79
320627601418573824,10,4.92
320627601418573824,11,5
320627601418573824,12,5
320627601418573824,13,4.78
320627601418573824,14,4.93
320627601418573824,15,4.92
3469855405273479680,1,4.99
3469855405273479680,2,4.77
3469855405273479680,3,4.98
3469855405273479680,4,4.99
3469855405273479680,5,4.92
3469855405273479680,6,5
3469855405273479680,7,4.96
3469855405273479680,8,5
3469855405273479680,9,4.83
3469855405273479680,10,4.99
3469855405273479680,11,5
3469855405273479680,12,4.85
3469855405273479680,13,5
3469855405273479680,14,4.27
3469855405273479680,15,4.96
35863296428677456,1,5
35863296428677456,2,5
35863296428677456,3,4.91
35863296428677456,4,4.84
35863296428677456,5,4.5
35863296428677456,6,4.91
35863296428677456,7,4.93
35863296428677456,8,5
35863296428677456,9,5
35863296428677456,10,5
35863296428677456,11,5
35863296428677456,12,4.59
35863296428677456,13,4.93
35863296428677456,14,4.85
35863296428677456,15,5
3653108243846048768,1,4.95
3653108243846048768,2,5
3653108243846048768,3,4.55
3653108243846048768,4,5
3653108243846048768,5,4.98
3653108243846048768,6,5
3653108243846048768,7,4.83
3653108243846048768,8,5
3653108243846048768,9,4.98
3653108243846048768,10,5
3653108243846048768,11,4.73
3653108243846048768,12,4.74
3653108243846048768,13,4.94
3653108243846048768,14,4.92
3653108243846048768,15,4.99
3672716618484241920,1,4.98
3672716618484241920,2,5
3672716618484241920,3,4.99
3672716618484241920,4,4.96
3672716618484241920,5,4.67
3672716618484241920,6,4.98
3672716618484241920,7,4.94
3672716618484241920,8,5
3672716618484241920,9,4.82
3672716618484241920,10,4.5
3672716618484241920,11,4.24
3672716618484241920,12,4.46
3672716618484241920,13,4.82
3672716618484241920,14,4.62
3672716618484241920,15,4.13
