"Sim_N","Day","AVG_SF_per_Day"
1055007950479973760,1,5
1055007950479973760,2,5
1055007950479973760,3,4.97
1055007950479973760,4,4.99
1055007950479973760,5,5
1055007950479973760,6,4.99
1055007950479973760,7,4.88
1055007950479973760,8,4.97
1055007950479973760,9,4.98
1055007950479973760,10,4.21
1055007950479973760,11,4.38
1055007950479973760,12,4.85
1055007950479973760,13,5
1055007950479973760,14,4.99
1055007950479973760,15,4.83
109591918835746368,1,5
109591918835746368,2,4.99
109591918835746368,3,5
109591918835746368,4,5
109591918835746368,5,4.95
109591918835746368,6,4.95
109591918835746368,7,4.97
109591918835746368,8,4.37
109591918835746368,9,3.51
109591918835746368,10,4.98
109591918835746368,11,4.95
109591918835746368,12,4.97
109591918835746368,13,4.83
109591918835746368,14,5
109591918835746368,15,4.91
1198755008912455936,1,4.99
1198755008912455936,2,5
1198755008912455936,3,5
1198755008912455936,4,4.92
1198755008912455936,5,4.24
1198755008912455936,6,4.83
1198755008912455936,7,5
1198755008912455936,8,4.89
1198755008912455936,9,4.96
1198755008912455936,10,5
1198755008912455936,11,4.97
1198755008912455936,12,4.09
1198755008912455936,13,4.68
1198755008912455936,14,5
1198755008912455936,15,5
1419025322304768256,1,4.77
1419025322304768256,2,4.51
1419025322304768256,3,4.84
1419025322304768256,4,4.05
1419025322304768256,5,4.77
1419025322304768256,6,5
1419025322304768256,7,4.94
1419025322304768256,8,4.72
1419025322304768256,9,3.52
1419025322304768256,10,4.84
1419025322304768256,11,5
1419025322304768256,12,5
1419025322304768256,13,5
1419025322304768256,14,5
1419025322304768256,15,4.33
1444786159444226816,1,4.97
1444786159444226816,2,5
1444786159444226816,3,5
1444786159444226816,4,3.49
1444786159444226816,5,4.14
1444786159444226816,6,5
1444786159444226816,7,5
1444786159444226816,8,4.87
1444786159444226816,9,4.96
1444786159444226816,10,5
1444786159444226816,11,5
1444786159444226816,12,5
1444786159444226816,13,4.79
1444786159444226816,14,4.61
1444786159444226816,15,4.99
1504683547205522944,1,5
1504683547205522944,2,4.99
1504683547205522944,3,4.83
1504683547205522944,4,4.59
1504683547205522944,5,4.69
1504683547205522944,6,4.99
1504683547205522944,7,5
1504683547205522944,8,5
