"Sim_N","Day","AVG_SF_per_Day"
1173814805778178048,1,5
1173814805778178048,2,4.47
1173814805778178048,3,4.8
1173814805778178048,4,5
1173814805778178048,5,5
1173814805778178048,6,4.71
1173814805778178048,7,4.61
1173814805778178048,8,5
1173814805778178048,9,4.99
1173814805778178048,10,5
1173814805778178048,11,5
1173814805778178048,12,5
1173814805778178048,13,5
1173814805778178048,14,4.53
1173814805778178048,15,5
1176535881065939456,1,5
1176535881065939456,2,4.99
1176535881065939456,3,5
1176535881065939456,4,4.99
1176535881065939456,5,5
1176535881065939456,6,4.72
1176535881065939456,7,5
1176535881065939456,8,4.88
1176535881065939456,9,3.77
1176535881065939456,10,3.12
1176535881065939456,11,3.47
1176535881065939456,12,4.83
1176535881065939456,13,4.98
1176535881065939456,14,4.93
1176535881065939456,15,4.89
1177305295562488064,1,5
1177305295562488064,2,4.72
1177305295562488064,3,4.53
1177305295562488064,4,4.88
1177305295562488064,5,4.96
1177305295562488064,6,4.12
1177305295562488064,7,4.57
1177305295562488064,8,4.97
1177305295562488064,9,5
1177305295562488064,10,4.98
1177305295562488064,11,4.39
1177305295562488064,12,4.48
1177305295562488064,13,4.87
1177305295562488064,14,4.96
1177305295562488064,15,4.51
1590275133382356992,1,5
1590275133382356992,2,5
1590275133382356992,3,4.98
1590275133382356992,4,4.94
1590275133382356992,5,4.51
1590275133382356992,6,4.88
1590275133382356992,7,5
1590275133382356992,8,4.99
1590275133382356992,9,4.2
1590275133382356992,10,4.43
1590275133382356992,11,5
1590275133382356992,12,5
1590275133382356992,13,5
1590275133382356992,14,4.99
1590275133382356992,15,4.91
1694942581675023616,1,4.74
1694942581675023616,2,4.72
1694942581675023616,3,5
1694942581675023616,4,5
1694942581675023616,5,4.87
1694942581675023616,6,5
1694942581675023616,7,4.81
1694942581675023616,8,4.89
1694942581675023616,9,4.96
1694942581675023616,10,5
1694942581675023616,11,4.97
1694942581675023616,12,4.95
1694942581675023616,13,5
1694942581675023616,14,4.91
1694942581675023616,15,5
1773740867062860800,1,5
1773740867062860800,2,5
1773740867062860800,3,4.98
1773740867062860800,4,4.11
1773740867062860800,5,4.66
1773740867062860800,6,4.68
1773740867062860800,7,4.97
1773740867062860800,8,5
1773740867062860800,9,5
1773740867062860800,10,4.63
1773740867062860800,11,4.94
1773740867062860800,12,4.98
1773740867062860800,13,5
1773740867062860800,14,4.99
1773740867062860800,15,5
187201532912392896,1,5
187201532912392896,2,4.49
187201532912392896,3,4.97
187201532912392896,4,4.97
187201532912392896,5,5
187201532912392896,6,4.92
187201532912392896,7,5
187201532912392896,8,5
187201532912392896,9,5
187201532912392896,10,5
187201532912392896,11,4.57
187201532912392896,12,4.59
187201532912392896,13,4.92
187201532912392896,14,5
187201532912392896,15,4.94
1966738593741732352,1,5
1966738593741732352,2,4.98
1966738593741732352,3,4.86
1966738593741732352,4,4.97
1966738593741732352,5,5
1966738593741732352,6,4.99
1966738593741732352,7,5
1966738593741732352,8,5
1966738593741732352,9,4.98
1966738593741732352,10,4.64
1966738593741732352,11,4.9
1966738593741732352,12,4.96
1966738593741732352,13,4.99
1966738593741732352,14,5
1966738593741732352,15,5
1985326810873100288,1,4.99
1985326810873100288,2,5
1985326810873100288,3,4.75
1985326810873100288,4,4.99
1985326810873100288,5,4.96
1985326810873100288,6,5
1985326810873100288,7,4.84
1985326810873100288,8,5
1985326810873100288,9,5
1985326810873100288,10,5
1985326810873100288,11,5
1985326810873100288,12,4.88
1985326810873100288,13,4.88
1985326810873100288,14,4.85
1985326810873100288,15,4.91
2043766214857118464,1,5
2043766214857118464,2,5
2043766214857118464,3,4.72
2043766214857118464,4,5
2043766214857118464,5,5
2043766214857118464,6,5
2043766214857118464,7,4.95
2043766214857118464,8,4.94
2043766214857118464,9,4.29
2043766214857118464,10,4.66
2043766214857118464,11,4.86
2043766214857118464,12,4.77
2043766214857118464,13,5
2043766214857118464,14,4.96
2043766214857118464,15,4.42
2130966148976824832,1,5
2130966148976824832,2,4.82
2130966148976824832,3,4.88
2130966148976824832,4,4.6
2130966148976824832,5,4.91
2130966148976824832,6,4.86
2130966148976824832,7,5
2130966148976824832,8,4.79
2130966148976824832,9,4.99
2130966148976824832,10,4.99
2130966148976824832,11,5
2130966148976824832,12,4.64
2130966148976824832,13,4
2130966148976824832,14,5
2130966148976824832,15,4.98
2195949597224271872,1,5
2195949597224271872,2,4.79
2195949597224271872,3,5
2195949597224271872,4,5
2195949597224271872,5,5
2195949597224271872,6,4.94
2195949597224271872,7,4.84
2195949597224271872,8,5
2195949597224271872,9,4.83
2195949597224271872,10,5
2195949597224271872,11,4.88
2195949597224271872,12,4.88
2195949597224271872,13,5
2195949597224271872,14,4.91
2195949597224271872,15,5
2219783199704057344,1,5
2219783199704057344,2,4.98
2219783199704057344,3,5
2219783199704057344,4,4.93
2219783199704057344,5,5
2219783199704057344,6,4.37
2219783199704057344,7,4.31
2219783199704057344,8,5
2219783199704057344,9,4.47
2219783199704057344,10,2.96
2219783199704057344,11,3.63
2219783199704057344,12,4.2
2219783199704057344,13,4.83
2219783199704057344,14,4.38
2219783199704057344,15,3.88
2266060895215818240,1,4.98
2266060895215818240,2,5
2266060895215818240,3,4.93
2266060895215818240,4,5
2266060895215818240,5,4.04
2266060895215818240,6,3.83
2266060895215818240,7,4.99
2266060895215818240,8,4.94
2266060895215818240,9,4.86
2266060895215818240,10,4.88
2266060895215818240,11,3.86
2266060895215818240,12,4.93
2266060895215818240,13,4.42
2266060895215818240,14,4.79
2266060895215818240,15,5
2299767380814603264,1,5
2299767380814603264,2,5
2299767380814603264,3,5
2299767380814603264,4,3.93
2299767380814603264,5,3.39
2299767380814603264,6,4.39
2299767380814603264,7,4.85
2299767380814603264,8,4.15
2299767380814603264,9,4.55
2299767380814603264,10,4.97
2299767380814603264,11,4.99
2299767380814603264,12,3.97
2299767380814603264,13,3.48
2299767380814603264,14,4.69
2299767380814603264,15,4.37
2314949458248857088,1,4.99
2314949458248857088,2,5
2314949458248857088,3,5
2314949458248857088,4,4.9
2314949458248857088,5,4.44
2314949458248857088,6,5
2314949458248857088,7,5
2314949458248857088,8,4.98
2314949458248857088,9,4.48
2314949458248857088,10,4.93
2314949458248857088,11,5
2314949458248857088,12,5
2314949458248857088,13,4.97
2314949458248857088,14,4.78
2314949458248857088,15,4.95
2337459762449741312,1,5
2337459762449741312,2,5
2337459762449741312,3,4.99
2337459762449741312,4,5
2337459762449741312,5,4.55
2337459762449741312,6,4.57
2337459762449741312,7,4.99
2337459762449741312,8,4.88
2337459762449741312,9,4.62
2337459762449741312,10,4.66
2337459762449741312,11,4.08
2337459762449741312,12,4.31
2337459762449741312,13,3.87
2337459762449741312,14,4.86
2337459762449741312,15,5
238644073381018272,1,4.99
238644073381018272,2,5
238644073381018272,3,4.97
238644073381018272,4,4.99
238644073381018272,5,5
238644073381018272,6,4.98
238644073381018272,7,4.57
238644073381018272,8,3.83
238644073381018272,9,4.98
238644073381018272,10,5
238644073381018272,11,4.96
238644073381018272,12,4.19
238644073381018272,13,3.9
238644073381018272,14,4.12
238644073381018272,15,4.78
2410262901848272896,1,5
2410262901848272896,2,4.77
2410262901848272896,3,4.74
2410262901848272896,4,4.96
2410262901848272896,5,4.8
2410262901848272896,6,5
2410262901848272896,7,4.95
2410262901848272896,8,4.94
2410262901848272896,9,5
2410262901848272896,10,4.99
2410262901848272896,11,5
2410262901848272896,12,5
2410262901848272896,13,4.75
2410262901848272896,14,4.92
2410262901848272896,15,5
2472326276481362432,1,4.98
2472326276481362432,2,5
2472326276481362432,3,4.98
2472326276481362432,4,4.97
2472326276481362432,5,5
2472326276481362432,6,4.92
2472326276481362432,7,5
2472326276481362432,8,4.77
2472326276481362432,9,4.95
2472326276481362432,10,4.99
2472326276481362432,11,4.98
2472326276481362432,12,4.95
2472326276481362432,13,5
2472326276481362432,14,5
2472326276481362432,15,4.98
2588286745537423872,1,5
2588286745537423872,2,5
2588286745537423872,3,5
2588286745537423872,4,4.73
2588286745537423872,5,4.74
2588286745537423872,6,4.09
2588286745537423872,7,4.48
2588286745537423872,8,5
2588286745537423872,9,5
2588286745537423872,10,4.99
2588286745537423872,11,5
2588286745537423872,12,5
2588286745537423872,13,5
2588286745537423872,14,5
2588286745537423872,15,5
2652722775913190400,1,5
2652722775913190400,2,4.99
2652722775913190400,3,4.9
2652722775913190400,4,5
2652722775913190400,5,5
2652722775913190400,6,4.99
2652722775913190400,7,4.98
2652722775913190400,8,5
2652722775913190400,9,5
2652722775913190400,10,4.98
2652722775913190400,11,4.95
2652722775913190400,12,4.31
2652722775913190400,13,4.01
2652722775913190400,14,4.99
2652722775913190400,15,4.99
2748180784161595392,1,4.98
2748180784161595392,2,4.74
2748180784161595392,3,4.51
2748180784161595392,4,4.32
2748180784161595392,5,4.98
2748180784161595392,6,5
2748180784161595392,7,4.77
2748180784161595392,8,4.68
2748180784161595392,9,4.2
2748180784161595392,10,4.75
2748180784161595392,11,4.28
2748180784161595392,12,4.57
2748180784161595392,13,5
2748180784161595392,14,4.97
2748180784161595392,15,5
2828363310054117888,1,5
2828363310054117888,2,5
2828363310054117888,3,5
2828363310054117888,4,4.71
2828363310054117888,5,4.14
2828363310054117888,6,4.12
2828363310054117888,7,4.49
2828363310054117888,8,4.87
2828363310054117888,9,5
2828363310054117888,10,4.68
2828363310054117888,11,4.85
2828363310054117888,12,5
2828363310054117888,13,4.83
2828363310054117888,14,4.95
2828363310054117888,15,4.99
2912600871813334528,1,4.76
2912600871813334528,2,4.75
2912600871813334528,3,4.89
2912600871813334528,4,4.56
2912600871813334528,5,4.05
2912600871813334528,6,5
2912600871813334528,7,4.9
2912600871813334528,8,4.8
2912600871813334528,9,4.96
2912600871813334528,10,5
2912600871813334528,11,5
2912600871813334528,12,4.99
2912600871813334528,13,5
2912600871813334528,14,4.95
2912600871813334528,15,4.76
2916499641314306560,1,4.81
2916499641314306560,2,4.81
2916499641314306560,3,5
2916499641314306560,4,5
2916499641314306560,5,4.97
2916499641314306560,6,4.82
2916499641314306560,7,4.87
2916499641314306560,8,4.91
2916499641314306560,9,4.99
2916499641314306560,10,5
2916499641314306560,11,4.99
2916499641314306560,12,4.55
2916499641314306560,13,4.68
2916499641314306560,14,4.7
2916499641314306560,15,5
2930493401147180032,1,5
2930493401147180032,2,4.36
2930493401147180032,3,5
2930493401147180032,4,5
2930493401147180032,5,4.63
2930493401147180032,6,4.96
2930493401147180032,7,4.1
2930493401147180032,8,4.26
2930493401147180032,9,3.99
2930493401147180032,10,4.4
2930493401147180032,11,3.58
2930493401147180032,12,2.55
2930493401147180032,13,3.39
2930493401147180032,14,4.21
2930493401147180032,15,4.38
2996235194711320576,1,4.99
2996235194711320576,2,4.9
