"Sim_N","Day","AVG_SF_per_Day"
10350022727286608,1,4.8
10350022727286608,2,4.96
10350022727286608,3,4.57
10350022727286608,4,5
10350022727286608,5,5
10350022727286608,6,4.99
10350022727286608,7,4.74
10350022727286608,8,4.69
10350022727286608,9,5
10350022727286608,10,4.98
10350022727286608,11,4.63
10350022727286608,12,4.99
10350022727286608,13,5
10350022727286608,14,4.88
10350022727286608,15,5
1076758037867257600,1,4.98
1076758037867257600,2,5
1076758037867257600,3,4.51
1076758037867257600,4,4.97
1076758037867257600,5,5
1076758037867257600,6,4.99
1076758037867257600,7,5
1076758037867257600,8,4.99
1076758037867257600,9,4.96
1076758037867257600,10,4.65
1076758037867257600,11,4.75
1076758037867257600,12,4.76
1076758037867257600,13,4.83
1076758037867257600,14,4.99
1076758037867257600,15,5
1171765147657652480,1,5
1171765147657652480,2,5
1171765147657652480,3,5
1171765147657652480,4,4.99
1171765147657652480,5,4.98
1171765147657652480,6,5
1171765147657652480,7,4.94
1171765147657652480,8,4.33
1171765147657652480,9,4.89
1171765147657652480,10,4.77
1171765147657652480,11,4.99
1171765147657652480,12,4.82
1171765147657652480,13,4.94
1171765147657652480,14,4.92
1171765147657652480,15,4.69
1548308174578641920,1,4.98
1548308174578641920,2,4.99
1548308174578641920,3,5
1548308174578641920,4,4.82
1548308174578641920,5,4.57
1548308174578641920,6,5
1548308174578641920,7,5
1548308174578641920,8,4.83
1548308174578641920,9,5
1548308174578641920,10,4.89
1548308174578641920,11,4.12
1548308174578641920,12,4.58
1548308174578641920,13,5
1548308174578641920,14,4.81
1548308174578641920,15,4.98
1571017733873788160,1,4.95
1571017733873788160,2,4.97
1571017733873788160,3,5
1571017733873788160,4,4.93
1571017733873788160,5,4.49
1571017733873788160,6,4.83
1571017733873788160,7,4.97
1571017733873788160,8,4.62
1571017733873788160,9,5
1571017733873788160,10,4.89
1571017733873788160,11,4.87
1571017733873788160,12,4.92
1571017733873788160,13,5
1571017733873788160,14,5
1571017733873788160,15,4.92
1603198709901419520,1,5
1603198709901419520,2,4.98
1603198709901419520,3,4.42
1603198709901419520,4,4.78
1603198709901419520,5,5
1603198709901419520,6,5
1603198709901419520,7,4.96
1603198709901419520,8,4.95
1603198709901419520,9,4.97
1603198709901419520,10,5
1603198709901419520,11,4.99
1603198709901419520,12,5
1603198709901419520,13,4.91
1603198709901419520,14,4.96
1603198709901419520,15,4.92
1640968616627640832,1,4.98
1640968616627640832,2,4.55
1640968616627640832,3,4.67
1640968616627640832,4,5
1640968616627640832,5,4.72
1640968616627640832,6,4.53
1640968616627640832,7,4.62
1640968616627640832,8,5
1640968616627640832,9,5
1640968616627640832,10,4.92
1640968616627640832,11,4.4
1640968616627640832,12,4.55
1640968616627640832,13,5
1640968616627640832,14,5
1640968616627640832,15,4.84
1662408730251935744,1,5
1662408730251935744,2,4.46
1662408730251935744,3,4.93
1662408730251935744,4,5
1662408730251935744,5,5
1662408730251935744,6,5
1662408730251935744,7,4.96
1662408730251935744,8,4.79
1662408730251935744,9,4.91
1662408730251935744,10,4.98
1662408730251935744,11,5
1662408730251935744,12,4.87
1662408730251935744,13,5
1662408730251935744,14,5
1662408730251935744,15,4.97
1733538758810543360,1,5
1733538758810543360,2,5
1733538758810543360,3,5
1733538758810543360,4,5
1733538758810543360,5,5
1733538758810543360,6,4.52
1733538758810543360,7,5
1733538758810543360,8,4.99
1733538758810543360,9,4.55
1733538758810543360,10,4.27
1733538758810543360,11,3.92
1733538758810543360,12,4.28
1733538758810543360,13,4.98
1733538758810543360,14,4.42
1733538758810543360,15,4.99
1795748282007839744,1,5
1795748282007839744,2,4.67
1795748282007839744,3,4.8
1795748282007839744,4,5
1795748282007839744,5,4.87
1795748282007839744,6,4.99
1795748282007839744,7,4.85
1795748282007839744,8,4.97
1795748282007839744,9,5
1795748282007839744,10,4.99
1795748282007839744,11,4.98
1795748282007839744,12,4.8
1795748282007839744,13,4.94
1795748282007839744,14,5
1795748282007839744,15,5
1816153142307409920,1,4.79
1816153142307409920,2,4.75
1816153142307409920,3,4.65
1816153142307409920,4,5
1816153142307409920,5,4.98
1816153142307409920,6,4.97
1816153142307409920,7,4.27
1816153142307409920,8,4.31
1816153142307409920,9,4.96
1816153142307409920,10,5
1816153142307409920,11,4.97
1816153142307409920,12,5
1816153142307409920,13,4.91
1816153142307409920,14,5
1816153142307409920,15,5
1951336141808660736,1,5
1951336141808660736,2,4.96
1951336141808660736,3,4.97
1951336141808660736,4,5
1951336141808660736,5,4.98
